dataset,item,observations,valid_observations,excluded,excluded_leading,excluded_trailing,excluded_interior,occurrences,enter_events,exit_events,identical_valid_mask,identical_derived_columns,identical_states,identical_occurrence_ids,identical_events,identical
bidmc,1,60001,59802,199,99,100,0,521,170,170,True,True,True,True,True,True
bidmc,2,60001,59802,199,99,100,0,403,126,125,True,True,True,True,True,True
bidmc,3,60001,59802,199,99,100,0,422,142,141,True,True,True,True,True,True
bidmc,4,60001,59802,199,99,100,0,509,144,144,True,True,True,True,True,True
bidmc,5,60001,59802,199,99,100,0,493,143,142,True,True,True,True,True,True
bidmc,6,60001,59802,199,99,100,0,488,161,160,True,True,True,True,True,True
bidmc,7,60001,59802,199,99,100,0,493,161,161,True,True,True,True,True,True
bidmc,8,60001,59802,199,99,100,0,541,180,179,True,True,True,True,True,True
bidmc,9,60001,59802,199,99,100,0,505,160,159,True,True,True,True,True,True
bidmc,10,60001,59802,199,99,100,0,480,154,153,True,True,True,True,True,True
bidmc,11,60001,59802,199,99,100,0,425,129,129,True,True,True,True,True,True
bidmc,12,60001,59802,199,99,100,0,448,151,150,True,True,True,True,True,True
bidmc,13,60001,59802,199,99,100,0,724,224,224,True,True,True,True,True,True
bidmc,14,60001,59802,199,99,100,0,487,166,165,True,True,True,True,True,True
bidmc,15,60001,59802,199,99,100,0,407,137,136,True,True,True,True,True,True
bidmc,16,60001,59802,199,99,100,0,494,157,157,True,True,True,True,True,True
bidmc,17,60001,59802,199,99,100,0,458,141,140,True,True,True,True,True,True
bidmc,18,60001,59802,199,99,100,0,457,145,144,True,True,True,True,True,True
bidmc,19,60001,59802,199,99,100,0,572,180,179,True,True,True,True,True,True
bidmc,20,60001,59802,199,99,100,0,408,134,134,True,True,True,True,True,True
bidmc,21,60001,59802,199,99,100,0,489,159,159,True,True,True,True,True,True
bidmc,22,60001,59802,199,99,100,0,471,150,150,True,True,True,True,True,True
bidmc,23,60001,59802,199,99,100,0,505,180,179,True,True,True,True,True,True
bidmc,24,60001,59802,199,99,100,0,543,179,179,True,True,True,True,True,True
bidmc,25,60001,59802,199,99,100,0,393,131,130,True,True,True,True,True,True
bidmc,26,60001,59802,199,99,100,0,464,156,156,True,True,True,True,True,True
bidmc,27,60001,59802,199,99,100,0,395,122,122,True,True,True,True,True,True
bidmc,28,60001,59802,199,99,100,0,452,148,148,True,True,True,True,True,True
bidmc,29,60001,59802,199,99,100,0,473,159,159,True,True,True,True,True,True
bidmc,30,60001,59802,199,99,100,0,450,152,151,True,True,True,True,True,True
bidmc,31,60001,59802,199,99,100,0,490,161,160,True,True,True,True,True,True
bidmc,32,60001,59802,199,99,100,0,513,197,196,True,True,True,True,True,True
bidmc,33,60001,59802,199,99,100,0,510,170,169,True,True,True,True,True,True
bidmc,34,60001,59802,199,99,100,0,488,146,146,True,True,True,True,True,True
bidmc,35,60001,59802,199,99,100,0,540,141,141,True,True,True,True,True,True
bidmc,36,60001,59802,199,99,100,0,447,150,149,True,True,True,True,True,True
bidmc,37,60001,59802,199,99,100,0,445,156,156,True,True,True,True,True,True
bidmc,38,60001,59802,199,99,100,0,432,137,137,True,True,True,True,True,True
bidmc,39,60001,59802,199,99,100,0,453,113,113,True,True,True,True,True,True
bidmc,40,60001,59802,199,99,100,0,432,148,147,True,True,True,True,True,True
bidmc,41,60001,59802,199,99,100,0,354,116,116,True,True,True,True,True,True
bidmc,42,60001,59802,199,99,100,0,423,139,138,True,True,True,True,True,True
bidmc,43,60001,59802,199,99,100,0,423,143,142,True,True,True,True,True,True
bidmc,44,60001,59802,199,99,100,0,320,137,136,True,True,True,True,True,True
bidmc,45,60001,59802,199,99,100,0,399,130,130,True,True,True,True,True,True
bidmc,46,60001,59802,199,99,100,0,397,156,156,True,True,True,True,True,True
bidmc,47,60001,59802,199,99,100,0,384,178,178,True,True,True,True,True,True
bidmc,48,60001,59802,199,99,100,0,423,147,146,True,True,True,True,True,True
bidmc,49,60001,59802,199,99,100,0,414,140,139,True,True,True,True,True,True
bidmc,50,60001,59802,199,99,100,0,363,118,118,True,True,True,True,True,True
bidmc,51,60001,59802,199,99,100,0,444,147,146,True,True,True,True,True,True
bidmc,52,60001,59802,199,99,100,0,354,149,149,True,True,True,True,True,True
bidmc,53,60001,59802,199,99,100,0,354,156,155,True,True,True,True,True,True
