dataset,item,observations,valid_observations,excluded,excluded_leading,excluded_trailing,excluded_interior,occurrences,enter_events,exit_events,identical_valid_mask,identical_derived_columns,identical_states,identical_events,identical
tep,1,3001,2902,99,49,50,0,57,28,28,True,True,True,True,True
tep,2,3001,2902,99,49,50,0,50,25,24,True,True,True,True,True
tep,3,3001,2902,99,49,50,0,53,26,26,True,True,True,True,True
tep,4,3001,2902,99,49,50,0,49,24,24,True,True,True,True,True
tep,5,3001,2902,99,49,50,0,58,28,29,True,True,True,True,True
tep,6,3001,2902,99,49,50,0,62,31,30,True,True,True,True,True
tep,7,3001,2902,99,49,50,0,55,27,27,True,True,True,True,True
tep,8,3001,2902,99,49,50,0,55,27,27,True,True,True,True,True
tep,9,3001,2902,99,49,50,0,49,24,24,True,True,True,True,True
tep,10,3001,2902,99,49,50,0,64,31,32,True,True,True,True,True
