smooth_window,diff_lag,eps,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
1,1,0.0,1729,314,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1730,325,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1731,328,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1732,321,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1733,321,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1734,313,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1735,329,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1736,322,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1737,312,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1738,322,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1739,317,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1740,324,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1741,323,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1742,322,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1743,313,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1744,317,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1745,320,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1746,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1747,319,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.0,1748,328,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1729,315,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1730,326,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1731,333,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1732,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1733,321,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1734,317,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1735,326,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1736,321,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1737,311,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1738,319,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1739,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1740,319,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1741,323,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1742,319,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1743,313,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1744,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1745,325,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1746,313,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1747,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.01,1748,327,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1729,314,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1730,326,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1731,325,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1732,319,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1733,316,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1734,311,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1735,323,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1736,314,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1737,311,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1738,323,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1739,320,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1740,320,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1741,322,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1742,315,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1743,306,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1744,318,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1745,322,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1746,311,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1747,315,12,0,0.0,0.0,0.0,,,,,,,
1,1,0.03,1748,321,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1729,203,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1730,207,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1731,207,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1732,206,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1733,201,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1734,202,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1735,200,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1736,209,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1737,210,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1738,209,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.0,1739,202,12,0,0.0,0.0,0.0,,,,,,,
