method,noise_std,f1_mean,f1_std,f1_ci95,precision_mean,recall_mean,interval_iou_mean,peak_mae,start_mae,end_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
FeatureGraph,0.0,1.0,0.0,0.0,1.0,1.0,0.7902621722846441,8.0,9.666666666666666,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
SciPy baseline,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureGraph,0.05,1.0,0.0,0.0,1.0,1.0,0.7902367778912722,7.972222222222222,9.666666666666666,9.005555555555556,0.9833333333333333,0.01808907065860104,0.03567621436322595
SciPy baseline,0.05,0.981159420289855,0.02191334491277089,0.00784158976848892,1.0,0.9638888888888889,0.9582771858207269,1.6777777777777778,1.6972222222222222,1.7351010101010103,2.6297979797979796,0.05887472422378789,0.04959960628283043
FeatureGraph,0.1,1.0,0.0,0.0,1.0,1.0,0.790814301144555,7.969444444444445,9.630555555555556,8.991666666666667,1.4611111111111112,0.01882491794893093,0.039743603725469305
SciPy baseline,0.1,0.9971014492753624,0.011030788334889659,0.00394731691074816,1.0,0.9944444444444444,0.9409364015133372,2.2830808080808085,2.463131313131313,2.432070707070707,3.5593434343434343,0.13586261815462522,0.07052018682284346
FeatureGraph,0.2,0.8819777506444173,0.08338720034007795,0.029839726413862597,0.8504258241758241,0.9194444444444444,0.7866628041373183,7.6851515151515155,9.691237373737374,9.23030303030303,3.0271464646464645,0.03426194946903369,0.06745611746649917
SciPy baseline,0.2,0.9888888888888889,0.02881215863681338,0.010310298554322658,0.9888888888888889,0.9888888888888889,0.9176497502990681,2.972979797979798,3.4603535353535353,3.440909090909091,4.8553030303030305,0.30676171698256455,0.09415454568563453
FeatureGraph,0.3,0.7060413151303029,0.1308350418741297,0.04681871844777463,0.638037159044024,0.8,0.7834769683377512,7.331319143819144,10.010333092833093,9.07966810966811,4.335652958152958,0.06035265167389439,0.08997531073276632
SciPy baseline,0.3,0.9572222222222222,0.06353014388958131,0.02273397002138348,0.9561965811965811,0.9583333333333334,0.9042588893000814,3.4506060606060607,4.006818181818182,4.066969696969697,5.714595959595959,0.4898509638959661,0.10997411085546263
FeatureGraph,0.4,0.5948577260703796,0.1343793383049155,0.04808702863678389,0.503638489980528,0.736111111111111,0.7665059507362026,6.859362674362674,10.204941077441077,10.050753968253968,7.513126503126503,0.08680557069369256,0.1476725716440542
SciPy baseline,0.4,0.9102222222222222,0.08732259885478393,0.03124799068619009,0.9094017094017094,0.9111111111111111,0.8957620351326699,3.935597643097643,4.358518518518519,4.463771043771044,6.1863636363636365,0.6786443631050021,0.12369794351244881
