position,nearest_coarse_peak,matched,r_lag,cardiac_phase,breath_phase
108,0,True,16.0,0.1927710843373494,0.0
561,0,True,39.0,0.46987951807228917,0.0
989,0,True,40.0,0.4878048780487805,0.0
1441,0,True,76.0,0.926829268292683,0.0
1895,0,True,31.0,0.3875,0.0
2393,0,True,33.0,0.4024390243902439,0.0
2860,0,True,0.0,0.0,0.0
3313,0,True,33.0,0.4024390243902439,0.0
3815,0,True,30.0,0.36585365853658536,0.0
4233,0,True,22.0,0.2682926829268293,0.0
4653,0,True,32.0,0.3902439024390244,0.0
5069,0,True,30.0,0.37037037037037035,0.0
5546,0,True,81.0,0.9759036144578314,0.0
5915,0,True,18.0,0.21686746987951808,0.0
6341,0,True,23.0,0.27710843373493976,0.0
6771,0,True,34.0,0.425,0.0
7233,0,True,79.0,0.9518072289156626,0.0
7613,0,True,30.0,0.35714285714285715,0.0
8009,0,True,9.0,0.10714285714285714,0.0
8336,0,True,79.0,0.8777777777777778,0.0
8787,0,True,82.0,0.9879518072289156,0.0
9217,0,True,4.0,0.046511627906976744,0.0
9635,0,True,3.0,0.0379746835443038,0.0
10069,0,True,35.0,0.4268292682926829,0.0
10531,0,True,73.0,0.8795180722891566,0.0
10869,0,True,10.0,0.11764705882352941,0.0
11273,0,True,32.0,0.3404255319148936,0.0
11757,0,True,28.0,0.32941176470588235,0.0
12253,0,True,83.0,0.9120879120879121,0.0
12641,0,True,24.0,0.2727272727272727,0.0
13158,0,True,77.0,0.8953488372093024,0.0
13607,0,True,15.0,0.18292682926829268,0.0
14050,0,True,37.0,0.4625,0.0
14549,0,True,28.0,0.35,0.0
15008,0,True,70.0,0.8433734939759037,0.0
15417,0,True,40.0,0.4819277108433735,0.0
15819,0,True,26.0,0.3291139240506329,0.0
16221,0,True,28.0,0.32558139534883723,0.0
16639,0,True,81.0,0.9310344827586207,0.0
17025,0,True,25.0,0.2976190476190476,0.0
17443,0,True,16.0,0.1951219512195122,0.0
17929,0,True,74.0,0.9135802469135802,0.0
18373,0,True,23.0,0.27710843373493976,0.0
18815,0,True,28.0,0.3373493975903614,0.0
19215,0,True,2.0,0.023809523809523808,0.0
19744,0,True,33.0,0.4230769230769231,0.0
20195,0,True,78.0,0.9285714285714286,0.0
20605,0,True,36.0,0.42857142857142855,0.0
21109,0,True,19.0,0.23170731707317074,0.0
21525,0,True,19.0,0.23170731707317074,0.0
21961,0,True,20.0,0.23809523809523808,0.0
22397,0,True,32.0,0.3902439024390244,0.0
22883,0,True,18.0,0.2222222222222222,0.0
23295,0,True,26.0,0.32098765432098764,0.0
23669,0,True,69.0,0.8518518518518519,0.0
24083,0,True,3.0,0.038461538461538464,0.0
24513,0,True,28.0,0.345679012345679,0.0
24933,0,True,32.0,0.3950617283950617,0.0
25343,0,True,31.0,0.38271604938271603,0.0
25805,0,True,75.0,0.8928571428571429,0.0
26269,0,True,31.0,0.3780487804878049,0.0
26689,0,True,35.0,0.4375,0.0
27097,0,True,27.0,0.32926829268292684,0.0
27515,0,True,29.0,0.35365853658536583,0.0
27739,0,True,3.0,0.03614457831325301,0.0
27933,0,True,32.0,0.4050632911392405,0.0
28413,0,True,28.0,0.35443037974683544,0.0
28835,0,True,35.0,0.43209876543209874,0.0
29255,0,True,35.0,0.42168674698795183,0.0
29691,0,True,37.0,0.45121951219512196,0.0
30110,0,True,39.0,0.46987951807228917,0.0
30515,0,True,28.0,0.34146341463414637,0.0
30935,0,True,28.0,0.345679012345679,0.0
31415,0,True,15.0,0.189873417721519,0.0
31887,0,True,4.0,0.05128205128205128,0.0
32369,0,True,13.0,0.16455696202531644,0.0
32835,0,True,6.0,0.07692307692307693,0.0
33261,0,True,31.0,0.3924050632911392,0.0
33714,0,True,2.0,0.024390243902439025,0.0
34137,0,True,20.0,0.25316455696202533,0.0
34599,0,True,3.0,0.036585365853658534,0.0
35027,0,True,22.0,0.27848101265822783,0.0
35457,0,True,40.0,0.4878048780487805,0.0
35929,0,True,7.0,0.08139534883720931,0.0
36317,0,True,36.0,0.42857142857142855,0.0
36809,0,True,15.0,0.17647058823529413,0.0
37239,0,True,31.0,0.3974358974358974,0.0
37665,0,True,40.0,0.45454545454545453,0.0
38197,0,True,22.0,0.24444444444444444,0.0
38593,0,True,30.0,0.3409090909090909,0.0
39021,0,True,18.0,0.21428571428571427,0.0
39471,0,True,20.0,0.24096385542168675,0.0
39890,0,True,25.0,0.30864197530864196,0.0
40325,0,True,31.0,0.36904761904761907,0.0
40749,0,True,41.0,0.5061728395061729,0.0
41205,0,True,80.0,0.963855421686747,0.0
41649,0,True,25.0,0.3048780487804878,0.0
42043,0,True,14.0,0.17721518987341772,0.0
42441,0,True,22.0,0.28205128205128205,0.0
42845,0,True,34.0,0.4358974358974359,0.0
43281,0,True,64.0,0.7901234567901234,0.0
43649,0,True,26.0,0.325,0.0
44153,0,True,39.0,0.4588235294117647,0.0
44553,0,True,29.0,0.3717948717948718,0.0
44947,0,True,31.0,0.3924050632911392,0.0
45359,0,True,33.0,0.39759036144578314,0.0
45813,0,True,71.0,0.8765432098765432,0.0
46265,0,True,33.0,0.36666666666666664,0.0
46409,0,True,87.0,0.8787878787878788,0.0
46693,0,True,81.0,0.8901098901098901,0.0
47037,0,True,38.0,0.40860215053763443,0.0
47405,0,True,31.0,0.34444444444444444,0.0
47759,0,True,31.0,0.36470588235294116,0.0
48189,0,True,36.0,0.41379310344827586,0.0
48521,0,True,23.0,0.27058823529411763,0.0
48868,0,True,32.0,0.3902439024390244,0.0
49269,0,True,18.0,0.21428571428571427,0.0
49619,0,True,28.0,0.345679012345679,0.0
50004,0,True,9.0,0.1111111111111111,0.0
50407,0,True,1.0,0.0125,0.0
50805,0,True,9.0,0.11842105263157894,0.0
51223,0,True,27.0,0.3375,0.0
51629,0,True,19.0,0.2375,0.0
52035,0,True,28.0,0.358974358974359,0.0
52417,0,True,22.0,0.2894736842105263,0.0
52857,0,True,2.0,0.02564102564102564,0.0
53285,0,True,20.0,0.24691358024691357,0.0
53673,0,True,3.0,0.0375,0.0
54083,0,True,11.0,0.13924050632911392,0.0
54475,0,True,9.0,0.11688311688311688,0.0
