subject,annotator,detected_peaks,reference_peaks,matched,matched_fraction_detected,matched_fraction_reference,window_samples
1,ann1,170,170,170,1.0,1.0,85
1,ann2,170,170,170,1.0,1.0,85
2,ann1,125,122,122,0.976,1.0,85
2,ann2,125,122,122,0.976,1.0,85
3,ann1,143,141,139,0.972027972027972,0.9858156028368794,85
3,ann2,143,142,141,0.986013986013986,0.9929577464788732,85
4,ann1,158,133,133,0.8417721518987342,1.0,85
4,ann2,158,133,133,0.8417721518987342,1.0,85
5,ann1,149,48,47,0.31543624161073824,0.9791666666666666,85
5,ann2,149,48,47,0.31543624161073824,0.9791666666666666,85
6,ann1,164,161,159,0.9695121951219512,0.9875776397515528,85
6,ann2,164,160,158,0.9634146341463414,0.9875,85
7,ann1,161,160,160,0.9937888198757764,1.0,85
7,ann2,161,160,160,0.9937888198757764,1.0,85
8,ann1,180,170,169,0.9388888888888889,0.9941176470588236,85
8,ann2,180,170,169,0.9388888888888889,0.9941176470588236,85
9,ann1,195,160,159,0.8153846153846154,0.99375,85
9,ann2,195,161,159,0.8153846153846154,0.9875776397515528,85
10,ann1,155,146,145,0.9354838709677419,0.9931506849315068,85
10,ann2,155,152,151,0.9741935483870968,0.993421052631579,85
11,ann1,141,116,114,0.8085106382978723,0.9827586206896551,85
11,ann2,141,120,117,0.8297872340425532,0.975,85
12,ann1,151,151,150,0.9933774834437086,0.9933774834437086,85
12,ann2,151,152,151,1.0,0.993421052631579,85
13,ann1,400,160,160,0.4,1.0,85
13,ann2,400,165,163,0.4075,0.9878787878787879,85
14,ann1,176,108,93,0.5284090909090909,0.8611111111111112,85
14,ann2,176,110,105,0.5965909090909091,0.9545454545454546,85
15,ann1,139,110,96,0.6906474820143885,0.8727272727272727,85
15,ann2,139,124,120,0.8633093525179856,0.967741935483871,85
16,ann1,159,156,155,0.9748427672955975,0.9935897435897436,85
16,ann2,159,155,155,0.9748427672955975,1.0,85
17,ann1,142,137,134,0.9436619718309859,0.9781021897810219,85
17,ann2,142,138,137,0.9647887323943662,0.9927536231884058,85
18,ann1,144,144,143,0.9930555555555556,0.9930555555555556,85
18,ann2,144,144,143,0.9930555555555556,0.9930555555555556,85
19,ann1,288,118,115,0.3993055555555556,0.9745762711864406,85
19,ann2,288,128,128,0.4444444444444444,1.0,85
20,ann1,144,122,118,0.8194444444444444,0.9672131147540983,85
20,ann2,144,120,119,0.8263888888888888,0.9916666666666667,85
21,ann1,170,143,141,0.8294117647058824,0.986013986013986,85
21,ann2,170,144,143,0.8411764705882353,0.9930555555555556,85
22,ann1,150,150,149,0.9933333333333333,0.9933333333333333,85
22,ann2,150,150,149,0.9933333333333333,0.9933333333333333,85
23,ann1,252,143,142,0.5634920634920635,0.993006993006993,85
23,ann2,252,144,143,0.5674603174603174,0.9930555555555556,85
24,ann1,179,180,179,1.0,0.9944444444444445,85
24,ann2,179,180,179,1.0,0.9944444444444445,85
25,ann1,131,129,127,0.9694656488549618,0.9844961240310077,85
25,ann2,131,129,127,0.9694656488549618,0.9844961240310077,85
26,ann1,166,131,127,0.7650602409638554,0.9694656488549618,85
26,ann2,166,137,134,0.8072289156626506,0.9781021897810219,85
27,ann1,129,82,54,0.4186046511627907,0.6585365853658537,85
27,ann2,129,89,79,0.6124031007751938,0.8876404494382022,85
28,ann1,148,145,145,0.9797297297297297,1.0,85
28,ann2,148,144,144,0.972972972972973,1.0,85
29,ann1,164,150,136,0.8292682926829268,0.9066666666666666,85
29,ann2,164,151,148,0.9024390243902439,0.9801324503311258,85
30,ann1,152,149,149,0.9802631578947368,1.0,85
30,ann2,152,149,149,0.9802631578947368,1.0,85
31,ann1,172,144,144,0.8372093023255814,1.0,85
31,ann2,172,143,143,0.8313953488372093,1.0,85
32,ann1,197,197,196,0.9949238578680203,0.9949238578680203,85
32,ann2,197,197,196,0.9949238578680203,0.9949238578680203,85
33,ann1,187,107,104,0.5561497326203209,0.9719626168224299,85
33,ann2,187,106,102,0.5454545454545454,0.9622641509433962,85
34,ann1,154,136,136,0.8831168831168831,1.0,85
34,ann2,154,141,141,0.9155844155844156,1.0,85
35,ann1,141,142,139,0.9858156028368794,0.9788732394366197,85
35,ann2,141,140,138,0.9787234042553191,0.9857142857142858,85
36,ann1,155,148,148,0.9548387096774194,1.0,85
36,ann2,155,147,147,0.9483870967741935,1.0,85
37,ann1,158,149,145,0.9177215189873418,0.9731543624161074,85
37,ann2,158,149,144,0.9113924050632911,0.9664429530201343,85
38,ann1,144,122,117,0.8125,0.9590163934426229,85
38,ann2,144,128,127,0.8819444444444444,0.9921875,85
39,ann1,114,114,113,0.9912280701754386,0.9912280701754386,85
39,ann2,114,114,113,0.9912280701754386,0.9912280701754386,85
40,ann1,156,126,123,0.7884615384615384,0.9761904761904762,85
40,ann2,156,132,130,0.8333333333333334,0.9848484848484849,85
41,ann1,120,109,109,0.9083333333333333,1.0,85
41,ann2,120,109,109,0.9083333333333333,1.0,85
42,ann1,138,138,138,1.0,1.0,85
42,ann2,138,138,138,1.0,1.0,85
43,ann1,142,140,139,0.9788732394366197,0.9928571428571429,85
43,ann2,142,140,139,0.9788732394366197,0.9928571428571429,85
44,ann1,139,132,2,0.014388489208633094,0.015151515151515152,85
44,ann2,139,132,131,0.9424460431654677,0.9924242424242424,85
45,ann1,147,128,128,0.8707482993197279,1.0,85
45,ann2,147,128,127,0.8639455782312925,0.9921875,85
46,ann1,162,95,88,0.5432098765432098,0.9263157894736842,85
46,ann2,162,123,117,0.7222222222222222,0.9512195121951219,85
47,ann1,180,178,178,0.9888888888888889,1.0,85
47,ann2,180,176,175,0.9722222222222222,0.9943181818181818,85
48,ann1,149,140,137,0.9194630872483222,0.9785714285714285,85
48,ann2,149,141,140,0.9395973154362416,0.9929078014184397,85
49,ann1,140,139,138,0.9857142857142858,0.9928057553956835,85
49,ann2,140,138,137,0.9785714285714285,0.9927536231884058,85
50,ann1,119,118,118,0.9915966386554622,1.0,85
50,ann2,119,118,118,0.9915966386554622,1.0,85
51,ann1,146,147,146,1.0,0.9931972789115646,85
51,ann2,146,147,146,1.0,0.9931972789115646,85
52,ann1,165,148,147,0.8909090909090909,0.9932432432432432,85
52,ann2,165,148,147,0.8909090909090909,0.9932432432432432,85
53,ann1,157,156,155,0.9872611464968153,0.9935897435897436,85
53,ann2,157,155,155,0.9872611464968153,1.0,85
