featuregraph_object_id,start_index,peak_index,end_index,has_start,raw_minimum,raw_maximum,transition_complete,start_trough_start_index,start_trough_end_index,peak_start_index,peak_end_index,end_trough_start_index,end_trough_end_index,plateau_boundary_ambiguous,plateau_invalidated_complete,is_complete,period_seconds,temporal_symmetry,full_excursion,subject,peak_detection_index,peak_detection_latency_samples,object_id,window_samples
128,49223,49464.0,49644,True,-0.19806,0.81553,True,49223,49223,49463.0,49465.0,49644,49644,False,False,True,3.32,0.8551068883610451,1.01359,36,49550.0,86.0,bidmc-36-w085-0128,85
129,49644,49867.0,50046,True,-0.19806,0.73398,True,49644,49644,49866.0,49869.0,50046,50046,False,False,True,3.224,0.8905472636815921,0.93204,36,49954.0,87.0,bidmc-36-w085-0129,85
130,50046,50288.0,50492,True,-0.095146,0.81165,True,50046,50046,50286.0,50290.0,50492,50492,False,False,True,3.368,0.9147982062780269,0.9067959999999999,36,50375.0,87.0,bidmc-36-w085-0130,85
131,50492,50703.0,50883,True,-0.21553,0.56893,True,50492,50492,50702.0,50705.0,50883,50883,False,False,True,3.32,0.9207161125319693,0.78446,36,50790.0,87.0,bidmc-36-w085-0131,85
132,50883,51119.0,51304,True,-0.21359,0.66602,True,50883,50883,51118.0,51121.0,51304,51305,False,False,True,3.328,0.8788598574821853,0.87961,36,51206.0,87.0,bidmc-36-w085-0132,85
133,51304,51533.0,51661,True,-0.17087,0.76893,True,51304,51305,51532.0,51535.0,51661,51661,False,False,True,3.312,0.7170868347338936,0.9398,36,51620.0,87.0,bidmc-36-w085-0133,85
134,51661,51852.0,52033,True,-0.1534,0.70874,True,51661,51661,51850.0,51855.0,52032,52034,False,False,True,2.552,0.9731182795698925,0.86214,36,51940.0,88.0,bidmc-36-w085-0134,85
135,52033,52271.0,52456,True,-0.12816,0.86019,True,52032,52034,52270.0,52273.0,52451,52461,False,False,True,3.352,0.8747044917257684,0.9883500000000001,36,52358.0,87.0,bidmc-36-w085-0135,85
136,52456,52685.0,52893,True,-0.15728,0.78835,True,52451,52461,52684.0,52686.0,52893,52894,False,False,True,3.312,0.9519450800915332,0.94563,36,52771.0,86.0,bidmc-36-w085-0136,85
137,52893,53135.0,53327,True,-0.1767,0.79806,True,52893,52894,53134.0,53137.0,53327,53328,False,False,True,3.6,0.8847926267281105,0.97476,36,53222.0,87.0,bidmc-36-w085-0137,85
139,53340,53567.0,53761,True,-0.16505,0.72816,True,53339,53341,53567.0,53567.0,53761,53761,False,False,True,1.816,0.9216152019002375,0.8932100000000001,36,53652.0,85.0,bidmc-36-w085-0139,85
140,53761,53778.0,53790,True,-0.087379,-0.0058252,True,53761,53761,53777.0,53779.0,53790,53791,False,False,True,1.688,0.8275862068965517,0.0815538,36,53864.0,86.0,bidmc-36-w085-0140,85
141,53790,54050.0,54229,True,-0.17282,0.79417,True,53790,53791,54047.0,54053.0,54229,54229,False,False,True,2.176,0.8154897494305239,0.96699,36,54138.0,88.0,bidmc-36-w085-0141,85
142,54229,54366.0,54479,True,-0.11845,0.69515,True,54229,54229,54365.0,54367.0,54479,54479,False,False,True,2.528,0.904,0.8136000000000001,36,54452.0,86.0,bidmc-36-w085-0142,85
143,54479,54687.0,54859,True,-0.19223,0.57864,True,54479,54479,54687.0,54687.0,54859,54859,False,False,True,2.568,0.9052631578947369,0.77087,36,54772.0,85.0,bidmc-36-w085-0143,85
144,54859,55114.0,55328,True,-0.14369,0.69903,True,54859,54859,55113.0,55115.0,55328,55328,False,False,True,3.416,0.9125799573560768,0.84272,36,55200.0,86.0,bidmc-36-w085-0144,85
145,55328,55636.0,55826,True,-0.16505,0.7534,True,55328,55328,55635.0,55637.0,55826,55827,False,False,True,4.176,0.7630522088353413,0.91845,36,55722.0,86.0,bidmc-36-w085-0145,85
146,55826,56053.0,56235,True,-0.17864,0.72427,True,55826,55827,56052.0,56055.0,56235,56235,False,False,True,3.336,0.8899755501222494,0.90291,36,56140.0,87.0,bidmc-36-w085-0146,85
147,56235,56464.0,56638,True,-0.18252,0.8699,True,56235,56235,56463.0,56466.0,56638,56638,False,False,True,3.288,0.8635235732009925,1.05242,36,56551.0,87.0,bidmc-36-w085-0147,85
148,56638,56862.0,57040,True,-0.19223,0.81748,True,56638,56638,56861.0,56863.0,57040,57040,False,False,True,3.184,0.8855721393034826,1.00971,36,56948.0,86.0,bidmc-36-w085-0148,85
149,57040,57272.0,57459,True,-0.17282,0.74175,True,57040,57040,57270.0,57274.0,57459,57459,False,False,True,3.28,0.8926014319809069,0.91457,36,57359.0,87.0,bidmc-36-w085-0149,85
150,57459,57691.0,57873,True,-0.19029,0.76699,True,57459,57459,57689.0,57693.0,57873,57873,False,False,True,3.352,0.8792270531400966,0.9572799999999999,36,57778.0,87.0,bidmc-36-w085-0150,85
151,57873,58107.0,58294,True,-0.20777,0.76699,True,57873,57873,58106.0,58109.0,58294,58294,False,False,True,3.328,0.8883610451306413,0.97476,36,58194.0,87.0,bidmc-36-w085-0151,85
152,58294,58543.0,58721,True,-0.19612,0.79417,True,58294,58294,58541.0,58545.0,58721,58722,False,False,True,3.488,0.8337236533957846,0.99029,36,58630.0,87.0,bidmc-36-w085-0152,85
153,58721,58953.0,59143,True,-0.1165,0.84466,True,58721,58722,58951.0,58955.0,59143,59143,False,False,True,3.28,0.9004739336492891,0.96116,36,59040.0,87.0,bidmc-36-w085-0153,85
154,59143,59350.0,59539,True,-0.16699,0.7767,True,59143,59143,59349.0,59351.0,59539,59539,False,False,True,3.176,0.9545454545454546,0.9436899999999999,36,59436.0,86.0,bidmc-36-w085-0154,85
