subject,samples,detected_peaks,complete_objects,period_measurements,invalidated_complete_objects,plateau_ambiguous_objects,comparator_objects,matched_objects,requested_only_objects,comparator_only_objects,requested_only_excluded_by_both_annotations,raw_respiration_unchanged,exclusive_exhaustive_states,ordered_complete_boundaries,w79_complete_objects,w79_period_measurements,w79_mean_period_seconds,w79_median_period_seconds,w85_complete_objects,w85_period_measurements,w85_mean_period_seconds,w85_median_period_seconds,w100_complete_objects,w100_period_measurements,w100_mean_period_seconds,w100_median_period_seconds,w79_to_85_shared_objects,w79_to_85_left_only_objects,w79_to_85_right_only_objects,w85_to_100_shared_objects,w85_to_100_left_only_objects,w85_to_100_right_only_objects,w79_to_100_shared_objects,w79_to_100_left_only_objects,w79_to_100_right_only_objects
1,60001,170,169,168,0,1,169,169,0,0,0,True,True,True,169,168,2.821619047619048,2.8,169,168,2.821619047619048,2.8,169,168,2.821619047619048,2.8,169,0,0,169,0,0,169,0,0
2,60001,125,125,124,0,1,121,121,4,0,2,True,True,True,125,124,3.823032258064516,3.892,125,124,3.823032258064516,3.892,125,124,3.823032258064516,3.892,125,0,0,125,0,0,125,0,0
3,60001,143,142,141,1,2,139,139,3,0,1,True,True,True,144,143,3.2956643356643354,3.208,142,141,3.3426950354609923,3.208,141,140,3.3777142857142857,3.232,142,2,0,141,1,0,141,3,0
4,60001,158,147,146,10,11,131,131,16,0,15,True,True,True,160,159,2.8364779874213837,3.16,147,146,3.1023013698630137,3.42,140,139,3.3548776978417267,3.568,147,13,0,140,7,0,140,20,0
5,60001,149,146,145,3,4,79,75,71,4,68,True,True,True,148,147,3.1627210884353745,2.704,146,145,3.214951724137931,2.808,140,139,3.3557410071942444,2.96,146,2,0,140,6,0,140,8,0
6,60001,164,163,162,1,2,159,159,4,0,3,True,True,True,165,164,2.890146341463415,2.992,163,162,2.915851851851852,2.992,160,159,2.981031446540881,3.0,163,2,0,160,3,0,160,5,0
7,60001,161,160,159,0,1,157,157,3,0,1,True,True,True,160,159,2.9690062893081763,3.0,160,159,2.9807295597484273,3.0,160,159,2.9807295597484273,3.0,160,0,0,160,0,0,160,0,0
8,60001,180,180,179,0,1,168,168,12,0,11,True,True,True,180,179,2.6446927374301676,2.76,180,179,2.654480446927374,2.76,179,178,2.6693932584269664,2.76,180,0,0,179,1,0,179,1,0
9,60001,195,186,185,9,10,158,158,28,0,27,True,True,True,225,224,2.065928571428571,1.58,186,185,2.49587027027027,2.96,159,158,2.9996962025316454,3.0,186,39,0,159,27,0,159,66,0
10,60001,155,154,153,1,2,148,148,6,0,3,True,True,True,154,153,3.0883137254901962,3.168,154,153,3.0884705882352943,3.168,153,152,3.12,3.172,154,0,0,153,1,0,153,1,0
11,60001,141,136,135,4,5,116,116,20,0,15,True,True,True,141,140,3.3726857142857147,3.728,136,135,3.3790222222222224,3.736,127,126,3.7058412698412697,3.88,136,5,0,127,9,0,127,14,0
12,60001,151,151,150,0,1,150,150,1,0,0,True,True,True,151,150,3.169706666666667,3.196,151,150,3.169706666666667,3.196,150,149,3.1692885906040273,3.192,151,0,0,150,1,0,150,1,0
13,60001,400,393,392,6,7,105,105,288,0,186,True,True,True,413,412,1.1391844660194177,0.912,393,392,1.2017551020408166,0.912,219,218,2.1486605504587155,2.648,393,20,0,219,174,0,219,194,0
14,60001,176,171,170,5,6,101,99,72,2,48,True,True,True,181,180,2.5868,2.48,171,170,2.745129411764706,2.516,162,161,2.9060869565217393,2.544,171,10,0,162,9,0,162,19,0
15,60001,139,139,138,0,1,117,114,25,3,16,True,True,True,140,139,3.4157122302158274,3.616,139,138,3.440463768115942,3.616,135,134,3.53134328358209,3.784,139,1,0,135,4,0,135,5,0
16,60001,159,158,157,1,2,152,152,6,0,2,True,True,True,161,160,2.9671,3.28,158,157,3.010904458598726,3.288,156,155,3.0406709677419355,3.296,158,3,0,156,2,0,156,5,0
17,60001,142,142,141,0,1,137,137,5,0,4,True,True,True,143,142,3.338985915492958,3.428,142,141,3.3626666666666667,3.432,140,139,3.41105035971223,3.488,142,1,0,140,2,0,140,3,0
18,60001,144,144,143,0,1,142,142,2,0,1,True,True,True,145,144,3.3116111111111106,3.336,144,143,3.311384615384615,3.336,143,142,3.3214647887323947,3.336,144,1,0,143,1,0,143,2,0
19,60001,288,269,268,19,20,121,121,148,0,137,True,True,True,323,322,1.4502111801242237,1.56,269,268,1.6796716417910447,1.64,172,171,2.6744327485380115,2.416,269,54,0,172,97,0,172,151,0
20,60001,144,142,141,1,2,114,113,29,1,21,True,True,True,147,146,3.2153424657534244,3.568,142,141,3.307801418439716,3.68,133,132,3.550727272727273,3.872,142,5,0,132,10,1,132,15,1
21,60001,170,169,168,0,1,144,141,28,3,23,True,True,True,169,168,2.8306666666666667,2.984,169,168,2.8306666666666667,2.984,158,157,3.0289936305732486,3.128,169,0,0,157,12,1,157,12,1
22,60001,150,149,148,0,1,149,149,0,0,0,True,True,True,150,149,3.164456375838926,3.328,149,148,3.185837837837838,3.328,149,148,3.185837837837838,3.328,149,1,0,149,0,0,149,1,0
23,60001,252,251,250,1,2,140,139,112,1,106,True,True,True,268,267,1.7725243445692884,1.8,251,250,1.9016,1.832,175,174,2.6862988505747127,3.168,251,17,0,175,76,0,175,93,0
24,60001,179,178,177,0,1,178,178,0,0,0,True,True,True,178,177,2.6673446327683616,2.648,178,177,2.6673446327683616,2.648,178,177,2.6673446327683616,2.648,178,0,0,178,0,0,178,0,0
25,60001,131,130,129,1,2,127,127,3,0,3,True,True,True,133,132,3.5657575757575763,3.68,130,129,3.648868217054264,3.704,130,129,3.6675968992248063,3.704,130,3,0,130,0,0,130,3,0
26,60001,166,164,163,1,2,136,133,31,3,23,True,True,True,171,170,2.792705882352941,2.944,164,163,2.895803680981595,3.032,155,154,3.082857142857143,3.108,164,7,0,154,10,1,154,17,1
27,60001,129,120,120,8,9,86,77,43,9,24,True,True,True,133,132,3.088909090909091,2.772,120,120,3.6788000000000003,3.7800000000000002,115,114,3.9020350877192986,4.272,120,13,0,115,5,0,115,18,0
28,60001,148,147,146,0,1,142,142,5,0,3,True,True,True,149,148,3.1945405405405403,3.312,147,146,3.2383013698630134,3.332,147,146,3.2383013698630134,3.332,147,2,0,147,0,0,147,2,0
29,60001,164,162,161,1,2,148,135,27,13,8,True,True,True,163,162,2.886567901234568,3.064,162,161,2.9249689440993785,3.088,157,156,3.0202051282051285,3.172,162,1,0,157,5,0,157,6,0
30,60001,152,151,150,1,2,146,146,5,0,2,True,True,True,155,154,3.0582857142857143,3.1,151,150,3.1426133333333337,3.12,151,150,3.1567466666666673,3.128,151,4,0,151,0,0,151,4,0
31,60001,172,170,169,2,3,138,138,32,0,25,True,True,True,184,183,2.5986010928961747,2.952,170,169,2.7922840236686395,3.008,160,159,2.9908427672955975,3.144,170,14,0,160,10,0,160,24,0
32,60001,197,197,196,0,1,196,196,1,0,1,True,True,True,203,202,2.35029702970297,2.304,197,196,2.4222448979591835,2.312,196,195,2.4346666666666668,2.32,197,6,0,196,1,0,196,7,0
33,60001,187,183,182,4,5,113,110,73,3,68,True,True,True,192,191,2.4665968586387437,2.48,183,182,2.5380219780219777,2.532,168,167,2.8254371257485027,2.976,183,9,0,166,17,2,166,26,2
34,60001,154,147,146,6,7,136,136,11,0,7,True,True,True,149,148,3.1102702702702705,3.38,147,146,3.1592328767123288,3.388,144,143,3.2809510489510494,3.432,147,2,0,144,3,0,144,5,0
35,60001,141,140,139,0,1,121,119,21,2,1,True,True,True,140,139,3.385438848920863,3.512,140,139,3.385438848920863,3.512,140,139,3.385438848920863,3.512,140,0,0,140,0,0,140,0,0
