field,tier,cases,outstanding,outstanding_and_named,overclaimed,underclaimed,shape_blind,withheld,fabricated
title,approvable,56,2,1,1,0,0,3,1
research_question,approvable,56,2,0,2,0,0,3,1
data_source,approvable,56,2,0,2,0,0,3,1
observation_schema,compilable,56,3,1,2,0,2,3,2
grouping_and_order,compilable,56,1,0,1,0,0,3,2
time_semantics,approvable,56,3,0,3,17,0,3,0
states_or_labels,compilable,56,2,0,2,1,0,3,1
preprocessing_steps,approvable,56,2,0,2,16,0,3,1
operator_parameters,compilable,56,8,1,7,0,0,3,2
boundary_rules,compilable,56,3,0,3,0,0,3,0
completeness_rules,compilable,56,1,0,1,0,0,3,2
object_definition,approvable,56,3,0,3,28,0,3,0
measurements,approvable,56,3,0,3,8,0,3,0
validations,approvable,56,1,0,1,23,0,3,2
provenance,approvable,56,3,0,3,10,0,3,0
exclusions,approvable,56,2,1,1,1,0,3,2
claim_limits,approvable,56,3,0,3,14,0,3,0
