field,tier,cases,outstanding,outstanding_and_named,overclaimed,underclaimed,shape_blind,withheld,fabricated
title,approvable,54,2,1,1,0,0,2,0
research_question,approvable,54,2,1,1,0,0,3,1
data_source,approvable,54,2,0,2,0,0,3,1
observation_schema,compilable,54,2,0,2,0,2,3,3
grouping_and_order,compilable,54,1,0,1,0,0,3,2
time_semantics,approvable,54,3,1,2,14,0,3,0
states_or_labels,compilable,54,2,0,2,0,0,3,1
preprocessing_steps,approvable,54,3,0,3,19,0,3,0
operator_parameters,compilable,54,20,1,19,0,0,3,0
boundary_rules,compilable,54,3,0,3,0,0,3,0
completeness_rules,compilable,54,1,0,1,1,0,3,2
object_definition,approvable,54,3,0,3,28,0,3,0
measurements,approvable,54,3,0,3,13,0,3,0
validations,approvable,54,2,0,2,22,0,2,0
provenance,approvable,54,3,0,3,11,0,3,0
exclusions,approvable,54,1,0,1,1,0,3,2
claim_limits,approvable,54,3,0,3,15,0,3,0
