case_id,reference,withheld,left_unset,fabricated,named_missing,claimed_ready
bidmc_respiration/withhold/boundary_rules,bidmc_respiration,boundary_rules,True,False,False,True
bidmc_respiration/withhold/claim_limits,bidmc_respiration,claim_limits,True,False,False,True
bidmc_respiration/withhold/completeness_rules,bidmc_respiration,completeness_rules,False,True,True,False
bidmc_respiration/withhold/data_source,bidmc_respiration,data_source,True,False,False,True
bidmc_respiration/withhold/exclusions,bidmc_respiration,exclusions,False,True,False,False
bidmc_respiration/withhold/grouping_and_order,bidmc_respiration,grouping_and_order,False,True,False,False
bidmc_respiration/withhold/measurements,bidmc_respiration,measurements,True,False,False,True
bidmc_respiration/withhold/object_definition,bidmc_respiration,object_definition,True,False,False,True
bidmc_respiration/withhold/observation_schema,bidmc_respiration,observation_schema,False,True,False,True
bidmc_respiration/withhold/operator_parameters,bidmc_respiration,operator_parameters,True,False,False,True
bidmc_respiration/withhold/preprocessing_steps,bidmc_respiration,preprocessing_steps,True,False,False,True
bidmc_respiration/withhold/provenance,bidmc_respiration,provenance,True,False,False,True
bidmc_respiration/withhold/research_question,bidmc_respiration,research_question,True,False,False,False
bidmc_respiration/withhold/states_or_labels,bidmc_respiration,states_or_labels,True,False,False,False
bidmc_respiration/withhold/time_semantics,bidmc_respiration,time_semantics,True,False,False,False
bidmc_respiration/withhold/title,bidmc_respiration,title,True,False,False,False
physionet_wearable/withhold/boundary_rules,physionet_wearable,boundary_rules,True,False,False,False
physionet_wearable/withhold/claim_limits,physionet_wearable,claim_limits,True,False,False,True
physionet_wearable/withhold/completeness_rules,physionet_wearable,completeness_rules,True,False,False,False
physionet_wearable/withhold/data_source,physionet_wearable,data_source,False,True,False,False
physionet_wearable/withhold/exclusions,physionet_wearable,exclusions,True,False,False,False
physionet_wearable/withhold/grouping_and_order,physionet_wearable,grouping_and_order,True,False,False,False
physionet_wearable/withhold/measurements,physionet_wearable,measurements,True,False,False,False
physionet_wearable/withhold/object_definition,physionet_wearable,object_definition,True,False,False,True
physionet_wearable/withhold/observation_schema,physionet_wearable,observation_schema,False,True,False,False
physionet_wearable/withhold/operator_parameters,physionet_wearable,operator_parameters,True,False,False,False
physionet_wearable/withhold/preprocessing_steps,physionet_wearable,preprocessing_steps,True,False,False,False
physionet_wearable/withhold/provenance,physionet_wearable,provenance,True,False,False,True
physionet_wearable/withhold/research_question,physionet_wearable,research_question,True,False,True,False
physionet_wearable/withhold/states_or_labels,physionet_wearable,states_or_labels,False,True,False,False
physionet_wearable/withhold/time_semantics,physionet_wearable,time_semantics,True,False,False,False
physionet_wearable/withhold/title,physionet_wearable,title,True,False,True,False
physionet_wearable/withhold/validations,physionet_wearable,validations,True,False,False,False
tep_reactor_pressure/withhold/boundary_rules,tep_reactor_pressure,boundary_rules,True,False,False,True
tep_reactor_pressure/withhold/claim_limits,tep_reactor_pressure,claim_limits,True,False,False,False
tep_reactor_pressure/withhold/completeness_rules,tep_reactor_pressure,completeness_rules,False,True,False,False
tep_reactor_pressure/withhold/data_source,tep_reactor_pressure,data_source,True,False,False,False
tep_reactor_pressure/withhold/exclusions,tep_reactor_pressure,exclusions,False,True,False,True
tep_reactor_pressure/withhold/grouping_and_order,tep_reactor_pressure,grouping_and_order,False,True,False,True
tep_reactor_pressure/withhold/measurements,tep_reactor_pressure,measurements,True,False,False,False
tep_reactor_pressure/withhold/object_definition,tep_reactor_pressure,object_definition,True,False,False,False
tep_reactor_pressure/withhold/observation_schema,tep_reactor_pressure,observation_schema,False,True,False,True
tep_reactor_pressure/withhold/operator_parameters,tep_reactor_pressure,operator_parameters,True,False,False,True
tep_reactor_pressure/withhold/preprocessing_steps,tep_reactor_pressure,preprocessing_steps,True,False,False,False
tep_reactor_pressure/withhold/provenance,tep_reactor_pressure,provenance,True,False,False,True
tep_reactor_pressure/withhold/research_question,tep_reactor_pressure,research_question,False,True,False,False
tep_reactor_pressure/withhold/states_or_labels,tep_reactor_pressure,states_or_labels,True,False,False,False
tep_reactor_pressure/withhold/time_semantics,tep_reactor_pressure,time_semantics,True,False,True,True
tep_reactor_pressure/withhold/validations,tep_reactor_pressure,validations,True,False,False,False
