subject_id,cohort,participant_mean_target,participant_rows,target_stratum,stratum,fold
S01,v1,5.125,8,high,v1_high,1
S03,v1,3.125,8,low,v1_low,5
S04,v1,1.875,8,low,v1_low,1
S05,v1,2.0,8,low,v1_low,5
S06,v1,3.25,8,low,v1_low,2
S07,v1,7.25,8,high,v1_high,3
S08,v1,1.4375,8,low,v1_low,1
S09,v1,5.25,8,high,v1_high,4
S10,v1,4.75,8,high,v1_high,2
S11,v1,6.5,8,high,v1_high,5
S12,v1,6.375,8,high,v1_high,4
S13,v1,4.25,8,high,v1_high,3
S14,v1,6.0,8,high,v1_high,2
S15,v1,5.0,8,high,v1_high,1
S16,v1,2.875,8,low,v1_low,2
S17,v1,1.125,8,low,v1_low,3
S18,v1,3.5,8,low,v1_low,4
f01,v2,3.0,7,low,v2_low,3
f02,v2,2.7142857142857144,7,low,v2_low,2
f03,v2,4.142857142857143,7,low,v2_low,1
f04,v2,3.0,7,low,v2_low,4
f05,v2,3.0,7,low,v2_low,4
f06,v2,2.4285714285714284,7,low,v2_low,1
f08,v2,1.2857142857142858,7,low,v2_low,5
f09,v2,4.285714285714286,7,high,v2_high,3
f10,v2,5.428571428571429,7,high,v2_high,1
f11,v2,5.857142857142857,7,high,v2_high,4
f12,v2,4.142857142857143,7,low,v2_low,5
f13,v2,4.285714285714286,7,high,v2_high,2
f15,v2,4.285714285714286,7,high,v2_high,2
f16,v2,5.0,7,high,v2_high,5
f17,v2,6.428571428571429,7,high,v2_high,3
f18,v2,3.5714285714285716,7,low,v2_low,3
