condition,model,fold,test_participants,test_rows,mae,rmse,r2
physiology_only,train_mean,1,7,53,1.824528301886792,2.1725512734201264,-0.06080098500708986
physiology_only,train_mean,2,7,53,1.3622157716497336,1.7153319686487956,-0.0001330843823772465
physiology_only,train_mean,3,7,52,1.8160321821036105,2.2331078873781753,-0.01998701530690994
physiology_only,train_mean,4,6,45,1.4970443349753693,1.9249711071012758,-0.117614740903901
physiology_only,train_mean,5,6,45,1.9388615216201424,2.2759851887263496,-0.033062819882408334
physiology_only,nori_6m,1,7,53,1.732103352364035,2.093566963808669,0.014928945621434875
physiology_only,nori_6m,2,7,53,1.6269086410068254,1.9852279692369796,-0.33962178392579356
physiology_only,nori_6m,3,7,52,2.000319678530684,2.52484899211969,-0.30390529643367103
physiology_only,nori_6m,4,6,45,1.843969196276699,2.497908958765148,-0.881901558194125
physiology_only,nori_6m,5,6,45,1.9279073829001598,2.302998456847596,-0.057730828421397984
physiology_only,xgboost,1,7,53,1.8687487728190872,2.2963770308187104,-0.1851688631987809
physiology_only,xgboost,2,7,53,1.6506003208880156,2.084382677985649,-0.4767818339226928
physiology_only,xgboost,3,7,52,2.051706685469701,2.5622311441647034,-0.3428015802790423
physiology_only,xgboost,4,6,45,1.8629952616161771,2.5113934936152726,-0.9022746487251385
physiology_only,xgboost,5,6,45,1.9183544821209377,2.416210960029085,-0.16428035176417777
physiology_only,lightgbm,1,7,53,2.002755307101947,2.4476462809387556,-0.346452873329651
physiology_only,lightgbm,2,7,53,1.692481057733515,2.0214568251265166,-0.3889620205281059
physiology_only,lightgbm,3,7,52,2.032280783713029,2.544278760973318,-0.3240507060674698
physiology_only,lightgbm,4,6,45,2.024331942288105,2.6955921562166063,-1.1915534066323206
physiology_only,lightgbm,5,6,45,1.841753946774805,2.3348583733404413,-0.08719877267135012
physiology_plus_protocol,train_mean,1,7,53,1.824528301886792,2.1725512734201264,-0.06080098500708986
physiology_plus_protocol,train_mean,2,7,53,1.3622157716497336,1.7153319686487956,-0.0001330843823772465
physiology_plus_protocol,train_mean,3,7,52,1.8160321821036105,2.2331078873781753,-0.01998701530690994
physiology_plus_protocol,train_mean,4,6,45,1.4970443349753693,1.9249711071012758,-0.117614740903901
physiology_plus_protocol,train_mean,5,6,45,1.9388615216201424,2.2759851887263496,-0.033062819882408334
physiology_plus_protocol,nori_6m,1,7,53,1.763957491529032,2.0991823723134306,0.009637502905298634
physiology_plus_protocol,nori_6m,2,7,53,1.4906460355672442,1.739481284282714,-0.028492079341829957
physiology_plus_protocol,nori_6m,3,7,52,1.846810598184555,2.366737870059103,-0.14571223794450971
physiology_plus_protocol,nori_6m,4,6,45,1.9578934713476988,2.548877129226893,-0.9594829617648577
physiology_plus_protocol,nori_6m,5,6,45,1.8509641686652885,2.111101922098252,0.1111954467095686
physiology_plus_protocol,xgboost,1,7,53,1.8668083289884172,2.2999000756878885,-0.18880816626322994
physiology_plus_protocol,xgboost,2,7,53,1.4984053553275343,1.8266534657392388,-0.13415852382226
physiology_plus_protocol,xgboost,3,7,52,1.862486013999352,2.3447358969071086,-0.1245094172894019
physiology_plus_protocol,xgboost,4,6,45,1.9533662001291912,2.5471502368206878,-0.9568287185127746
physiology_plus_protocol,xgboost,5,6,45,1.804878658718533,2.1638684020556154,0.06620926882363498
physiology_plus_protocol,lightgbm,1,7,53,1.9733396770789278,2.3354665165330935,-0.22586073642603877
physiology_plus_protocol,lightgbm,2,7,53,1.4665617221982994,1.7420518673459957,-0.03153411014557017
physiology_plus_protocol,lightgbm,3,7,52,1.8663355435040723,2.308197805306276,-0.0897359531898334
physiology_plus_protocol,lightgbm,4,6,45,2.0175592514975245,2.743935655319263,-1.2708661502946108
physiology_plus_protocol,lightgbm,5,6,45,1.829855395620691,2.204627606573001,0.030699690819461
