condition,model,subject_id,fold,rows,mae,rmse,r2
physiology_only,train_mean,S01,1,8,1.3416666666666666,1.7044875411037115,-0.511689250225835
physiology_only,train_mean,S03,5,8,0.9710591133004929,1.0258317608282264,-8.621310185361732
physiology_only,train_mean,S04,1,8,2.2583333333333337,2.4411973382839096,-5.9346262626262645
physiology_only,train_mean,S05,5,8,2.096059113300493,2.322383216967012,-4.393463806450049
physiology_only,train_mean,S06,2,8,1.258974358974359,1.333133614233427,-0.4966275649676457
physiology_only,train_mean,S07,3,8,3.2933673469387754,3.5754396207854704,-5.598074055165187
physiology_only,train_mean,S08,1,8,3.0375000000000005,3.139643468789269,-2.8061605496899626
physiology_only,train_mean,S09,4,8,1.5683497536945814,1.8671201720569925,-1.065859399645709
physiology_only,train_mean,S10,2,8,0.7455128205128205,0.9866098922841418,-1.2249121818352586
physiology_only,train_mean,S11,5,8,2.403940886699507,2.7438899006238593,-3.302246735283207
physiology_only,train_mean,S12,4,8,2.4661330049261085,2.7506702815833597,-4.097220714432592
physiology_only,train_mean,S13,3,8,0.5325255102040816,0.8795250992722697,-0.12518458218166684
physiology_only,train_mean,S14,2,8,1.9820512820512821,2.1629903570476525,-5.238036379574841
physiology_only,train_mean,S15,1,8,0.9333333333333331,1.1185307823708341,-1.5022222222222208
physiology_only,train_mean,S16,2,8,1.3884615384615384,1.5542544102754279,-1.1775384985785848
physiology_only,train_mean,S17,3,8,2.8316326530612246,2.8508802994658597,-73.30874040578331
physiology_only,train_mean,S18,4,8,1.0,1.1904504272168386,-0.13373777572860268
physiology_only,train_mean,f01,3,7,1.267128279883382,1.4345742140998143,-0.8007527787900874
physiology_only,train_mean,f02,2,7,1.5842490842490842,1.7454157105485926,-1.2617776383161
physiology_only,train_mean,f03,1,7,2.123809523809524,2.4159522753617044,-1.554001553993878e-05
physiology_only,train_mean,f04,4,7,0.9869809992962703,1.403173673353298,-0.7227843128928146
physiology_only,train_mean,f05,4,7,0.9349049964813511,1.0543972213776602,-2.8911372515712572
physiology_only,train_mean,f06,1,7,1.7047619047619054,2.0020624286604973,-2.637119341563787
physiology_only,train_mean,f08,5,7,2.8103448275862073,2.945088836354887,-10.184312222291759
physiology_only,train_mean,f09,3,7,0.8757288629737608,1.081443114891173,-0.10204694858712693
physiology_only,train_mean,f10,1,7,1.3333333333333333,1.7508274687692174,-1.2088888888888882
physiology_only,train_mean,f11,4,7,1.9482758620689657,2.5474803994812167,-1.4090391128886974
physiology_only,train_mean,f12,5,7,1.5577058409570725,1.8849961442224887,-0.000616739787062226
physiology_only,train_mean,f13,2,7,1.7219780219780219,2.5051507004437634,-0.011556649884078896
physiology_only,train_mean,f15,2,7,0.8648351648351648,1.3055081234926524,-0.04391526955950065
physiology_only,train_mean,f16,5,7,1.8434201266713581,2.258942985637614,-0.1906587962176547
physiology_only,train_mean,f17,3,7,2.4719387755102042,2.577031927386397,-11.515907083987445
physiology_only,train_mean,f18,3,7,1.267128279883382,1.5470229939112503,-0.06609751855287538
physiology_only,nori_6m,S01,1,8,1.5912688372095771,2.0465345540145803,-1.1792799639808296
physiology_only,nori_6m,S03,5,8,0.7958465511428119,0.9067363305666685,-6.516989926121203
physiology_only,nori_6m,S04,1,8,1.731307697925333,1.9694795685574893,-3.513570642577913
physiology_only,nori_6m,S05,5,8,1.1589651258218987,1.3291870288962395,-0.7667381577860124
physiology_only,nori_6m,S06,2,8,1.681765666321747,1.9247546561703808,-2.1197309359575245
physiology_only,nori_6m,S07,3,8,4.086369260097252,4.31579319348486,-8.613455942673678
physiology_only,nori_6m,S08,1,8,2.8777392809359643,3.063942824770626,-2.62483089316234
physiology_only,nori_6m,S09,4,8,0.8391608810293184,1.142856413360281,0.22600249981705167
physiology_only,nori_6m,S10,2,8,1.6189729023012671,1.708183122769691,-5.669461899234774
physiology_only,nori_6m,S11,5,8,3.0035466467232155,3.3028336870446844,-5.233548779586963
physiology_only,nori_6m,S12,4,8,4.777147553682864,4.918277166687221,-15.296050720577263
physiology_only,nori_6m,S13,3,8,0.7961953434739629,0.9837205470781911,-0.40757253053645903
physiology_only,nori_6m,S14,2,8,1.6322965242335084,1.7006717694869793,-2.856379290039964
physiology_only,nori_6m,S15,1,8,1.3077340580911474,1.563952145542027,-3.8918926270910195
physiology_only,nori_6m,S16,2,8,1.527844610340825,1.9236111781210834,-2.3354636300551053
physiology_only,nori_6m,S17,3,8,3.566317026413353,3.658348632855311,-121.36356314984523
physiology_only,nori_6m,S18,4,8,1.8081419019232066,1.9253993578841062,-1.9657301498724227
physiology_only,nori_6m,f01,3,7,1.3129713308334439,1.360957868532131,-0.620680529929581
physiology_only,nori_6m,f02,2,7,1.2382274176688182,1.3300862009934376,-0.3134444818421911
physiology_only,nori_6m,f03,1,7,1.8494433411792393,2.110125323951235,0.2371370095935843
physiology_only,nori_6m,f04,4,7,0.9033183887837669,1.1526499948076903,-0.16252675921389703
physiology_only,nori_6m,f05,4,7,0.7989445711109157,0.8934223465014707,-1.7937122122986788
physiology_only,nori_6m,f06,1,7,1.4975967699270458,1.741263145278875,-1.7512568465595835
physiology_only,nori_6m,f08,5,7,2.8466928818482202,2.96595722410921,-10.343373960711446
physiology_only,nori_6m,f09,3,7,1.0845187825552516,1.4028899027187436,-0.854555843814617
physiology_only,nori_6m,f10,1,7,1.1868282720362378,1.7196782396798351,-1.1309907228439484
physiology_only,nori_6m,f11,4,7,1.6667386314436516,2.1470978394835925,-0.7112986930563663
physiology_only,nori_6m,f12,5,7,1.5672796837505796,1.8095698693599394,0.0778585488926895
physiology_only,nori_6m,f13,2,7,2.3411292086736646,3.07336449461317,-0.5224766332917581
physiology_only,nori_6m,f15,2,7,1.3548034233408004,1.876772626227967,-1.1573937379671553
physiology_only,nori_6m,f16,5,7,2.3130225259731683,2.568768832886402,-0.5396671072553327
physiology_only,nori_6m,f17,3,7,1.4958958908403173,1.6786803354259099,-4.310785221489871
physiology_only,nori_6m,f18,3,7,1.3102668877308454,1.7405497595214696,-0.3495105436649275
physiology_only,xgboost,S01,1,8,1.3774268329143524,1.59762765975618,-0.32808540577197176
physiology_only,xgboost,S03,5,8,1.0765117406845093,1.219825622534296,-12.604338737290814
physiology_only,xgboost,S04,1,8,2.8814868927001953,3.3062497322438764,-11.720043394283874
physiology_only,xgboost,S05,5,8,0.7983276546001434,1.0321954707782168,-0.06542748989506464
physiology_only,xgboost,S06,2,8,1.9852006435394287,2.2402830716026614,-3.2264153607658574
physiology_only,xgboost,S07,3,8,3.666499227285385,3.8845106146184465,-6.7880891432688415
physiology_only,xgboost,S08,1,8,2.8266447484493256,3.167271291498446,-2.8734411811331224
physiology_only,xgboost,S09,4,8,1.1837531328201294,1.5521263955022544,-0.4276126504384121
physiology_only,xgboost,S10,2,8,1.2908326983451843,1.471713296304435,-3.950720060615465
physiology_only,xgboost,S11,5,8,2.8967248797416687,3.2505984418935916,-5.0379372745377395
physiology_only,xgboost,S12,4,8,4.728824138641357,4.89164250610296,-15.12002789558787
physiology_only,xgboost,S13,3,8,1.2880648076534271,1.4921591174090483,-2.238601936970109
physiology_only,xgboost,S14,2,8,1.501210629940033,1.5863748961949768,-2.3554470817034976
physiology_only,xgboost,S15,1,8,1.32932847738266,1.570980867486594,-3.935961772017862
physiology_only,xgboost,S16,2,8,1.4451990127563477,1.7262811937413296,-1.6862393328360477
physiology_only,xgboost,S17,3,8,4.0979916751384735,4.2156132797580845,-161.48132868089337
physiology_only,xgboost,S18,4,8,1.865398034453392,1.9727279326791463,-2.1133243970980304
physiology_only,xgboost,f01,3,7,1.3489325046539307,1.4110234427528714,-0.7421137614983948
