fault_number,regime,property,runs_evaluated,dominant_direction,direction_consistency,median_baseline,median_regime,median_difference,median_ratio,median_cliffs_delta,behavioral_strength,repeatable,signature_rank
1,early_response,duration,5,increase,1.0,40.0,132.0,84.0,3.3,0.6923076923076923,0.6923076923076923,True,1
1,early_response,peak_fall_rate,5,increase,1.0,0.0430195396103499,0.2277427872626503,0.17431452720456939,5.293938273757318,0.6923076923076923,0.6923076923076923,True,2
1,early_response,period,5,increase,1.0,40.5,141.0,84.5,3.4814814814814814,0.6805555555555556,0.6805555555555556,True,3
1,post_response,peak_fall_rate,5,increase,1.0,0.0430195396103499,0.0671757598487147,0.013747499790633798,1.5615174048155818,0.15572232645403378,0.15572232645403378,False,1
1,post_response,falling_mean_rate,5,increase,0.8,0.052596779351808,0.0632551676947986,0.010832501609152008,1.2026433647524126,0.1659919028340081,0.1327935222672065,False,2
1,post_response,peak_rise_rate,5,increase,0.8,0.0494245713689906,0.0549520681786816,0.025694139413258196,1.1118370206678008,0.1417004048582996,0.11336032388663969,False,3
2,early_response,amplitude,5,increase,1.0,0.6214452560061545,0.9339871800714263,0.3125419240652718,1.50292752425835,0.325,0.325,False,1
2,early_response,rising_mean_rate,5,increase,1.0,0.0523426826598876,0.0803471125640888,0.026346101141516545,1.5350209137381905,0.27692307692307694,0.27692307692307694,False,2
2,early_response,peak_fall_rate,5,increase,0.8,0.0530425927438045,0.06909089738080629,0.018774206700618412,1.3025550563584822,0.30578512396694213,0.24462809917355371,False,3
2,post_response,falling_mean_rate,5,increase,1.0,0.0538603846820209,0.0628450220421272,0.010187535006277691,1.1668134643513874,0.18218623481781376,0.18218623481781376,False,1
2,post_response,rise_duration,5,decrease,0.8,24.0,21.0,-1.5,0.875,-0.16829268292682928,0.13463414634146342,False,2
2,post_response,period,5,increase,0.6,41.5,42.0,4.0,1.0120481927710843,-0.1641025641025641,0.09846153846153846,False,3
4,early_response,period,5,decrease,0.8,48.5,37.0,-13.5,0.7628865979381443,-0.3026315789473684,0.24210526315789474,False,1
4,early_response,rise_duration,5,decrease,0.8,25.0,18.0,-10.0,0.72,-0.23863636363636365,0.19090909090909092,False,2
4,early_response,peak_rise_rate,5,decrease,0.6,0.0535604254677309,0.038779992065178646,-0.012850070653985295,0.7240418971007396,-0.22727272727272727,0.13636363636363635,False,3
4,post_response,falling_mean_rate,5,increase,0.8,0.0472504197731495,0.06076532744851125,0.016230858445110442,1.2860272509799315,0.15714285714285714,0.12571428571428572,False,1
4,post_response,rising_mean_rate,5,increase,0.6,0.0520667962048993,0.060284749054907896,0.010302569385296598,1.1578348093028108,0.14805194805194805,0.08883116883116883,False,2
4,post_response,peak_fall_rate,5,decrease,0.8,0.0572611843265349,0.0546426968451669,-0.004636228913705104,0.9542711609589501,-0.10955710955710955,0.08764568764568764,False,3
6,early_response,rising_mean_rate,5,increase,1.0,0.0536844789825931,0.181597822704829,0.13370378697216778,3.3826876249224864,0.7307692307692307,0.7307692307692307,True,1
6,early_response,amplitude,5,increase,1.0,0.543391893477974,4.453464820881663,4.044223453797258,8.195677694743125,0.6153846153846154,0.6153846153846154,True,2
6,early_response,period,5,increase,1.0,40.0,69.0,27.5,1.725,0.5384615384615384,0.5384615384615384,True,3
7,early_response,rise_duration,5,decrease,0.6,21.0,14.0,-9.5,0.6666666666666666,-0.25,0.15,False,1
7,early_response,duration,5,decrease,0.6,35.0,39.0,-3.0,1.1142857142857143,-0.2,0.12,False,2
7,early_response,rising_mean_rate,5,increase,0.6,0.0480696070142633,0.06204919988527355,0.015168603726610053,1.2908197869573221,0.16923076923076924,0.10153846153846154,False,3
7,post_response,amplitude,5,decrease,0.6,0.5560662201291962,0.5497907178894366,-0.006275502239759589,0.9887144695854722,-0.1076923076923077,0.06461538461538462,False,1
7,post_response,falling_mean_rate,5,decrease,0.6,0.0450648465015104,0.0556086717998158,-0.0018742904983770486,1.233970070173256,-0.09230769230769231,0.055384615384615386,False,2
