fault_number,simulation_run,regime,complete_object_count,has_complete_objects
1,1,pre_injection,13,True
1,1,early_response,5,True
1,1,post_response,38,True
1,2,pre_injection,13,True
1,2,early_response,6,True
1,2,post_response,41,True
1,3,pre_injection,11,True
1,3,early_response,5,True
1,3,post_response,39,True
1,4,pre_injection,12,True
1,4,early_response,8,True
1,4,post_response,45,True
1,5,pre_injection,18,True
1,5,early_response,5,True
1,5,post_response,30,True
2,1,pre_injection,13,True
2,1,early_response,10,True
2,1,post_response,38,True
2,2,pre_injection,10,True
2,2,early_response,8,True
2,2,post_response,41,True
2,3,pre_injection,11,True
2,3,early_response,11,True
2,3,post_response,39,True
2,4,pre_injection,16,True
2,4,early_response,16,True
2,4,post_response,41,True
2,5,pre_injection,11,True
2,5,early_response,13,True
2,5,post_response,48,True
4,1,pre_injection,11,True
4,1,early_response,16,True
4,1,post_response,39,True
4,2,pre_injection,11,True
4,2,early_response,14,True
4,2,post_response,35,True
4,3,pre_injection,13,True
4,3,early_response,12,True
4,3,post_response,44,True
4,4,pre_injection,13,True
4,4,early_response,19,True
4,4,post_response,34,True
4,5,pre_injection,10,True
4,5,early_response,18,True
4,5,post_response,42,True
6,1,pre_injection,13,True
6,1,early_response,4,True
6,1,post_response,0,False
6,2,pre_injection,14,True
6,2,early_response,4,True
6,2,post_response,0,False
6,3,pre_injection,13,True
6,3,early_response,3,True
6,3,post_response,0,False
6,4,pre_injection,15,True
6,4,early_response,5,True
6,4,post_response,0,False
6,5,pre_injection,15,True
6,5,early_response,4,True
6,5,post_response,0,False
7,1,pre_injection,16,True
7,1,early_response,13,True
7,1,post_response,37,True
7,2,pre_injection,13,True
7,2,early_response,20,True
7,2,post_response,40,True
7,3,pre_injection,10,True
7,3,early_response,16,True
7,3,post_response,39,True
7,4,pre_injection,15,True
7,4,early_response,12,True
7,4,post_response,44,True
7,5,pre_injection,10,True
7,5,early_response,15,True
7,5,post_response,39,True
12,1,pre_injection,11,True
12,1,early_response,14,True
12,1,post_response,44,True
12,2,pre_injection,14,True
12,2,early_response,18,True
12,2,post_response,40,True
12,3,pre_injection,12,True
12,3,early_response,16,True
12,3,post_response,39,True
12,4,pre_injection,15,True
12,4,early_response,19,True
12,4,post_response,37,True
12,5,pre_injection,14,True
12,5,early_response,15,True
12,5,post_response,39,True
14,1,pre_injection,12,True
14,1,early_response,24,True
14,1,post_response,66,True
14,2,pre_injection,15,True
14,2,early_response,21,True
14,2,post_response,60,True
14,3,pre_injection,11,True
14,3,early_response,20,True
14,3,post_response,54,True
14,4,pre_injection,8,True
14,4,early_response,16,True
14,4,post_response,66,True
14,5,pre_injection,14,True
14,5,early_response,34,True
14,5,post_response,69,True
