fault_number,target,representation,feature_count,train_objects,test_objects,positive_test_objects,roc_auc,average_precision,balanced_accuracy,sensitivity,specificity,faultfree_false_positive_rate,median_detection_delay_samples
1,post_injection,raw_context,9,171,118,88,0.6518939393939394,0.8425195504506431,0.6276515151515152,0.48863636363636365,0.7666666666666667,0.375,89.5
1,post_injection,featuregraph,10,171,118,88,0.643560606060606,0.847147742393316,0.584469696969697,0.6022727272727273,0.5666666666666667,0.390625,89.5
1,post_injection,combined,19,171,118,88,0.6666666666666667,0.8586733702118549,0.5897727272727273,0.5795454545454546,0.6,0.40625,89.5
1,early_response,raw_context,9,171,118,13,0.7897435897435897,0.6499620228493468,0.7454212454212454,0.5384615384615384,0.9523809523809523,0.03125,181.5
1,early_response,featuregraph,10,171,118,13,0.7003663003663004,0.6431521007069969,0.7934065934065935,0.6153846153846154,0.9714285714285714,0.125,181.5
1,early_response,combined,19,171,118,13,0.764102564102564,0.6553109418332672,0.802930402930403,0.6153846153846154,0.9904761904761905,0.078125,181.5
2,post_injection,raw_context,9,181,145,118,0.5951035781544256,0.8798214982514013,0.5563402385436284,0.4830508474576271,0.6296296296296297,0.34375,70.0
2,post_injection,featuregraph,10,181,145,118,0.5392341494036409,0.8288752625872651,0.4865034526051475,0.4915254237288136,0.48148148148148145,0.40625,70.0
2,post_injection,combined,19,181,145,118,0.5775266792215945,0.8493976181209368,0.5331136220966729,0.5847457627118644,0.48148148148148145,0.375,70.0
2,early_response,raw_context,9,181,145,29,0.5618311533888228,0.35472820993654036,0.5129310344827587,0.3448275862068966,0.6810344827586207,0.265625,70.0
2,early_response,featuregraph,10,181,145,29,0.5802615933412604,0.3017321416652478,0.5818965517241379,0.3793103448275862,0.7844827586206896,0.265625,101.0
2,early_response,combined,19,181,145,29,0.5978002378121284,0.36584121191308655,0.5905172413793103,0.3793103448275862,0.8017241379310345,0.3125,70.0
4,post_injection,raw_context,9,195,136,113,0.4217006540977299,0.8137415175539214,0.4692189303578299,0.46017699115044247,0.4782608695652174,0.4375,21.0
4,post_injection,featuregraph,10,195,136,113,0.4974990380915737,0.8081167303986703,0.4780684878799538,0.4778761061946903,0.4782608695652174,0.4375,21.0
4,post_injection,combined,19,195,136,113,0.4817237398999615,0.8023633398858017,0.47402847248941904,0.5132743362831859,0.43478260869565216,0.421875,21.0
4,early_response,raw_context,9,195,136,37,0.3914823914823915,0.2655546846610452,0.41455091455091453,0.24324324324324326,0.5858585858585859,0.390625,9.5
4,early_response,featuregraph,10,195,136,37,0.4458094458094458,0.2411594109112607,0.4196014196014196,0.24324324324324326,0.5959595959595959,0.25,168.0
4,early_response,combined,19,195,136,37,0.408954408954409,0.25218967098793105,0.3976248976248976,0.1891891891891892,0.6060606060606061,0.3125,21.0
6,post_injection,raw_context,9,51,39,9,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,36.5
6,post_injection,featuregraph,10,51,39,9,0.8037037037037036,0.7115828787655414,0.6888888888888889,0.4444444444444444,0.9333333333333333,0.109375,36.5
6,post_injection,combined,19,51,39,9,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,36.5
6,early_response,raw_context,9,51,39,9,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,36.5
6,early_response,featuregraph,10,51,39,9,0.8037037037037036,0.7115828787655414,0.6888888888888889,0.4444444444444444,0.9333333333333333,0.109375,36.5
6,early_response,combined,19,51,39,9,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,36.5
7,post_injection,raw_context,9,204,135,110,0.4127272727272727,0.8058575067116294,0.40909090909090906,0.6181818181818182,0.2,0.40625,23.0
7,post_injection,featuregraph,10,204,135,110,0.601090909090909,0.8733569119550346,0.5927272727272728,0.5454545454545454,0.64,0.40625,23.0
7,post_injection,combined,19,204,135,110,0.5530909090909091,0.8503990586871406,0.5063636363636363,0.5727272727272728,0.44,0.390625,23.0
7,early_response,raw_context,9,204,135,27,0.6299725651577502,0.3909962135420618,0.6111111111111112,0.5925925925925926,0.6296296296296297,0.34375,23.0
7,early_response,featuregraph,10,204,135,27,0.5771604938271604,0.3681425401759294,0.5138888888888888,0.4444444444444444,0.5833333333333334,0.296875,23.0
7,early_response,combined,19,204,135,27,0.649519890260631,0.4183126542833917,0.5925925925925926,0.5185185185185185,0.6666666666666666,0.15625,23.0
12,post_injection,raw_context,9,208,139,110,0.8721003134796238,0.9677472347337365,0.8056426332288402,0.8181818181818182,0.7931034482758621,0.171875,55.5
12,post_injection,featuregraph,10,208,139,110,0.9134796238244514,0.9774515426618695,0.8446708463949844,0.8272727272727273,0.8620689655172413,0.078125,74.0
12,post_injection,combined,19,208,139,110,0.9222570532915362,0.980887162817122,0.893730407523511,0.8909090909090909,0.896551724137931,0.109375,74.0
12,early_response,raw_context,9,208,139,34,0.5649859943977591,0.2905710031051219,0.6088235294117648,0.6176470588235294,0.6,0.015625,74.0
12,early_response,featuregraph,10,208,139,34,0.630532212885154,0.36358563775988284,0.638235294117647,0.6764705882352942,0.6,0.109375,112.5
12,early_response,combined,19,208,139,34,0.6389355742296918,0.348060206038167,0.6378151260504201,0.6470588235294118,0.6285714285714286,0.140625,94.5
14,post_injection,raw_context,9,283,207,185,0.8051597051597051,0.970862174931055,0.7138820638820639,0.745945945945946,0.6818181818181818,0.25,78.0
14,post_injection,featuregraph,10,283,207,185,0.7803439803439803,0.9483570103920057,0.7230958230958231,0.7189189189189189,0.7272727272727273,0.34375,257.5
14,post_injection,combined,19,283,207,185,0.9574938574938575,0.9946523075335812,0.9313267813267814,0.9081081081081082,0.9545454545454546,0.140625,45.0
14,early_response,raw_context,9,283,207,50,0.5266242038216561,0.25289968581106775,0.48707006369426753,0.42,0.554140127388535,0.359375,123.0
14,early_response,featuregraph,10,283,207,50,0.461656050955414,0.23179855007311295,0.491656050955414,0.34,0.643312101910828,0.265625,175.5
14,early_response,combined,19,283,207,50,0.4895541401273885,0.24760184568475727,0.45936305732484073,0.32,0.5987261146496815,0.234375,127.5
