,value
matched_objects,169.0
featuregraph_only_objects,5.0
llm_only_objects,0.0
featuregraph_complete_objects,174.0
llm_complete_objects,169.0
featuregraph_matched_fraction,0.9712643678160919
llm_matched_fraction,1.0
median_absolute_start_index_error,53.0
maximum_absolute_start_index_error,191.0
median_absolute_peak_index_error,10.0
maximum_absolute_peak_index_error,29.0
median_absolute_end_index_error,53.0
maximum_absolute_end_index_error,191.0
median_absolute_period_seconds_error,0.040000000000000036
maximum_absolute_period_seconds_error,1.3359999999999999
median_absolute_full_excursion_error,0.004886999999999975
maximum_absolute_full_excursion_error,0.4281499999999999
median_absolute_temporal_symmetry_error,0.24967964452507374
maximum_absolute_temporal_symmetry_error,0.5557813543195878
featuregraph_mean_period_seconds,2.8018571428571426
llm_mean_period_seconds,2.821285714285714
featuregraph_mean_full_excursion,0.8961346437869823
llm_mean_full_excursion,0.9027111467455623
featuregraph_mean_temporal_symmetry,0.5960787684944024
llm_mean_temporal_symmetry,0.8437828071360948
