subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
1,featuregraph,ann1,170,170,170,0,0,1.0,1.0,22.0,56.0
1,featuregraph,ann2,170,170,170,0,0,1.0,1.0,25.0,53.0
1,llm_selected_baseline,ann1,170,170,170,0,0,1.0,1.0,6.0,32.0
1,llm_selected_baseline,ann2,170,170,170,0,0,1.0,1.0,10.0,28.0
2,featuregraph,ann1,133,122,117,16,5,0.8796992481203008,0.9590163934426229,27.0,62.0
2,featuregraph,ann2,133,122,122,11,0,0.9172932330827067,1.0,35.0,61.0
2,llm_selected_baseline,ann1,124,122,122,2,0,0.9838709677419355,1.0,7.0,54.0
2,llm_selected_baseline,ann2,124,122,122,2,0,0.9838709677419355,1.0,8.0,29.0
3,featuregraph,ann1,141,141,138,3,3,0.9787234042553191,0.9787234042553191,11.0,61.0
3,featuregraph,ann2,141,142,141,0,1,1.0,0.9929577464788732,4.0,60.0
3,llm_selected_baseline,ann1,142,141,140,2,1,0.9859154929577465,0.9929078014184397,7.5,37.0
3,llm_selected_baseline,ann2,142,142,141,1,1,0.9929577464788732,0.9929577464788732,7.0,40.0
4,featuregraph,ann1,163,133,133,30,0,0.8159509202453987,1.0,5.0,40.0
4,featuregraph,ann2,163,133,133,30,0,0.8159509202453987,1.0,3.0,14.0
4,llm_selected_baseline,ann1,133,133,133,0,0,1.0,1.0,5.0,19.0
4,llm_selected_baseline,ann2,133,133,133,0,0,1.0,1.0,6.0,22.0
5,featuregraph,ann1,165,48,0,165,48,0.0,0.0,,
5,featuregraph,ann2,165,48,0,165,48,0.0,0.0,,
5,llm_selected_baseline,ann1,79,48,45,34,3,0.569620253164557,0.9375,30.0,60.0
5,llm_selected_baseline,ann2,79,48,45,34,3,0.569620253164557,0.9375,44.0,63.0
6,featuregraph,ann1,160,161,158,2,3,0.9875,0.9813664596273292,31.0,61.0
6,featuregraph,ann2,160,160,159,1,1,0.99375,0.99375,27.0,54.0
6,llm_selected_baseline,ann1,159,161,157,2,4,0.9874213836477987,0.9751552795031055,7.0,33.0
6,llm_selected_baseline,ann2,159,160,159,0,1,1.0,0.99375,4.0,48.0
7,featuregraph,ann1,161,160,156,5,4,0.968944099378882,0.975,36.0,62.0
7,featuregraph,ann2,161,160,160,1,0,0.9937888198757764,1.0,36.0,62.0
7,llm_selected_baseline,ann1,161,160,160,1,0,0.9937888198757764,1.0,8.0,35.0
7,llm_selected_baseline,ann2,161,160,160,1,0,0.9937888198757764,1.0,3.5,19.0
8,featuregraph,ann1,180,170,169,11,1,0.9388888888888889,0.9941176470588236,8.0,28.0
