subject,method,annotator,kind,peak_index
2,featuregraph,ann1,detector_only,20357
2,featuregraph,ann1,detector_only,26212
2,featuregraph,ann1,detector_only,40201
2,featuregraph,ann1,detector_only,40206
2,featuregraph,ann1,detector_only,40211
2,featuregraph,ann1,detector_only,40217
2,featuregraph,ann1,detector_only,40222
2,featuregraph,ann1,detector_only,40227
2,featuregraph,ann1,detector_only,40233
2,featuregraph,ann1,detector_only,40238
2,featuregraph,ann1,detector_only,45759
2,featuregraph,ann1,detector_only,47735
2,featuregraph,ann1,detector_only,48293
2,featuregraph,ann1,detector_only,49971
2,featuregraph,ann1,detector_only,55059
2,featuregraph,ann1,detector_only,56741
2,featuregraph,ann1,reference_only,26278
2,featuregraph,ann1,reference_only,47815
2,featuregraph,ann1,reference_only,48402
2,featuregraph,ann1,reference_only,50039
2,featuregraph,ann1,reference_only,55128
2,featuregraph,ann2,detector_only,20357
2,featuregraph,ann2,detector_only,40201
2,featuregraph,ann2,detector_only,40206
2,featuregraph,ann2,detector_only,40211
2,featuregraph,ann2,detector_only,40217
2,featuregraph,ann2,detector_only,40222
2,featuregraph,ann2,detector_only,40227
2,featuregraph,ann2,detector_only,40233
2,featuregraph,ann2,detector_only,40238
2,featuregraph,ann2,detector_only,45759
2,featuregraph,ann2,detector_only,56741
2,llm_selected_baseline,ann1,detector_only,20367
2,llm_selected_baseline,ann1,detector_only,45785
2,llm_selected_baseline,ann2,detector_only,20367
2,llm_selected_baseline,ann2,detector_only,45785
3,featuregraph,ann1,detector_only,13113
3,featuregraph,ann1,detector_only,18755
3,featuregraph,ann1,detector_only,25365
3,featuregraph,ann1,reference_only,13196
3,featuregraph,ann1,reference_only,25437
3,featuregraph,ann1,reference_only,59887
3,featuregraph,ann2,reference_only,59920
3,llm_selected_baseline,ann1,detector_only,12970
3,llm_selected_baseline,ann1,detector_only,18757
3,llm_selected_baseline,ann1,reference_only,59887
3,llm_selected_baseline,ann2,detector_only,12970
3,llm_selected_baseline,ann2,reference_only,59920
4,featuregraph,ann1,detector_only,2456
4,featuregraph,ann1,detector_only,20399
4,featuregraph,ann1,detector_only,22569
4,featuregraph,ann1,detector_only,24740
4,featuregraph,ann1,detector_only,24742
4,featuregraph,ann1,detector_only,24744
4,featuregraph,ann1,detector_only,24746
4,featuregraph,ann1,detector_only,24748
4,featuregraph,ann1,detector_only,24750
4,featuregraph,ann1,detector_only,24752
4,featuregraph,ann1,detector_only,24754
4,featuregraph,ann1,detector_only,24756
4,featuregraph,ann1,detector_only,24758
4,featuregraph,ann1,detector_only,24760
4,featuregraph,ann1,detector_only,24762
4,featuregraph,ann1,detector_only,24764
4,featuregraph,ann1,detector_only,25865
4,featuregraph,ann1,detector_only,31765
4,featuregraph,ann1,detector_only,32325
4,featuregraph,ann1,detector_only,32725
4,featuregraph,ann1,detector_only,37289
4,featuregraph,ann1,detector_only,39625
4,featuregraph,ann1,detector_only,46465
4,featuregraph,ann1,detector_only,47007
4,featuregraph,ann1,detector_only,48920
4,featuregraph,ann1,detector_only,48933
4,featuregraph,ann1,detector_only,48945
4,featuregraph,ann1,detector_only,52563
4,featuregraph,ann1,detector_only,58184
4,featuregraph,ann1,detector_only,58186
4,featuregraph,ann2,detector_only,2456
4,featuregraph,ann2,detector_only,20399
4,featuregraph,ann2,detector_only,22569
4,featuregraph,ann2,detector_only,24740
4,featuregraph,ann2,detector_only,24742
4,featuregraph,ann2,detector_only,24744
4,featuregraph,ann2,detector_only,24746
4,featuregraph,ann2,detector_only,24748
4,featuregraph,ann2,detector_only,24750
4,featuregraph,ann2,detector_only,24752
4,featuregraph,ann2,detector_only,24754
4,featuregraph,ann2,detector_only,24756
4,featuregraph,ann2,detector_only,24758
4,featuregraph,ann2,detector_only,24760
4,featuregraph,ann2,detector_only,24762
4,featuregraph,ann2,detector_only,24764
4,featuregraph,ann2,detector_only,25865
4,featuregraph,ann2,detector_only,31765
4,featuregraph,ann2,detector_only,32325
4,featuregraph,ann2,detector_only,32725
4,featuregraph,ann2,detector_only,37289
4,featuregraph,ann2,detector_only,39625
4,featuregraph,ann2,detector_only,46465
4,featuregraph,ann2,detector_only,47007
4,featuregraph,ann2,detector_only,48920
4,featuregraph,ann2,detector_only,48933
4,featuregraph,ann2,detector_only,48945
4,featuregraph,ann2,detector_only,52563
4,featuregraph,ann2,detector_only,58184
4,featuregraph,ann2,detector_only,58186
5,featuregraph,ann1,detector_only,695
5,featuregraph,ann1,detector_only,849
5,featuregraph,ann1,detector_only,1157
5,featuregraph,ann1,detector_only,1916
5,featuregraph,ann1,detector_only,2074
5,featuregraph,ann1,detector_only,2461
5,featuregraph,ann1,detector_only,3369
5,featuregraph,ann1,detector_only,3705
5,featuregraph,ann1,detector_only,4296
5,featuregraph,ann1,detector_only,4597
5,featuregraph,ann1,detector_only,4757
5,featuregraph,ann1,detector_only,4931
