subject,llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
3,29,13048,13177,13346,True,1.656,1.0,0.8657718120805369
5,2,1070,1322,1477,True,3.96,1.0,0.7616707616707616
5,4,2367,2614,2770,True,4.176,1.0,0.7741935483870968
5,6,3617,3844,4003,True,4.232,1.0,0.8238341968911918
5,8,4846,5095,5251,True,2.704,1.0,0.7703703703703704
5,9,5251,6129,6297,True,8.272,1.0,0.3212237093690249
5,10,6297,7674,7837,True,12.36,1.0,0.2116883116883117
5,12,8672,8930,9087,True,4.552,1.0,0.7566265060240964
5,14,9952,10221,10380,True,4.048,1.0,0.7429906542056075
5,16,11099,11343,11499,True,3.432,1.0,0.78
5,17,11499,12290,12462,True,7.576,1.0,0.35721703011422634
5,18,12462,13598,13755,True,10.464,1.0,0.242846094354215
5,20,14722,14972,15126,True,4.136,1.0,0.7623762376237624
5,21,15126,16112,16267,True,9.12,1.0,0.2716914986853637
5,23,17292,17533,17694,True,2.68,1.0,0.8009950248756219
5,25,18454,18696,18853,True,2.768,1.0,0.786967418546366
5,26,18853,20527,20686,True,14.648,1.0,0.17348608837970536
5,28,21593,21796,21974,True,4.52,1.0,0.9343832020997376
5,30,22662,22906,23065,True,3.736,1.0,0.7890818858560794
5,31,23065,23801,23963,True,7.16,1.0,0.3608017817371938
5,32,23963,24853,25012,True,8.416,1.0,0.3031458531935176
5,34,25839,26082,26240,True,3.672,1.0,0.7880299251870324
5,36,27241,27492,27648,True,3.92,1.0,0.7665847665847666
5,38,28738,28956,29122,True,2.456,1.0,0.8645833333333334
5,40,29882,30097,30268,True,3.496,1.0,0.8860103626943006
5,42,31215,31457,31616,True,2.832,1.0,0.7930174563591023
5,43,31616,32475,32644,True,8.144,1.0,0.3287937743190662
5,44,32644,33463,33626,True,7.904,1.0,0.33197556008146645
5,46,34350,34579,34739,True,3.416,1.0,0.8226221079691517
5,48,35534,35745,35913,True,3.584,1.0,0.8865435356200527
5,49,35913,37216,37373,True,11.768,1.0,0.21506849315068488
5,50,37373,38502,38582,True,10.288,0.25709,0.13234077750206785
5,51,38801,38873,39030,True,2.968,1.0,0.62882096069869
5,53,40258,40489,40649,True,2.552,1.0,0.8184143222506394
5,55,41402,41643,41803,True,3.72,1.0,0.7980049875311721
5,57,42683,42952,43110,True,3.392,1.0,0.7400468384074941
5,59,43983,44208,44368,True,3.392,1.0,0.8311688311688312
5,61,45072,45342,45498,True,3.864,1.0,0.7323943661971831
5,63,46761,47019,47176,True,2.752,1.0,0.7566265060240964
5,64,47176,47875,47967,True,6.848,0.2522,0.23261694058154236
5,65,47967,48211,48367,True,2.688,1.0,0.78
5,67,49325,49597,49752,True,2.752,1.0,0.7259953161592505
5,68,49752,50594,50763,True,7.976,1.0,0.33432245301681507
5,70,51508,51750,51910,True,3.624,1.0,0.7960199004975125
5,72,52850,53118,53274,True,5.52,1.0,0.7358490566037736
5,74,54320,54560,54717,True,5.992,1.0,0.7909319899244333
5,76,55484,55758,55913,True,4.328,1.0,0.7226107226107226
5,77,55913,56915,57071,True,9.256,1.0,0.26943005181347146
5,78,57071,57965,58127,True,8.4,1.0,0.30681818181818177
5,79,58127,59009,59168,True,8.352,1.0,0.3054755043227666
10,146,58605,58829,59063,True,2.672,1.9864000000000002,0.9781659388646288
14,56,34177,34612,34755,True,4.664,1.1515900000000001,0.4948096885813149
14,75,44004,44392,44538,True,4.288,1.0977999999999999,0.5468164794007491
14,78,45733,46173,46327,True,4.736,1.18338,0.5185185185185186
15,1,51,637,811,True,,0.82151,0.45789473684210524
15,26,12642,12713,12865,True,6.264,1.801945,0.6367713004484306
15,104,52570,52816,52979,True,3.4,0.33741,0.7970660146699267
16,69,27140,27389,27552,True,3.136,1.0,0.7912621359223301
16,82,32354,32518,32721,True,3.488,1.0,0.8937329700272479
16,91,35842,36047,36339,True,2.928,1.0,0.8249496981891348
17,2,486,645,877,True,2.176,1.0,0.8132992327365729
17,3,877,1049,1270,True,3.232,1.0,0.8753180661577609
