subject,featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
28,2.0,1.0,420.0,397.0,23.0,609.0,670.0,-61.0,849.0,820.0,29.0,3.376,3.448,-0.07200000000000006,1.0,1.0,0.0,0.8811188811188811,0.7092198581560284,0.17189902296285275
28,3.0,2.0,849.0,820.0,29.0,1017.0,1077.0,-60.0,1251.0,1228.0,23.0,3.264,3.256,0.008000000000000007,1.0,1.0,0.0,0.835820895522388,0.7401960784313726,0.09562481709101545
28,6.0,5.0,2115.0,2085.0,30.0,2331.0,2367.0,-36.0,2561.0,2522.0,39.0,3.904,3.552,0.35199999999999987,1.0,1.0,0.0,0.968609865470852,0.7093821510297482,0.2592277144411038
28,7.0,6.0,2561.0,2522.0,39.0,2771.0,2827.0,-56.0,3034.0,3002.0,32.0,3.52,3.68,-0.16000000000000014,1.0,1.0,0.0,0.8879492600422833,0.7291666666666667,0.1587825933756165
28,9.0,8.0,3457.0,3429.0,28.0,3685.0,3719.0,-34.0,3908.0,3881.0,27.0,3.92,3.672,0.24799999999999978,1.0,1.0,0.0,0.9889135254988913,0.7168141592920354,0.27209936620685593
28,10.0,9.0,3908.0,3881.0,27.0,4099.0,4160.0,-61.0,4352.0,4345.0,7.0,3.312,3.528,-0.2160000000000002,1.0,1.0,0.0,0.8603603603603603,0.7974137931034483,0.06294656725691206
28,11.0,10.0,4352.0,4345.0,7.0,4483.0,4546.0,-63.0,4723.0,4685.0,38.0,3.072,3.088,-0.016000000000000014,1.0,1.0,0.0,0.706199460916442,0.8176470588235294,-0.11144759790708736
28,12.0,11.0,4723.0,4685.0,38.0,4763.0,4768.0,-5.0,4873.0,4883.0,-10.0,2.24,1.776,0.4640000000000002,0.5259,0.5259,0.0,0.5333333333333333,0.8383838383838383,-0.305050505050505
28,13.0,12.0,4873.0,4883.0,-10.0,4999.0,5054.0,-55.0,5225.0,5217.0,8.0,1.888,2.288,-0.3999999999999999,1.0,1.0,0.0,0.7159090909090908,0.9760479041916168,-0.26013881328252597
28,14.0,13.0,5225.0,5217.0,8.0,5339.0,5397.0,-58.0,5574.0,5566.0,8.0,2.72,2.744,-0.02400000000000002,1.0,1.0,0.0,0.6532951289398281,0.9684813753581661,-0.31518624641833803
28,15.0,14.0,5574.0,5566.0,8.0,5713.0,5775.0,-62.0,5965.0,5949.0,16.0,2.992,3.024,-0.03200000000000003,1.0,1.0,0.0,0.710997442455243,0.9086161879895561,-0.19761874553431313
28,16.0,15.0,5965.0,5949.0,16.0,6119.0,6182.0,-63.0,6379.0,6357.0,22.0,3.248,3.256,-0.007999999999999563,1.0,1.0,0.0,0.7439613526570048,0.857843137254902,-0.11388178459789722
28,17.0,16.0,6379.0,6357.0,22.0,6541.0,6599.0,-58.0,6789.0,6767.0,22.0,3.376,3.336,0.040000000000000036,1.0,1.0,0.0,0.7902439024390244,0.8195121951219513,-0.029268292682926855
28,18.0,17.0,6789.0,6767.0,22.0,6949.0,7009.0,-60.0,7198.0,7175.0,23.0,3.264,3.28,-0.016000000000000014,1.0,1.0,0.0,0.78239608801956,0.8137254901960784,-0.03132940217651847
28,19.0,18.0,7198.0,7175.0,23.0,7367.0,7426.0,-59.0,7620.0,7587.0,33.0,3.344,3.336,0.008000000000000007,1.0,1.0,0.0,0.8009478672985781,0.7815533980582524,0.01939446924032573
28,20.0,19.0,7620.0,7587.0,33.0,7825.0,7868.0,-43.0,8069.0,8020.0,49.0,3.664,3.536,0.1280000000000001,1.0,1.0,0.0,0.9131403118040089,0.7020785219399538,0.2110617898640551
28,22.0,21.0,8566.0,8526.0,40.0,8771.0,8817.0,-46.0,9040.0,8978.0,62.0,3.84,3.664,0.1759999999999997,1.0,1.0,0.0,0.8649789029535865,0.7123893805309734,0.15258952242261303
28,23.0,22.0,9040.0,8978.0,62.0,9223.0,9280.0,-57.0,9494.0,9457.0,37.0,3.616,3.704,-0.08800000000000008,1.0,1.0,0.0,0.8061674008810573,0.7390396659707724,0.0671277349102849
28,24.0,23.0,9494.0,9457.0,37.0,9697.0,9754.0,-57.0,9954.0,9919.0,35.0,3.792,3.792,0.0,1.0,1.0,0.0,0.8826086956521739,0.7142857142857143,0.16832298136645962
28,25.0,24.0,9954.0,9919.0,35.0,10127.0,10180.0,-53.0,10352.0,10349.0,3.0,3.44,3.408,0.03200000000000003,1.0,1.0,0.0,0.8693467336683417,0.786046511627907,0.08330022204043475
28,27.0,26.0,10729.0,10729.0,0.0,10835.0,10885.0,-50.0,11055.0,11048.0,7.0,2.96,2.736,0.22399999999999975,1.0,1.0,0.0,0.6503067484662577,0.9780564263322884,-0.3277496778660307
28,28.0,27.0,11055.0,11048.0,7.0,11181.0,11240.0,-59.0,11420.0,11412.0,8.0,2.768,2.84,-0.07200000000000006,1.0,1.0,0.0,0.6904109589041096,0.945054945054945,-0.2546439861508354
28,29.0,28.0,11420.0,11412.0,8.0,11545.0,11604.0,-59.0,11802.0,11767.0,35.0,2.912,2.912,0.0,1.0,1.0,0.0,0.6544502617801047,0.9183098591549296,-0.2638595973748249
28,30.0,29.0,11802.0,11767.0,35.0,11949.0,12006.0,-57.0,12197.0,12202.0,-5.0,3.232,3.216,0.016000000000000014,1.0,1.0,0.0,0.7443037974683544,0.9011494252873563,-0.1568456278190019
28,31.0,30.0,12197.0,12202.0,-5.0,12335.0,12398.0,-63.0,12592.0,12567.0,25.0,3.088,3.136,-0.04800000000000004,1.0,1.0,0.0,0.6987341772151898,0.9260273972602739,-0.22729322004508412
28,32.0,31.0,12592.0,12567.0,25.0,12869.0,12853.0,16.0,13033.0,13016.0,17.0,4.272,3.64,0.6320000000000001,1.0,1.0,0.0,0.7437641723356009,0.7260579064587973,0.017706265876803573
28,33.0,32.0,13033.0,13016.0,17.0,13213.0,13258.0,-45.0,13450.0,13457.0,-7.0,2.752,3.24,-0.48800000000000043,1.0,1.0,0.0,0.8633093525179856,0.9024943310657596,-0.03918497854777403
28,34.0,33.0,13450.0,13457.0,-7.0,13679.0,13694.0,-15.0,13955.0,13995.0,-40.0,3.728,3.488,0.2400000000000002,1.0,1.0,0.0,0.906930693069307,0.8810408921933086,0.025889800875998348
28,35.0,34.0,13955.0,13995.0,-40.0,14157.0,14219.0,-62.0,14435.0,14429.0,6.0,3.824,4.2,-0.37600000000000033,1.0,1.0,0.0,0.8416666666666667,0.967741935483871,-0.12607526881720432
28,36.0,35.0,14435.0,14429.0,6.0,14573.0,14630.0,-57.0,14848.0,14803.0,45.0,3.328,3.288,0.040000000000000036,1.0,1.0,0.0,0.6682808716707022,0.9251336898395722,-0.25685281816887007
28,43.0,42.0,17315.0,17310.0,5.0,17449.0,17512.0,-63.0,17693.0,17680.0,13.0,3.072,3.04,0.03200000000000003,1.0,1.0,0.0,0.7089947089947091,0.9081081081081082,-0.1991133991133991
28,44.0,43.0,17693.0,17680.0,13.0,17815.0,17876.0,-61.0,18054.0,18041.0,13.0,2.928,2.912,0.016000000000000014,1.0,1.0,0.0,0.6759002770083102,0.9141274238227147,-0.2382271468144045
28,45.0,44.0,18054.0,18041.0,13.0,18181.0,18237.0,-56.0,18452.0,18393.0,59.0,2.928,2.888,0.040000000000000036,1.0,1.0,0.0,0.6381909547738693,0.8863636363636364,-0.24817268158976702
28,51.0,48.0,20196.0,20205.0,-9.0,20297.0,20358.0,-61.0,20532.0,20532.0,0.0,2.784,2.664,0.11999999999999966,1.0,1.0,0.0,0.6011904761904762,0.9357798165137614,-0.33458934032328524
28,52.0,49.0,20532.0,20532.0,0.0,20645.0,20705.0,-60.0,20891.0,20883.0,8.0,2.784,2.776,0.008000000000000007,1.0,1.0,0.0,0.6295264623955432,0.9857549857549858,-0.35622852335944255
28,53.0,50.0,20891.0,20883.0,8.0,21041.0,21092.0,-51.0,21265.0,21248.0,17.0,3.168,3.096,0.07200000000000006,1.0,1.0,0.0,0.8021390374331551,0.8547945205479452,-0.05265548311479018
28,55.0,51.0,21379.0,21248.0,131.0,21519.0,21530.0,-11.0,21704.0,21678.0,26.0,1.44,3.504,-2.064,1.0,1.0,0.0,0.8615384615384616,0.6883720930232557,0.17316636851520584
28,56.0,52.0,21704.0,21678.0,26.0,21875.0,21917.0,-42.0,22086.0,22088.0,-2.0,2.848,3.096,-0.24800000000000022,1.0,1.0,0.0,0.8952879581151832,0.8341463414634146,0.06114161665176865
28,60.0,56.0,23340.0,23336.0,4.0,23471.0,23531.0,-60.0,23733.0,23697.0,36.0,3.152,3.064,0.08800000000000008,1.0,1.0,0.0,0.6666666666666667,0.9196675900277008,-0.2530009233610341
28,61.0,57.0,23733.0,23697.0,36.0,23909.0,23972.0,-63.0,24173.0,24146.0,27.0,3.504,3.528,-0.02400000000000002,1.0,1.0,0.0,0.8,0.7750556792873051,0.024944320712694923
28,65.0,61.0,25509.0,25482.0,27.0,25663.0,25725.0,-62.0,25926.0,25926.0,0.0,3.376,3.344,0.03200000000000003,1.0,1.0,0.0,0.7386091127098322,0.9054054054054054,-0.16679629269557317
28,66.0,62.0,25926.0,25926.0,0.0,26083.0,26143.0,-60.0,26338.0,26332.0,6.0,3.36,3.344,0.016000000000000014,1.0,1.0,0.0,0.7621359223300971,0.9310344827586207,-0.16889856042852358
28,68.0,64.0,26749.0,26745.0,4.0,26879.0,26933.0,-54.0,27110.0,27106.0,4.0,3.184,3.016,0.16800000000000015,1.0,1.0,0.0,0.7202216066481995,0.9584487534626038,-0.23822714681440438
28,69.0,65.0,27110.0,27106.0,4.0,27243.0,27291.0,-48.0,27466.0,27456.0,10.0,2.912,2.864,0.04800000000000004,1.0,1.0,0.0,0.747191011235955,0.9428571428571428,-0.19566613162118784
28,74.0,70.0,29093.0,29077.0,16.0,29232.0,29210.0,22.0,29301.0,29321.0,-20.0,3.24,2.432,0.8080000000000003,0.79374,0.79374,0.0,0.6634615384615384,0.9098360655737705,-0.24637452711223207
28,75.0,71.0,29301.0,29321.0,-20.0,29411.0,29470.0,-59.0,29631.0,29638.0,-7.0,1.432,2.08,-0.6480000000000001,1.0,1.0,0.0,0.6666666666666667,0.9400630914826499,-0.27339642481598314
