subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
1.0,169.0,0.0,0.0,169.0,169.0,1.0,1.0,33.0,56.0,17.0,47.0,33.0,56.0,0.07199999999999962,0.3919999999999999,0.0048880000000000035,0.14467700000000006,0.07208336467029341,0.3551131221719457,2.8212380952380953,2.821285714285714,0.9030349869822485,0.9027111467455623,0.9103173934599357,0.8437828070786153,envelope,absolute,60001,170,170,2,1,-32.0,-16.0,-32.0,-0.011999999999999789,0.0,0.06485171492133612,0
2.0,121.0,12.0,0.0,133.0,121.0,0.9097744360902256,1.0,43.0,125.0,30.0,60.0,43.0,125.0,0.1280000000000001,2.3440000000000003,0.0073801000000000005,0.13161,0.24093934089758062,0.4757870414941754,3.8391404958677686,3.8737190082644624,1.1256696669421487,1.136485550413223,0.9116999457232348,0.7172748489688154,envelope,absolute,60001,133,124,2,0,42.0,-30.0,42.0,0.0,0.0,0.2382110706761157,10
3.0,138.0,3.0,1.0,141.0,139.0,0.9787234042553191,0.9928057553956835,15.0,71.0,8.0,47.0,15.0,71.0,0.1120000000000001,0.6240000000000001,0.0,0.07233,0.05739676178908787,0.23039819376026272,3.3757681159420287,3.374550724637681,0.520074,0.521838079710145,0.9219645527327546,0.8722851878175302,envelope,absolute,60001,141,142,2,0,12.0,-2.5,12.0,-0.016000000000000014,0.0,0.04561226298068399,0
4.0,131.0,31.0,0.0,162.0,131.0,0.808641975308642,1.0,58.0,266.0,4.0,27.0,59.0,217.0,0.03200000000000003,3.008,0.003009999999999957,0.054219999999999935,0.1508384089029251,0.5235455376180322,3.369954198473283,3.6139236641221375,0.5142104351145038,0.5131068473282443,0.9120456278884953,0.7749112807087429,envelope,absolute,60001,163,133,2,1,-32.0,4.0,-32.0,-0.008000000000000007,0.0,0.1461049556339451,30
5.0,30.0,135.0,49.0,165.0,79.0,0.18181818181818182,0.379746835443038,399.5,1093.0,20.0,57.0,43.5,297.0,3.928,9.072,0.144185,0.21701,0.21443131428049006,0.6983057959611854,3.539733333333333,6.642758620689655,0.1538273,0.263049,0.6518505253495955,0.5022330643057926,envelope,absolute,60001,165,79,2,0,399.5,14.5,-43.5,-3.928,-0.144185,0.18195628557189858,135
6.0,159.0,1.0,0.0,160.0,159.0,0.99375,1.0,37.0,94.0,27.0,50.0,37.0,223.0,0.040000000000000036,0.9199999999999999,0.0009780000000000344,0.12805,0.05904674950425848,0.4196013289036544,2.993316455696202,2.9995443037974683,0.9043265433962265,0.9070562911949686,0.8144847251991284,0.7961132632122365,envelope,absolute,60001,160,159,2,0,-36.0,-27.0,-36.0,0.0,0.0,0.028816791157115995,0
7.0,157.0,3.0,0.0,160.0,157.0,0.98125,1.0,42.0,55.0,38.0,57.0,42.0,55.0,0.05600000000000005,0.35199999999999987,0.0,0.052786,0.10011924119241189,0.3056748385742033,2.984764331210191,2.986496815286624,0.9913455694267514,0.9946890481528662,0.8189729327635294,0.79059290855984,envelope,absolute,60001,161,161,2,1,42.0,-38.0,42.0,0.008000000000000007,0.0,0.05417217708923738,1
8.0,168.0,12.0,0.0,180.0,168.0,0.9333333333333333,1.0,38.0,146.0,4.0,18.0,38.0,87.0,0.040000000000000036,2.0,0.003910000000000025,0.03323999999999999,0.20949820924925489,0.3742269837122202,2.7246190476190475,2.827714285714286,0.4254639880952381,0.427494880952381,0.9177148545148331,0.7302678553840687,envelope,absolute,60001,180,169,2,0,38.0,-4.0,38.0,-0.008000000000000007,0.0,0.20949820924925489,11
9.0,158.0,6.0,0.0,164.0,158.0,0.9634146341463414,1.0,50.0,69.0,6.0,14.0,50.0,70.0,0.03200000000000003,1.504,0.0019500000000000073,0.011730000000000018,0.2169950930411575,0.3059132357004698,2.9900253164556965,2.9996455696202533,0.2611581012658228,0.2615044936708861,0.9358938146444367,0.7375595269035735,envelope,absolute,60001,164,159,2,0,48.5,6.0,48.0,0.0,0.0,0.2169950930411575,5
10.0,147.0,6.0,1.0,153.0,148.0,0.9607843137254902,0.9932432432432432,25.0,253.0,5.0,34.0,24.0,239.0,0.040000000000000036,3.1279999999999997,0.003889999999999949,0.4970835,0.09459459459459452,0.5674172320303451,3.1545753424657534,3.230465753424658,0.798599568027211,0.8134471292517007,0.8932689979209465,0.8102723066036507,envelope,absolute,60001,153,148,2,0,-23.0,-4.0,-24.0,0.0,0.0,0.0925558312655087,2
