subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
1,featuregraph,ann1,170,170,170,0,0,1.0,1.0,7.0,33.0
1,featuregraph,ann2,170,170,170,0,0,1.0,1.0,4.0,20.0
1,llm_selected_baseline,ann1,170,170,170,0,0,1.0,1.0,6.0,32.0
1,llm_selected_baseline,ann2,170,170,170,0,0,1.0,1.0,10.0,28.0
2,featuregraph,ann1,133,122,122,11,0,0.9172932330827067,1.0,12.0,50.0
2,featuregraph,ann2,133,122,122,11,0,0.9172932330827067,1.0,4.0,31.0
2,llm_selected_baseline,ann1,124,122,122,2,0,0.9838709677419355,1.0,7.0,54.0
2,llm_selected_baseline,ann2,124,122,122,2,0,0.9838709677419355,1.0,8.0,29.0
3,featuregraph,ann1,141,141,139,2,2,0.9858156028368794,0.9858156028368794,11.0,62.0
3,featuregraph,ann2,141,142,141,0,1,1.0,0.9929577464788732,4.0,27.0
3,llm_selected_baseline,ann1,142,141,140,2,1,0.9859154929577465,0.9929078014184397,7.5,37.0
3,llm_selected_baseline,ann2,142,142,141,1,1,0.9929577464788732,0.9929577464788732,7.0,40.0
4,featuregraph,ann1,163,133,133,30,0,0.8159509202453987,1.0,5.0,41.0
4,featuregraph,ann2,163,133,133,30,0,0.8159509202453987,1.0,3.0,13.0
4,llm_selected_baseline,ann1,133,133,133,0,0,1.0,1.0,5.0,19.0
4,llm_selected_baseline,ann2,133,133,133,0,0,1.0,1.0,6.0,22.0
5,featuregraph,ann1,165,48,47,118,1,0.28484848484848485,0.9791666666666666,17.0,48.0
5,featuregraph,ann2,165,48,47,118,1,0.28484848484848485,0.9791666666666666,5.0,35.0
5,llm_selected_baseline,ann1,79,48,45,34,3,0.569620253164557,0.9375,30.0,60.0
5,llm_selected_baseline,ann2,79,48,45,34,3,0.569620253164557,0.9375,44.0,63.0
6,featuregraph,ann1,160,161,159,1,2,0.99375,0.9875776397515528,10.0,61.0
6,featuregraph,ann2,160,160,158,2,2,0.9875,0.9875,4.0,35.0
6,llm_selected_baseline,ann1,159,161,157,2,4,0.9874213836477987,0.9751552795031055,7.0,33.0
6,llm_selected_baseline,ann2,159,160,159,0,1,1.0,0.99375,4.0,48.0
7,featuregraph,ann1,161,160,160,1,0,0.9937888198757764,1.0,8.0,37.0
7,featuregraph,ann2,161,160,160,1,0,0.9937888198757764,1.0,3.0,13.0
7,llm_selected_baseline,ann1,161,160,160,1,0,0.9937888198757764,1.0,8.0,35.0
7,llm_selected_baseline,ann2,161,160,160,1,0,0.9937888198757764,1.0,3.5,19.0
8,featuregraph,ann1,180,170,169,11,1,0.9388888888888889,0.9941176470588236,8.0,28.0
8,featuregraph,ann2,180,170,169,11,1,0.9388888888888889,0.9941176470588236,4.0,18.0
8,llm_selected_baseline,ann1,169,170,169,0,1,1.0,0.9941176470588236,7.0,28.0
8,llm_selected_baseline,ann2,169,170,169,0,1,1.0,0.9941176470588236,4.0,23.0
9,featuregraph,ann1,164,160,159,5,1,0.9695121951219512,0.99375,7.0,44.0
9,featuregraph,ann2,164,161,159,5,2,0.9695121951219512,0.9875776397515528,2.0,9.0
9,llm_selected_baseline,ann1,159,160,159,0,1,1.0,0.99375,6.0,41.0
9,llm_selected_baseline,ann2,159,161,159,0,2,1.0,0.9875776397515528,8.0,17.0
10,featuregraph,ann1,153,146,145,8,1,0.9477124183006536,0.9931506849315068,9.0,49.0
10,featuregraph,ann2,153,152,151,2,1,0.9869281045751634,0.993421052631579,3.0,51.0
10,llm_selected_baseline,ann1,148,146,146,2,0,0.9864864864864865,1.0,9.0,62.0
10,llm_selected_baseline,ann2,148,152,148,0,4,1.0,0.9736842105263158,4.0,27.0
11,featuregraph,ann1,133,116,113,20,3,0.849624060150376,0.9741379310344828,20.0,62.0
11,featuregraph,ann2,133,120,117,16,3,0.8796992481203008,0.975,5.0,59.0
11,llm_selected_baseline,ann1,119,116,115,4,1,0.9663865546218487,0.9913793103448276,9.0,55.0
11,llm_selected_baseline,ann2,119,120,119,0,1,1.0,0.9916666666666667,15.0,47.0
12,featuregraph,ann1,150,151,149,1,2,0.9933333333333333,0.9867549668874173,9.0,51.0
12,featuregraph,ann2,150,152,150,0,2,1.0,0.9868421052631579,4.0,19.0
12,llm_selected_baseline,ann1,151,151,150,1,1,0.9933774834437086,0.9933774834437086,8.0,49.0
12,llm_selected_baseline,ann2,151,152,151,0,1,1.0,0.993421052631579,5.0,18.0
13,featuregraph,ann1,246,160,156,90,4,0.6341463414634146,0.975,27.0,61.0
13,featuregraph,ann2,246,165,145,101,20,0.5894308943089431,0.8787878787878788,5.0,59.0
13,llm_selected_baseline,ann1,106,160,105,1,55,0.9905660377358491,0.65625,20.0,58.0
13,llm_selected_baseline,ann2,106,165,86,20,79,0.8113207547169812,0.5212121212121212,8.0,50.0
14,featuregraph,ann1,165,108,93,72,15,0.5636363636363636,0.8611111111111112,20.0,63.0
14,featuregraph,ann2,165,110,105,60,5,0.6363636363636364,0.9545454545454546,4.0,59.0
14,llm_selected_baseline,ann1,144,108,99,45,9,0.6875,0.9166666666666666,22.0,63.0
14,llm_selected_baseline,ann2,144,110,106,38,4,0.7361111111111112,0.9636363636363636,22.5,63.0
15,featuregraph,ann1,139,110,96,43,14,0.6906474820143885,0.8727272727272727,19.0,59.0
15,featuregraph,ann2,139,124,120,19,4,0.8633093525179856,0.967741935483871,5.0,55.0
15,llm_selected_baseline,ann1,121,110,97,24,13,0.8016528925619835,0.8818181818181818,17.0,57.0
15,llm_selected_baseline,ann2,121,124,116,5,8,0.9586776859504132,0.9354838709677419,13.5,61.0
16,featuregraph,ann1,157,156,155,2,1,0.9872611464968153,0.9935897435897436,8.0,38.0
16,featuregraph,ann2,157,155,155,2,0,0.9872611464968153,1.0,6.0,31.0
16,llm_selected_baseline,ann1,157,156,156,1,0,0.9936305732484076,1.0,7.0,30.0
