subject,method,annotator,kind,peak_index
2,featuregraph,ann1,detector_only,20357
2,featuregraph,ann1,detector_only,40202
2,featuregraph,ann1,detector_only,40207
2,featuregraph,ann1,detector_only,40212
2,featuregraph,ann1,detector_only,40218
2,featuregraph,ann1,detector_only,40223
2,featuregraph,ann1,detector_only,40228
2,featuregraph,ann1,detector_only,40234
2,featuregraph,ann1,detector_only,40238
2,featuregraph,ann1,detector_only,45761
2,featuregraph,ann1,detector_only,56743
2,featuregraph,ann2,detector_only,20357
2,featuregraph,ann2,detector_only,40202
2,featuregraph,ann2,detector_only,40207
2,featuregraph,ann2,detector_only,40212
2,featuregraph,ann2,detector_only,40218
2,featuregraph,ann2,detector_only,40223
2,featuregraph,ann2,detector_only,40228
2,featuregraph,ann2,detector_only,40234
2,featuregraph,ann2,detector_only,40238
2,featuregraph,ann2,detector_only,45761
2,featuregraph,ann2,detector_only,56743
2,llm_selected_baseline,ann1,detector_only,20367
2,llm_selected_baseline,ann1,detector_only,45785
2,llm_selected_baseline,ann2,detector_only,20367
2,llm_selected_baseline,ann2,detector_only,45785
3,featuregraph,ann1,detector_only,18756
3,featuregraph,ann1,detector_only,25366
3,featuregraph,ann1,reference_only,25437
3,featuregraph,ann1,reference_only,59887
3,featuregraph,ann2,reference_only,59920
3,llm_selected_baseline,ann1,detector_only,12970
3,llm_selected_baseline,ann1,detector_only,18757
3,llm_selected_baseline,ann1,reference_only,59887
3,llm_selected_baseline,ann2,detector_only,12970
3,llm_selected_baseline,ann2,reference_only,59920
4,featuregraph,ann1,detector_only,2456
4,featuregraph,ann1,detector_only,20400
4,featuregraph,ann1,detector_only,22572
4,featuregraph,ann1,detector_only,24740
4,featuregraph,ann1,detector_only,24742
4,featuregraph,ann1,detector_only,24744
4,featuregraph,ann1,detector_only,24746
4,featuregraph,ann1,detector_only,24748
4,featuregraph,ann1,detector_only,24750
4,featuregraph,ann1,detector_only,24752
4,featuregraph,ann1,detector_only,24754
4,featuregraph,ann1,detector_only,24756
4,featuregraph,ann1,detector_only,24758
4,featuregraph,ann1,detector_only,24760
4,featuregraph,ann1,detector_only,24762
4,featuregraph,ann1,detector_only,24764
4,featuregraph,ann1,detector_only,25867
4,featuregraph,ann1,detector_only,31767
4,featuregraph,ann1,detector_only,32327
4,featuregraph,ann1,detector_only,32726
4,featuregraph,ann1,detector_only,37289
4,featuregraph,ann1,detector_only,39647
4,featuregraph,ann1,detector_only,46466
4,featuregraph,ann1,detector_only,47007
4,featuregraph,ann1,detector_only,48923
4,featuregraph,ann1,detector_only,48936
4,featuregraph,ann1,detector_only,48945
4,featuregraph,ann1,detector_only,52566
4,featuregraph,ann1,detector_only,58184
4,featuregraph,ann1,detector_only,58186
4,featuregraph,ann2,detector_only,2456
4,featuregraph,ann2,detector_only,20400
4,featuregraph,ann2,detector_only,22572
4,featuregraph,ann2,detector_only,24740
4,featuregraph,ann2,detector_only,24742
4,featuregraph,ann2,detector_only,24744
4,featuregraph,ann2,detector_only,24746
4,featuregraph,ann2,detector_only,24748
4,featuregraph,ann2,detector_only,24750
4,featuregraph,ann2,detector_only,24752
4,featuregraph,ann2,detector_only,24754
4,featuregraph,ann2,detector_only,24756
4,featuregraph,ann2,detector_only,24758
4,featuregraph,ann2,detector_only,24760
4,featuregraph,ann2,detector_only,24762
4,featuregraph,ann2,detector_only,24764
4,featuregraph,ann2,detector_only,25867
4,featuregraph,ann2,detector_only,31767
4,featuregraph,ann2,detector_only,32327
4,featuregraph,ann2,detector_only,32726
4,featuregraph,ann2,detector_only,37289
4,featuregraph,ann2,detector_only,39647
4,featuregraph,ann2,detector_only,46466
4,featuregraph,ann2,detector_only,47007
4,featuregraph,ann2,detector_only,48923
4,featuregraph,ann2,detector_only,48936
4,featuregraph,ann2,detector_only,48945
4,featuregraph,ann2,detector_only,52566
4,featuregraph,ann2,detector_only,58184
4,featuregraph,ann2,detector_only,58186
5,featuregraph,ann1,detector_only,695
5,featuregraph,ann1,detector_only,851
5,featuregraph,ann1,detector_only,1917
5,featuregraph,ann1,detector_only,2075
5,featuregraph,ann1,detector_only,3369
5,featuregraph,ann1,detector_only,4297
5,featuregraph,ann1,detector_only,4597
5,featuregraph,ann1,detector_only,4757
5,featuregraph,ann1,detector_only,5593
5,featuregraph,ann1,detector_only,5742
5,featuregraph,ann1,detector_only,6969
5,featuregraph,ann1,detector_only,7122
5,featuregraph,ann1,detector_only,7280
5,featuregraph,ann1,detector_only,7332
5,featuregraph,ann1,detector_only,7335
5,featuregraph,ann1,detector_only,7338
5,featuregraph,ann1,detector_only,7340
5,featuregraph,ann1,detector_only,7343
5,featuregraph,ann1,detector_only,7346
5,featuregraph,ann1,detector_only,7349
5,featuregraph,ann1,detector_only,7352
5,featuregraph,ann1,detector_only,7355
5,featuregraph,ann1,detector_only,7358
5,featuregraph,ann1,detector_only,7361
5,featuregraph,ann1,detector_only,7364
5,featuregraph,ann1,detector_only,7367
5,featuregraph,ann1,detector_only,7370
5,featuregraph,ann1,detector_only,7372
5,featuregraph,ann1,detector_only,7375
5,featuregraph,ann1,detector_only,7378
5,featuregraph,ann1,detector_only,7381
5,featuregraph,ann1,detector_only,8349
5,featuregraph,ann1,detector_only,9575
5,featuregraph,ann1,detector_only,9729
5,featuregraph,ann1,detector_only,10949
5,featuregraph,ann1,detector_only,11797
5,featuregraph,ann1,detector_only,13025
5,featuregraph,ann1,detector_only,13182
5,featuregraph,ann1,detector_only,14488
5,featuregraph,ann1,detector_only,15393
5,featuregraph,ann1,detector_only,15625
5,featuregraph,ann1,detector_only,16778
5,featuregraph,ann1,detector_only,17018
5,featuregraph,ann1,detector_only,17171
5,featuregraph,ann1,detector_only,18093
5,featuregraph,ann1,detector_only,18294
5,featuregraph,ann1,detector_only,19471
5,featuregraph,ann1,detector_only,19624
5,featuregraph,ann1,detector_only,19778
5,featuregraph,ann1,detector_only,19930
5,featuregraph,ann1,detector_only,20162
5,featuregraph,ann1,detector_only,21234
5,featuregraph,ann1,detector_only,21543
5,featuregraph,ann1,detector_only,22457
5,featuregraph,ann1,detector_only,22611
5,featuregraph,ann1,detector_only,25338
5,featuregraph,ann1,detector_only,25661
5,featuregraph,ann1,detector_only,26802
5,featuregraph,ann1,detector_only,26963
5,featuregraph,ann1,detector_only,28115
5,featuregraph,ann1,detector_only,28425
5,featuregraph,ann1,detector_only,28651
5,featuregraph,ann1,detector_only,29693
5,featuregraph,ann1,detector_only,30608
5,featuregraph,ann1,detector_only,30762
5,featuregraph,ann1,detector_only,31074
5,featuregraph,ann1,detector_only,32147
5,featuregraph,ann1,detector_only,32951
5,featuregraph,ann1,detector_only,33191
5,featuregraph,ann1,detector_only,33927
5,featuregraph,ann1,detector_only,34169
5,featuregraph,ann1,detector_only,35314
5,featuregraph,ann1,detector_only,36389
5,featuregraph,ann1,detector_only,36778
5,featuregraph,ann1,detector_only,38077
5,featuregraph,ann1,detector_only,38386
5,featuregraph,ann1,detector_only,39689
5,featuregraph,ann1,detector_only,40147
5,featuregraph,ann1,detector_only,41208
5,featuregraph,ann1,detector_only,42197
5,featuregraph,ann1,detector_only,42336
5,featuregraph,ann1,detector_only,42513
5,featuregraph,ann1,detector_only,43657
5,featuregraph,ann1,detector_only,43811
5,featuregraph,ann1,detector_only,44727
5,featuregraph,ann1,detector_only,44877
5,featuregraph,ann1,detector_only,45847
5,featuregraph,ann1,detector_only,45995
5,featuregraph,ann1,detector_only,46099
5,featuregraph,ann1,detector_only,46309
5,featuregraph,ann1,detector_only,46493
5,featuregraph,ann1,detector_only,46693
5,featuregraph,ann1,detector_only,47498
5,featuregraph,ann1,detector_only,47808
5,featuregraph,ann1,detector_only,48879
5,featuregraph,ann1,detector_only,49267
5,featuregraph,ann1,detector_only,50119
5,featuregraph,ann1,detector_only,50240
5,featuregraph,ann1,detector_only,50308
5,featuregraph,ann1,detector_only,50317
5,featuregraph,ann1,detector_only,50325
5,featuregraph,ann1,detector_only,50334
5,featuregraph,ann1,detector_only,51020
5,featuregraph,ann1,detector_only,51330
5,featuregraph,ann1,detector_only,52218
5,featuregraph,ann1,detector_only,52439
5,featuregraph,ann1,detector_only,52771
5,featuregraph,ann1,detector_only,53839
5,featuregraph,ann1,detector_only,54148
5,featuregraph,ann1,detector_only,55047
5,featuregraph,ann1,detector_only,55209
5,featuregraph,ann1,detector_only,55357
5,featuregraph,ann1,detector_only,56457
5,featuregraph,ann1,detector_only,56537
5,featuregraph,ann1,detector_only,57541
5,featuregraph,ann1,detector_only,58618
5,featuregraph,ann1,detector_only,59511
5,featuregraph,ann1,detector_only,59830
5,featuregraph,ann1,reference_only,67
5,featuregraph,ann2,detector_only,695
5,featuregraph,ann2,detector_only,851
5,featuregraph,ann2,detector_only,1917
5,featuregraph,ann2,detector_only,2075
5,featuregraph,ann2,detector_only,3369
5,featuregraph,ann2,detector_only,4297
5,featuregraph,ann2,detector_only,4597
5,featuregraph,ann2,detector_only,4757
5,featuregraph,ann2,detector_only,5593
5,featuregraph,ann2,detector_only,5742
5,featuregraph,ann2,detector_only,6969
5,featuregraph,ann2,detector_only,7122
5,featuregraph,ann2,detector_only,7280
5,featuregraph,ann2,detector_only,7332
5,featuregraph,ann2,detector_only,7335
5,featuregraph,ann2,detector_only,7338
5,featuregraph,ann2,detector_only,7340
5,featuregraph,ann2,detector_only,7343
5,featuregraph,ann2,detector_only,7346
5,featuregraph,ann2,detector_only,7349
5,featuregraph,ann2,detector_only,7352
5,featuregraph,ann2,detector_only,7355
5,featuregraph,ann2,detector_only,7358
5,featuregraph,ann2,detector_only,7361
5,featuregraph,ann2,detector_only,7364
5,featuregraph,ann2,detector_only,7367
5,featuregraph,ann2,detector_only,7370
5,featuregraph,ann2,detector_only,7372
5,featuregraph,ann2,detector_only,7375
5,featuregraph,ann2,detector_only,7378
5,featuregraph,ann2,detector_only,7381
5,featuregraph,ann2,detector_only,8349
5,featuregraph,ann2,detector_only,9575
5,featuregraph,ann2,detector_only,9729
5,featuregraph,ann2,detector_only,10949
5,featuregraph,ann2,detector_only,11797
5,featuregraph,ann2,detector_only,13025
5,featuregraph,ann2,detector_only,13182
5,featuregraph,ann2,detector_only,14488
5,featuregraph,ann2,detector_only,15393
5,featuregraph,ann2,detector_only,15625
5,featuregraph,ann2,detector_only,16778
5,featuregraph,ann2,detector_only,17018
5,featuregraph,ann2,detector_only,17171
5,featuregraph,ann2,detector_only,18093
5,featuregraph,ann2,detector_only,18294
5,featuregraph,ann2,detector_only,19471
5,featuregraph,ann2,detector_only,19624
5,featuregraph,ann2,detector_only,19778
5,featuregraph,ann2,detector_only,19930
5,featuregraph,ann2,detector_only,20162
5,featuregraph,ann2,detector_only,21234
5,featuregraph,ann2,detector_only,21543
5,featuregraph,ann2,detector_only,22457
5,featuregraph,ann2,detector_only,22611
5,featuregraph,ann2,detector_only,25338
5,featuregraph,ann2,detector_only,25661
5,featuregraph,ann2,detector_only,26802
5,featuregraph,ann2,detector_only,26963
5,featuregraph,ann2,detector_only,28115
5,featuregraph,ann2,detector_only,28425
5,featuregraph,ann2,detector_only,28651
5,featuregraph,ann2,detector_only,29693
5,featuregraph,ann2,detector_only,30608
5,featuregraph,ann2,detector_only,30762
5,featuregraph,ann2,detector_only,31074
5,featuregraph,ann2,detector_only,32147
5,featuregraph,ann2,detector_only,32951
5,featuregraph,ann2,detector_only,33191
5,featuregraph,ann2,detector_only,33927
5,featuregraph,ann2,detector_only,34169
5,featuregraph,ann2,detector_only,35314
5,featuregraph,ann2,detector_only,36389
5,featuregraph,ann2,detector_only,36778
5,featuregraph,ann2,detector_only,38077
5,featuregraph,ann2,detector_only,38386
5,featuregraph,ann2,detector_only,39689
5,featuregraph,ann2,detector_only,40147
5,featuregraph,ann2,detector_only,41208
5,featuregraph,ann2,detector_only,42197
5,featuregraph,ann2,detector_only,42336
5,featuregraph,ann2,detector_only,42513
5,featuregraph,ann2,detector_only,43657
5,featuregraph,ann2,detector_only,43811
5,featuregraph,ann2,detector_only,44727
5,featuregraph,ann2,detector_only,44877
5,featuregraph,ann2,detector_only,45847
5,featuregraph,ann2,detector_only,45995
5,featuregraph,ann2,detector_only,46099
5,featuregraph,ann2,detector_only,46309
5,featuregraph,ann2,detector_only,46493
5,featuregraph,ann2,detector_only,46693
5,featuregraph,ann2,detector_only,47498
5,featuregraph,ann2,detector_only,47808
5,featuregraph,ann2,detector_only,48879
5,featuregraph,ann2,detector_only,49267
5,featuregraph,ann2,detector_only,50119
5,featuregraph,ann2,detector_only,50240
5,featuregraph,ann2,detector_only,50308
5,featuregraph,ann2,detector_only,50317
5,featuregraph,ann2,detector_only,50325
5,featuregraph,ann2,detector_only,50334
5,featuregraph,ann2,detector_only,51020
5,featuregraph,ann2,detector_only,51330
5,featuregraph,ann2,detector_only,52218
5,featuregraph,ann2,detector_only,52439
5,featuregraph,ann2,detector_only,52771
5,featuregraph,ann2,detector_only,53839
5,featuregraph,ann2,detector_only,54148
5,featuregraph,ann2,detector_only,55047
5,featuregraph,ann2,detector_only,55209
5,featuregraph,ann2,detector_only,55357
5,featuregraph,ann2,detector_only,56457
5,featuregraph,ann2,detector_only,56537
5,featuregraph,ann2,detector_only,57541
5,featuregraph,ann2,detector_only,58618
5,featuregraph,ann2,detector_only,59511
5,featuregraph,ann2,detector_only,59830
5,featuregraph,ann2,reference_only,55
5,llm_selected_baseline,ann1,detector_only,827
5,llm_selected_baseline,ann1,detector_only,2092
5,llm_selected_baseline,ann1,detector_only,3315
5,llm_selected_baseline,ann1,detector_only,4757
5,llm_selected_baseline,ann1,detector_only,8361
5,llm_selected_baseline,ann1,detector_only,9715
5,llm_selected_baseline,ann1,detector_only,10914
5,llm_selected_baseline,ann1,detector_only,14455
5,llm_selected_baseline,ann1,detector_only,14972
5,llm_selected_baseline,ann1,detector_only,17198
5,llm_selected_baseline,ann1,detector_only,18350
5,llm_selected_baseline,ann1,detector_only,21231
5,llm_selected_baseline,ann1,detector_only,22439
5,llm_selected_baseline,ann1,detector_only,22906
5,llm_selected_baseline,ann1,detector_only,25623
5,llm_selected_baseline,ann1,detector_only,27002
5,llm_selected_baseline,ann1,detector_only,28649
5,llm_selected_baseline,ann1,detector_only,29660
5,llm_selected_baseline,ann1,detector_only,31103
5,llm_selected_baseline,ann1,detector_only,34152
5,llm_selected_baseline,ann1,detector_only,35297
5,llm_selected_baseline,ann1,detector_only,38502
5,llm_selected_baseline,ann1,detector_only,40170
5,llm_selected_baseline,ann1,detector_only,41178
5,llm_selected_baseline,ann1,detector_only,42528
5,llm_selected_baseline,ann1,detector_only,43784
5,llm_selected_baseline,ann1,detector_only,44859
5,llm_selected_baseline,ann1,detector_only,46675
5,llm_selected_baseline,ann1,detector_only,47875
5,llm_selected_baseline,ann1,detector_only,49253
5,llm_selected_baseline,ann1,detector_only,51297
5,llm_selected_baseline,ann1,detector_only,52428
5,llm_selected_baseline,ann1,detector_only,53811
