episode_id,subject,featuregraph_object_id,discordance_type,temporal_pattern,burst_id,burst_size,previous_featuregraph_object_id,next_featuregraph_object_id,start_index,start_time_seconds,peak_index,peak_time_seconds,end_index,end_time_seconds,peak_detection_index,peak_detection_time_seconds,peak_detection_latency_samples,peak_detection_latency_seconds,period_seconds,full_excursion,temporal_symmetry,annotation_status,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators,retained_by_one_or_both_annotators,plateau_boundary_ambiguous,clinical_interpretation,sampling_rate_hz,construction,construction_version,comparator,is_complete,transition_complete,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,burst_number
bidmc-02-fg-0001,2,1,featuregraph_only,isolated,bidmc-02-burst-001,1,0,2,98.0,0.784,318.0,2.544,509.0,4.072,453,3.624,135.0,1.08,,1.16856,0.9294403892944039,retained_by_both,False,False,False,True,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,98,98,98,283,283,353,509,509,509,1
bidmc-02-fg-0043,2,43,featuregraph_only,burst,bidmc-02-burst-002,2,42,44,20324.0,162.592,20357.0,162.856,20475.0,163.8,20457,163.656,100.0,0.8,1.864,0.179579,0.4370860927152318,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,20324,20324,20324,20357,20357,20357,20475,20475,20475,2
bidmc-02-fg-0044,2,44,featuregraph_only,burst,bidmc-02-burst-002,2,43,45,20475.0,163.8,20805.0,166.44,20975.0,167.8,20931,167.448,126.0,1.008,3.584,1.25835,0.6799999999999999,retained_by_both,False,False,False,True,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,20475,20475,20475,20779,20779,20831,20975,20975,20975,2
bidmc-02-fg-0084,2,84,featuregraph_only,burst,bidmc-02-burst-003,7,83,85,40199.0,321.592,40202.0,321.616,40204.0,321.632,40303,322.424,101.0,0.808,0.888,0.02460000000000001,0.8,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40200,40199,40200,40201,40201,40203,40205,40204,40205,3
bidmc-02-fg-0085,2,85,featuregraph_only,burst,bidmc-02-burst-003,7,84,86,40204.0,321.632,40207.0,321.656,40209.0,321.672,40308,322.464,101.0,0.808,0.04,0.019680000000000003,0.8,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40205,40204,40205,40206,40206,40208,40210,40209,40210,3
bidmc-02-fg-0086,2,86,featuregraph_only,burst,bidmc-02-burst-003,7,85,87,40209.0,321.672,40212.0,321.696,40215.0,321.72,40313,322.504,101.0,0.808,0.04,0.019680000000000003,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40210,40209,40210,40211,40211,40213,40216,40214,40216,3
bidmc-02-fg-0087,2,87,featuregraph_only,burst,bidmc-02-burst-003,7,86,88,40215.0,321.72,40218.0,321.744,40220.0,321.76,40319,322.552,101.0,0.808,0.048,0.018449000000000007,0.8,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40216,40214,40216,40217,40217,40219,40221,40220,40221,3
bidmc-02-fg-0088,2,88,featuregraph_only,burst,bidmc-02-burst-003,7,87,89,40220.0,321.76,40223.0,321.784,40225.0,321.8,40324,322.592,101.0,0.808,0.04,0.01722,0.8,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40221,40220,40221,40222,40222,40224,40226,40225,40226,3
bidmc-02-fg-0089,2,89,featuregraph_only,burst,bidmc-02-burst-003,7,88,90,40225.0,321.8,40228.0,321.824,40231.0,321.848,40329,322.632,101.0,0.808,0.04,0.02706100000000001,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40226,40225,40226,40227,40227,40229,40232,40230,40232,3
bidmc-02-fg-0090,2,90,featuregraph_only,burst,bidmc-02-burst-003,7,89,91,40231.0,321.848,40234.0,321.872,40236.0,321.888,40335,322.68,101.0,0.808,0.048,0.017219999999999996,0.8,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,40232,40230,40232,40233,40233,40235,40237,40236,40237,3
bidmc-02-fg-0127,2,127,featuregraph_only,isolated,bidmc-02-burst-004,1,126,128,56702.0,453.616,56743.0,453.944,56764.0,454.112,56845,454.76,102.0,0.816,1.976,0.09840000000000002,0.6774193548387097,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,56703,56702,56703,56741,56741,56745,56765,56764,56765,4
bidmc-03-fg-0001,3,1,featuregraph_only,isolated,bidmc-03-burst-001,1,0,2,98.0,0.784,311.0,2.488,497.0,3.976,413,3.304,102.0,0.816,,0.49266999999999994,0.9323308270676691,retained_by_both,False,False,False,True,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,98,98,98,309,309,313,498,497,498,1
bidmc-03-fg-0030,3,30,featuregraph_only,isolated,bidmc-03-burst-002,1,29,31,12468.0,99.744,12703.0,101.624,12902.0,103.216,12806,102.448,103.0,0.824,3.744,0.4174,0.9170506912442397,retained_by_both,False,False,False,True,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,12468,12468,12468,12701,12701,12706,12902,12902,12902,2
bidmc-04-fg-0001,4,1,featuregraph_only,isolated,bidmc-04-burst-001,1,0,2,98.0,0.784,199.0,1.592,392.0,3.136,299,2.392,100.0,0.8,,0.47892,0.6870748299319728,retained_by_both,False,False,False,True,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,98,98,98,199,199,199,393,392,393,1
bidmc-04-fg-0007,4,7,featuregraph_only,isolated,bidmc-04-burst-002,1,6,8,2455.0,19.64,2456.0,19.648,2457.0,19.656,2556,20.448,100.0,0.8,1.976,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,2455,2455,2455,2456,2456,2456,2457,2457,2457,2
bidmc-04-fg-0054,4,54,featuregraph_only,isolated,bidmc-04-burst-003,1,53,55,22521.0,180.168,22572.0,180.576,22629.0,181.032,22675,181.4,103.0,0.824,2.048,0.04819000000000001,0.9444444444444444,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,22521,22521,22521,22569,22569,22575,22629,22629,22629,3
bidmc-04-fg-0060,4,60,featuregraph_only,burst,bidmc-04-burst-004,13,59,61,24736.0,197.888,24740.0,197.92,24741.0,197.928,24840,198.72,100.0,0.8,1.568,0.0,0.4,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24739,24733,24739,24740,24740,24740,24741,24741,24741,4
bidmc-04-fg-0061,4,61,featuregraph_only,burst,bidmc-04-burst-004,13,60,62,24741.0,197.928,24742.0,197.936,24743.0,197.944,24842,198.736,100.0,0.8,0.016,0.0030100000000000127,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24741,24741,24741,24742,24742,24742,24743,24743,24743,4
bidmc-04-fg-0062,4,62,featuregraph_only,burst,bidmc-04-burst-004,13,61,63,24743.0,197.944,24744.0,197.952,24745.0,197.96,24844,198.752,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24743,24743,24743,24744,24744,24744,24745,24745,24745,4
bidmc-04-fg-0063,4,63,featuregraph_only,burst,bidmc-04-burst-004,13,62,64,24745.0,197.96,24746.0,197.968,24747.0,197.976,24846,198.768,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24745,24745,24745,24746,24746,24746,24747,24747,24747,4
bidmc-04-fg-0064,4,64,featuregraph_only,burst,bidmc-04-burst-004,13,63,65,24747.0,197.976,24748.0,197.984,24749.0,197.992,24848,198.784,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24747,24747,24747,24748,24748,24748,24749,24749,24749,4
bidmc-04-fg-0065,4,65,featuregraph_only,burst,bidmc-04-burst-004,13,64,66,24749.0,197.992,24750.0,198.0,24751.0,198.008,24850,198.8,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24749,24749,24749,24750,24750,24750,24751,24751,24751,4
