subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,transition_complete,plateau_boundary_ambiguous,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,peak_detection_index,peak_detection_latency_samples,peak_detection_latency_seconds,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators
2,1,98.0,318.0,509.0,True,,1.16856,0.9294403892944039,True,False,False,98,98,98,283,283,353,509,509,509,453,135.0,1.08,False,False,False
2,43,20324.0,20357.0,20475.0,True,1.864,0.179579,0.4370860927152318,True,False,False,20324,20324,20324,20357,20357,20357,20475,20475,20475,20457,100.0,0.8,True,True,True
2,44,20475.0,20805.0,20975.0,True,3.584,1.25835,0.6799999999999999,True,False,False,20475,20475,20475,20779,20779,20831,20975,20975,20975,20931,126.0,1.008,False,False,False
2,84,40199.0,40202.0,40204.0,True,0.888,0.02460000000000001,0.8,True,False,False,40200,40199,40200,40201,40201,40203,40205,40204,40205,40303,101.0,0.808,True,True,True
2,85,40204.0,40207.0,40209.0,True,0.04,0.019680000000000003,0.8,True,False,False,40205,40204,40205,40206,40206,40208,40210,40209,40210,40308,101.0,0.808,True,True,True
2,86,40209.0,40212.0,40215.0,True,0.04,0.019680000000000003,1.0,True,False,False,40210,40209,40210,40211,40211,40213,40216,40214,40216,40313,101.0,0.808,True,True,True
2,87,40215.0,40218.0,40220.0,True,0.048,0.018449000000000007,0.8,True,False,False,40216,40214,40216,40217,40217,40219,40221,40220,40221,40319,101.0,0.808,True,True,True
2,88,40220.0,40223.0,40225.0,True,0.04,0.01722,0.8,True,False,False,40221,40220,40221,40222,40222,40224,40226,40225,40226,40324,101.0,0.808,True,True,True
2,89,40225.0,40228.0,40231.0,True,0.04,0.02706100000000001,1.0,True,False,False,40226,40225,40226,40227,40227,40229,40232,40230,40232,40329,101.0,0.808,True,True,True
2,90,40231.0,40234.0,40236.0,True,0.048,0.017219999999999996,0.8,True,False,False,40232,40230,40232,40233,40233,40235,40237,40236,40237,40335,101.0,0.808,True,True,True
2,127,56702.0,56743.0,56764.0,True,1.976,0.09840000000000002,0.6774193548387097,True,False,False,56703,56702,56703,56741,56741,56745,56765,56764,56765,56845,102.0,0.816,True,True,True
3,1,98.0,311.0,497.0,True,,0.49266999999999994,0.9323308270676691,True,False,False,98,98,98,309,309,313,498,497,498,413,102.0,0.816,False,False,False
3,30,12468.0,12703.0,12902.0,True,3.744,0.4174,0.9170506912442397,True,False,False,12468,12468,12468,12701,12701,12706,12902,12902,12902,12806,103.0,0.824,False,False,False
4,1,98.0,199.0,392.0,True,,0.47892,0.6870748299319728,True,False,False,98,98,98,199,199,199,393,392,393,299,100.0,0.8,False,False,False
4,7,2455.0,2456.0,2457.0,True,1.976,0.0,1.0,True,False,False,2455,2455,2455,2456,2456,2456,2457,2457,2457,2556,100.0,0.8,True,True,True
4,54,22521.0,22572.0,22629.0,True,2.048,0.04819000000000001,0.9444444444444444,True,False,False,22521,22521,22521,22569,22569,22575,22629,22629,22629,22675,103.0,0.824,True,True,True
4,60,24736.0,24740.0,24741.0,True,1.568,0.0,0.4,True,False,False,24739,24733,24739,24740,24740,24740,24741,24741,24741,24840,100.0,0.8,True,True,True
4,61,24741.0,24742.0,24743.0,True,0.016,0.0030100000000000127,1.0,True,False,False,24741,24741,24741,24742,24742,24742,24743,24743,24743,24842,100.0,0.8,True,True,True
4,62,24743.0,24744.0,24745.0,True,0.016,0.0,1.0,True,False,False,24743,24743,24743,24744,24744,24744,24745,24745,24745,24844,100.0,0.8,True,True,True
4,63,24745.0,24746.0,24747.0,True,0.016,0.0,1.0,True,False,False,24745,24745,24745,24746,24746,24746,24747,24747,24747,24846,100.0,0.8,True,True,True
4,64,24747.0,24748.0,24749.0,True,0.016,0.0,1.0,True,False,False,24747,24747,24747,24748,24748,24748,24749,24749,24749,24848,100.0,0.8,True,True,True
4,65,24749.0,24750.0,24751.0,True,0.016,0.0,1.0,True,False,False,24749,24749,24749,24750,24750,24750,24751,24751,24751,24850,100.0,0.8,True,True,True
4,66,24751.0,24752.0,24753.0,True,0.016,0.0030100000000000127,1.0,True,False,False,24751,24751,24751,24752,24752,24752,24753,24753,24753,24852,100.0,0.8,True,True,True
4,67,24753.0,24754.0,24755.0,True,0.016,0.0,1.0,True,False,False,24753,24753,24753,24754,24754,24754,24755,24755,24755,24854,100.0,0.8,True,True,True
4,68,24755.0,24756.0,24757.0,True,0.016,0.0,1.0,True,False,False,24755,24755,24755,24756,24756,24756,24757,24757,24757,24856,100.0,0.8,True,True,True
4,69,24757.0,24758.0,24759.0,True,0.016,0.0,1.0,True,False,False,24757,24757,24757,24758,24758,24758,24759,24759,24759,24858,100.0,0.8,True,True,True
4,70,24759.0,24760.0,24761.0,True,0.016,0.0,1.0,True,False,False,24759,24759,24759,24760,24760,24760,24761,24761,24761,24860,100.0,0.8,True,True,True
4,71,24761.0,24762.0,24763.0,True,0.016,0.0,1.0,True,False,False,24761,24761,24761,24762,24762,24762,24763,24763,24763,24862,100.0,0.8,True,True,True
4,72,24763.0,24764.0,24768.0,True,0.016,0.00602999999999998,0.4,True,False,False,24763,24763,24763,24764,24764,24764,24772,24765,24772,24864,100.0,0.8,True,True,True
4,75,25816.0,25867.0,25912.0,True,1.936,0.04216000000000003,0.9375,True,False,False,25817,25816,25817,25865,25865,25869,25912,25912,25912,25969,102.0,0.816,True,True,True
