subject,llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
5,26,18853,20527,20686,True,14.648,1.0,0.17348608837970536
5,50,37373,38502,38582,True,10.288,0.25709,0.13234077750206785
5,51,38801,38873,39030,True,2.968,1.0,0.62882096069869
5,64,47176,47875,47967,True,6.848,0.2522,0.23261694058154236
5,67,49325,49597,49752,True,2.752,1.0,0.7259953161592505
14,56,34177,34612,34755,True,4.664,1.1515900000000001,0.4948096885813149
14,75,44004,44392,44538,True,4.288,1.0977999999999999,0.5468164794007491
15,1,51,637,811,True,,0.82151,0.45789473684210524
15,26,12642,12713,12865,True,6.264,1.801945,0.6367713004484306
15,104,52570,52816,52979,True,3.4,0.33741,0.7970660146699267
19,102,50014,50346,50493,True,3.504,0.19311000000000003,0.6137787056367432
20,9,4225,4545,4730,True,5.08,1.0,0.7326732673267327
20,114,58966,59278,59581,True,5.264,0.86119,0.9853658536585366
21,14,6478,6847,7013,True,4.736,1.0,0.6205607476635514
21,49,21811,21931,22016,True,1.768,1.0,0.8292682926829268
21,50,22016,22129,22295,True,1.584,0.8944300000000001,0.8100358422939068
21,61,27422,27583,27944,True,2.064,1.0,0.6168582375478927
26,19,7524,7749,7866,True,3.28,1.0,0.6842105263157895
26,20,7866,7966,8301,True,1.736,1.0,0.45977011494252873
26,61,24441,24734,24890,True,3.576,1.0,0.6948775055679287
26,111,48019,48157,48245,True,2.576,0.171069,0.7787610619469026
26,132,57451,57723,57884,True,4.176,0.7018570000000001,0.74364896073903
27,8,5202,5731,5887,True,6.552,0.267959,0.4554744525547445
27,9,5887,6378,6598,True,5.176,0.277673,0.6188466947960618
27,20,13462,14004,14167,True,6.608,0.27961,0.4624113475177305
27,25,17011,17554,17718,True,5.656,0.203884,0.46393210749646396
27,45,30562,31044,31231,True,5.176,0.23106300000000002,0.5590433482810164
27,57,39199,39802,40101,True,5.952,0.215538,0.6629711751662971
27,64,44308,44762,44945,True,6.784,0.40388999999999997,0.5745682888540031
27,66,45622,45898,46374,True,3.664,0.36893699999999996,0.7340425531914894
27,69,47758,48258,48414,True,6.288,0.322326,0.47560975609756095
29,25,9596,9841,10006,True,3.088,0.3695,0.8048780487804879
29,26,10006,10237,10399,True,3.168,0.33334,0.8244274809160306
29,36,14371,14676,14825,True,3.728,0.32355999999999996,0.6563876651982379
29,48,19236,19457,19611,True,3.008,0.36363,0.8213333333333334
29,56,22039,22208,22352,True,2.576,0.36168599999999995,0.9201277955271565
29,69,27222,27496,27642,True,3.864,0.2913,0.6952380952380952
29,70,27642,27875,28042,True,3.032,0.402738,0.835
29,84,33112,33391,33538,True,3.56,0.35874,0.6901408450704225
29,88,34740,34987,35144,True,3.096,0.37243,0.7772277227722773
29,95,37394,37629,37800,True,3.056,0.35582,0.8423645320197044
29,97,38227,38464,38628,True,3.176,0.39981,0.8179551122194514
29,124,48850,49102,49245,True,3.488,0.397849,0.7240506329113924
29,125,49245,49548,49708,True,3.568,0.36852799999999997,0.6911447084233262
33,30,16796,17103,17567,True,3.912,1.0,0.7963683527885863
33,37,21388,21461,21632,True,5.376,0.998045,0.5983606557377049
33,40,22786,23251,23398,True,5.144,1.0,0.48039215686274506
33,41,23398,23537,23892,True,2.288,1.0,0.562753036437247
33,71,39625,40015,40199,True,4.536,1.0,0.6411149825783973
33,106,56535,56615,56836,True,5.904,0.962854,0.5315614617940199
35,12,4714,4843,4936,True,3.216,1.0,0.8378378378378378
35,121,59507,59689,59873,True,2.048,1.0,0.994535519125683
36,83,32967,33163,33399,True,3.104,0.6,0.9074074074074074
37,115,46089,46358,46503,True,3.08,0.93235,0.7004830917874396
37,135,53697,53952,54030,True,2.88,1.25835,0.46846846846846846
38,50,23086,23573,23712,True,4.776,1.0,0.4440894568690096
38,97,43050,43322,43501,True,4.16,0.68719,0.7937915742793792
38,98,44154,44310,44511,True,1.904,0.91398,0.8739495798319328
38,107,48859,49017,49314,True,4.24,1.0,0.6945054945054945
38,130,59363,59522,59629,True,3.136,0.487781,0.8045112781954887
39,9,7055,7152,7246,True,2.76,0.0,0.9842931937172775
39,48,53606,53704,53799,True,2.648,0.0,0.9844559585492227
40,25,11551,11715,11826,True,2.04,1.00048864,0.8072727272727273
40,26,11826,11921,12020,True,1.648,1.00048864,0.979381443298969
40,88,42999,43082,43210,True,1.712,0.22257499999999997,0.7867298578199052
44,41,18093,18399,18543,True,3.624,0.70070864,0.64
44,69,30834,31157,31314,True,3.688,0.8529186400000001,0.6541666666666667
46,2,519,913,1011,True,4.912,1.00048864,0.39837398373983735
46,3,1011,1110,1282,True,1.576,1.00048864,0.7306273062730627
46,5,1840,2102,2205,True,4.016,1.00048864,0.5643835616438356
46,7,2607,2676,2800,True,2.704,1.00048864,0.7150259067357513
46,21,9611,9980,10112,True,4.952,1.00048864,0.5269461077844311
46,45,22392,22471,22626,True,1.792,0.27363864,0.6752136752136753
46,57,27156,27477,27749,True,3.8,1.00048864,0.9173693086003373
46,72,34124,34280,34710,True,3.352,1.00048864,0.5324232081911262
46,88,40926,41419,41582,True,4.864,1.00048864,0.4969512195121951
46,90,42025,42190,42641,True,2.552,1.00048864,0.5357142857142857
46,91,42641,42781,43564,True,4.728,1.00048864,0.30335861321776814
48,8,3146,3505,3814,True,3.848,0.51234,0.9251497005988024
48,129,54769,54969,55527,True,2.872,1.00048864,0.5277044854881267
48,131,55738,56009,56102,True,2.648,1.00048864,0.510989010989011
48,132,56102,56360,56678,True,2.808,1.00048864,0.8958333333333334
