subject,featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
28,2,1,420.0,397,23.0,671.0,670,1.0,849.0,820,29.0,3.44,3.448,-0.008000000000000007,1.0,1.0,0.0,0.8298368298368298,0.7092198581560284,0.12061697168080143
28,3,2,849.0,820,29.0,1078.0,1077,1.0,1251.0,1228,23.0,3.256,3.256,0.0,1.0,1.0,0.0,0.8606965174129353,0.7401960784313726,0.12050043898156271
28,4,3,1251.0,1228,23.0,1485.0,1501,-16.0,1676.0,1652,24.0,3.256,3.392,-0.13600000000000012,1.0,1.0,0.0,0.8988235294117647,0.7122641509433962,0.18655937846836845
28,5,4,1676.0,1652,24.0,1912.0,1923,-11.0,2115.0,2085,30.0,3.416,3.376,0.040000000000000036,1.0,1.0,0.0,0.9248291571753986,0.7482678983833718,0.17656125879202678
28,6,5,2115.0,2085,30.0,2373.0,2367,6.0,2561.0,2522,39.0,3.688,3.552,0.13600000000000012,1.0,1.0,0.0,0.8430493273542601,0.7093821510297482,0.13366717632451186
28,7,6,2561.0,2522,39.0,2826.0,2827,-1.0,3034.0,3002,32.0,3.624,3.68,-0.05600000000000005,1.0,1.0,0.0,0.879492600422833,0.7291666666666667,0.1503259337561662
28,8,7,3034.0,3002,32.0,3257.0,3260,-3.0,3457.0,3429,28.0,3.448,3.464,-0.016000000000000014,1.0,1.0,0.0,0.9456264775413712,0.7915690866510539,0.15405739089031734
28,9,8,3457.0,3429,28.0,3725.0,3719,6.0,3908.0,3881,27.0,3.744,3.672,0.07200000000000006,1.0,1.0,0.0,0.811529933481153,0.7168141592920354,0.09471577418911759
28,10,9,3908.0,3881,27.0,4160.0,4160,0.0,4352.0,4345,7.0,3.48,3.528,-0.04800000000000004,1.0,1.0,0.0,0.8648648648648649,0.7974137931034483,0.06745107176141663
28,11,10,4352.0,4345,7.0,4546.0,4546,0.0,4723.0,4685,38.0,3.088,3.088,0.0,1.0,1.0,0.0,0.954177897574124,0.8176470588235294,0.13653083875059457
28,12,11,4723.0,4685,38.0,4764.0,4768,-4.0,4873.0,4883,-10.0,1.744,1.776,-0.03200000000000003,0.5259,0.5259,0.0,0.5466666666666666,0.8383838383838383,-0.2917171717171717
28,13,12,4873.0,4883,-10.0,5052.0,5054,-2.0,5225.0,5217,8.0,2.304,2.288,0.016000000000000014,1.0,1.0,0.0,0.9829545454545454,0.9760479041916168,0.0069066412629286145
28,14,13,5225.0,5217,8.0,5397.0,5397,0.0,5574.0,5566,8.0,2.76,2.744,0.01599999999999957,1.0,1.0,0.0,0.9856733524355301,0.9684813753581661,0.017191977077363974
28,15,14,5574.0,5566,8.0,5778.0,5775,3.0,5965.0,5949,16.0,3.048,3.024,0.02400000000000002,1.0,1.0,0.0,0.9565217391304348,0.9086161879895561,0.04790555114087869
28,16,15,5965.0,5949,16.0,6186.0,6182,4.0,6379.0,6357,22.0,3.264,3.256,0.008000000000000007,1.0,1.0,0.0,0.9323671497584541,0.857843137254902,0.07452401250355212
28,17,16,6379.0,6357,22.0,6603.0,6599,4.0,6789.0,6767,22.0,3.336,3.336,0.0,1.0,1.0,0.0,0.9073170731707317,0.8195121951219513,0.08780487804878045
28,18,17,6789.0,6767,22.0,7012.0,7009,3.0,7198.0,7175,23.0,3.272,3.28,-0.008000000000000007,1.0,1.0,0.0,0.9095354523227384,0.8137254901960784,0.09580996212665993
28,19,18,7198.0,7175,23.0,7428.0,7426,2.0,7620.0,7587,33.0,3.328,3.336,-0.008000000000000007,1.0,1.0,0.0,0.909952606635071,0.7815533980582524,0.12839920857681864
28,20,19,7620.0,7587,33.0,7873.0,7868,5.0,8069.0,8020,49.0,3.56,3.536,0.02400000000000002,1.0,1.0,0.0,0.8730512249443207,0.7020785219399538,0.17097270300436695
28,21,20,8069.0,8020,49.0,8358.0,8359,-1.0,8566.0,8526,40.0,3.88,3.928,-0.04800000000000004,1.0,1.0,0.0,0.8370221327967806,0.6600790513833992,0.17694308141338144
28,22,21,8566.0,8526,40.0,8822.0,8817,5.0,9033.0,8978,55.0,3.712,3.664,0.04800000000000004,1.0,1.0,0.0,0.9036402569593147,0.7123893805309734,0.19125087642834127
28,23,22,9033.0,8978,55.0,9282.0,9280,2.0,9494.0,9457,37.0,3.68,3.704,-0.02400000000000002,1.0,1.0,0.0,0.9197396963123644,0.7390396659707724,0.180700030341592
28,24,23,9494.0,9457,37.0,9755.0,9754,1.0,9954.0,9919,35.0,3.784,3.792,-0.008000000000000007,1.0,1.0,0.0,0.8652173913043478,0.7142857142857143,0.15093167701863353
28,25,24,9954.0,9919,35.0,10182.0,10180,2.0,10352.0,10349,3.0,3.416,3.408,0.008000000000000007,1.0,1.0,0.0,0.8542713567839196,0.786046511627907,0.06822484515601268
28,26,25,10352.0,10349,3.0,10527.0,10543,-16.0,10729.0,10729,0.0,2.76,2.904,-0.14400000000000013,1.0,1.0,0.0,0.9283819628647215,0.9789473684210527,-0.050565405556331156
28,27,26,10729.0,10729,0.0,10889.0,10885,4.0,11055.0,11048,7.0,2.896,2.736,0.1599999999999997,1.0,1.0,0.0,0.9815950920245399,0.9780564263322884,0.0035386656922514748
28,28,27,11055.0,11048,7.0,11241.0,11240,1.0,11420.0,11412,8.0,2.816,2.84,-0.02400000000000002,1.0,1.0,0.0,0.9808219178082191,0.945054945054945,0.03576697275327412
28,29,28,11420.0,11412,8.0,11604.0,11604,0.0,11802.0,11767,35.0,2.904,2.912,-0.008000000000000007,1.0,1.0,0.0,0.9633507853403142,0.9183098591549296,0.04504092618538458
28,30,29,11802.0,11767,35.0,12004.0,12006,-2.0,12197.0,12202,-5.0,3.2,3.216,-0.016000000000000014,1.0,1.0,0.0,0.9772151898734177,0.9011494252873563,0.0760657645860614
28,31,30,12197.0,12202,-5.0,12398.0,12398,0.0,12592.0,12567,25.0,3.152,3.136,0.016000000000000014,1.0,1.0,0.0,0.9822784810126582,0.9260273972602739,0.0562510837523843
28,32,31,12592.0,12567,25.0,12885.0,12853,32.0,13033.0,13016,17.0,3.896,3.64,0.2559999999999998,1.0,1.0,0.0,0.6712018140589568,0.7260579064587973,-0.05485609239984046
28,33,32,13033.0,13016,17.0,13263.0,13258,5.0,13450.0,13457,-7.0,3.024,3.24,-0.2160000000000002,1.0,1.0,0.0,0.8968824940047961,0.9024943310657596,-0.005611837060963465
