subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,transition_complete,plateau_boundary_ambiguous,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,peak_detection_index,peak_detection_latency_samples,peak_detection_latency_seconds
1,170,59601.0,59803.0,59601.0,False,2.96,0.903226,,False,True,False,59601,59601,59601,59782,59782,59824,59601,59601,59601,59924,121.0,0.968
2,91,40236.0,40238.0,40238.0,False,0.032,0.0036900000000000006,0.0,True,True,True,40237,40236,40237,40238,40238,40239,40239,40238,40239,40339,101.0,0.808
2,134,59793.0,59575.0,59793.0,False,0.0,0.092249,,False,True,False,59793,59793,59793,59535,59535,59616,59793,59793,59793,59716,141.0,1.128
3,142,59634.0,59421.0,59634.0,False,0.0,0.28642,,False,True,False,59635,59634,59635,59421,59421,59422,59635,59634,59635,59522,101.0,0.808
4,48,20383.0,20400.0,20400.0,False,2.2,0.021079999999999988,0.0,True,True,True,20384,20382,20384,20399,20399,20402,20402,20399,20402,20502,102.0,0.816
4,91,32190.0,32327.0,32327.0,False,2.584,0.07529999999999998,0.0,True,True,True,32191,32190,32191,32325,32325,32330,32330,32325,32330,32430,103.0,0.824
4,110,39564.0,39647.0,39647.0,False,2.36,0.048199999999999965,0.0,True,True,True,39565,39564,39565,39625,39625,39670,39670,39625,39670,39770,123.0,0.984
4,136,48942.0,48945.0,48945.0,False,0.072,0.0,0.0,True,True,True,48944,48941,48944,48945,48945,48946,48946,48945,48946,49046,101.0,0.808
4,163,59595.0,59875.0,59595.0,False,3.936,0.7138599999999999,,False,True,False,59596,59595,59596,59874,59874,59877,59596,59595,59596,59977,102.0,0.816
5,95,33055.0,33191.0,33191.0,False,1.92,0.061590000000000006,0.0,True,True,True,33056,33055,33056,33191,33191,33192,33192,33191,33192,33292,101.0,0.808
5,136,49822.0,50119.0,50119.0,False,4.712,0.22092,0.0,True,True,True,49856,49788,49856,50108,50108,50130,50130,50108,50130,50230,111.0,0.888
5,166,59840.0,59830.0,59840.0,False,0.0,0.042029999999999984,,False,True,False,59840,59840,59840,59829,59829,59831,59840,59840,59840,59931,101.0,0.808
6,161,59808.0,59612.0,59808.0,False,0.0,0.11534000000000001,,False,True,False,59808,59808,59808,59589,59589,59635,59808,59808,59808,59735,123.0,0.984
7,161,59596.0,59794.0,59596.0,False,3.0,0.957967,,False,True,False,59596,59596,59596,59760,59760,59828,59596,59596,59596,59928,134.0,1.072
8,181,59815.0,59647.0,59815.0,False,0.0,0.04789999999999997,,False,True,False,59815,59815,59815,59647,59647,59647,59815,59815,59815,59747,100.0,0.8
9,165,59728.0,59561.0,59728.0,False,0.0,0.19940999999999998,,False,True,False,59728,59728,59728,59560,59560,59562,59728,59728,59728,59662,101.0,0.808
10,154,59802.0,59572.0,59802.0,False,0.0,0.155341,,False,True,False,59802,59802,59802,59570,59570,59575,59802,59802,59802,59675,103.0,0.824
11,13,4741.0,5008.0,5008.0,False,4.232,0.68704,0.0,True,True,True,4741,4741,4741,5008,5008,5009,5009,5008,5009,5109,101.0,0.808
