subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,featuregraph_ambiguous_objects,featuregraph_invalidated_complete_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
1.0,169.0,0.0,0.0,169.0,169.0,1.0,1.0,33.0,56.0,7.0,28.0,33.0,56.0,0.05599999999999983,0.30400000000000027,0.0048880000000000035,0.14467700000000006,0.0971240359897172,0.20462947975007284,2.821619047619048,2.821285714285714,0.9030349869822485,0.9027111467455623,0.9244074330192495,0.8437828070786153,envelope_plateau,absolute,60001,170,170,2,1,0,1,-32.0,7.0,-32.0,-0.008000000000000007,0.0,0.09287833827893177,0
2.0,121.0,11.0,0.0,132.0,121.0,0.9166666666666666,1.0,43.0,125.0,5.0,24.0,43.0,125.0,0.040000000000000036,1.9680000000000004,0.0073801000000000005,0.13161,0.14831725915917315,0.2791716265299271,3.8467438016528925,3.8737190082644624,1.1256696669421487,1.136485550413223,0.8435059607028179,0.7172748489688154,envelope_plateau,absolute,60001,133,124,3,2,1,0,42.0,5.0,42.0,0.0,0.0,0.14802945491318775,9
3.0,139.0,2.0,0.0,141.0,139.0,0.9858156028368794,1.0,15.0,146.0,8.0,44.0,15.0,71.0,0.11199999999999966,1.9920000000000002,0.0,0.07233,0.05564955628848067,0.231717555565375,3.3750791366906476,3.362187050359712,0.5235267050359712,0.5252780935251798,0.920786948607699,0.8722383289992784,envelope_plateau,absolute,60001,141,142,2,1,0,0,12.0,-1.0,12.0,-0.016000000000000014,0.0,0.04380729885667767,0
4.0,131.0,27.0,0.0,158.0,131.0,0.8291139240506329,1.0,59.0,265.0,5.0,28.0,59.0,220.0,0.03200000000000003,3.016,0.003009999999999957,0.054219999999999935,0.1561694915254238,0.5103969754253308,3.3683053435114507,3.6139236641221375,0.5142104351145038,0.5131068473282443,0.9111160962823653,0.7749112807087429,envelope_plateau,absolute,60001,163,133,6,5,4,1,-32.0,5.0,-32.0,-0.008000000000000007,0.0,0.15351227338609041,26
5.0,74.0,89.0,5.0,163.0,79.0,0.4539877300613497,0.9367088607594937,78.0,1093.0,38.0,63.0,73.0,297.0,0.8080000000000007,10.28,0.0,0.21701,0.179708835817304,0.7844357193194402,3.1605405405405405,5.862356164383562,0.6569570135135134,0.701236081081081,0.7981685756359109,0.5813572843561131,envelope_plateau,absolute,60001,165,79,4,3,2,0,73.5,-35.0,68.0,-0.7280000000000002,0.0,0.15891097074174676,86
6.0,159.0,1.0,0.0,160.0,159.0,0.99375,1.0,37.0,94.0,5.0,41.0,37.0,262.0,0.016000000000000014,0.9359999999999999,0.0009780000000000344,0.12805,0.15596539950550936,0.2617152961980548,2.9927594936708863,2.9995443037974683,0.9043265433962265,0.9070562911949686,0.9223130647739255,0.7961132632122365,envelope_plateau,absolute,60001,160,159,2,1,0,0,-36.0,-4.0,-36.0,0.0,0.0,0.15466666666666673,0
7.0,157.0,3.0,0.0,160.0,157.0,0.98125,1.0,42.0,55.0,3.0,17.0,42.0,55.0,0.016000000000000014,0.16800000000000015,0.0,0.052786,0.23187779996761493,0.27093107685433415,2.9865477707006374,2.986496815286624,0.9913455694267514,0.9946890481528662,0.9717822526915216,0.79059290855984,envelope_plateau,absolute,60001,161,161,2,1,0,1,42.0,-3.0,42.0,0.0,0.0,0.23187779996761493,1
8.0,168.0,12.0,0.0,180.0,168.0,0.9333333333333333,1.0,38.0,146.0,3.0,18.0,38.0,86.0,0.040000000000000036,2.008,0.003910000000000025,0.03323999999999999,0.2051357399453667,0.3797208160760853,2.7247619047619045,2.827714285714286,0.4254639880952381,0.427494880952381,0.9152938135502181,0.7302678553840687,envelope_plateau,absolute,60001,180,169,2,1,0,0,37.5,-3.0,37.0,-0.016000000000000014,0.0,0.2051357399453667,11
9.0,158.0,6.0,0.0,164.0,158.0,0.9634146341463414,1.0,49.5,66.0,6.0,14.0,49.5,71.0,0.03200000000000003,1.496,0.0019500000000000073,0.011730000000000018,0.21112771237303785,0.31138676626803274,2.990126582278481,2.9996455696202533,0.2611581012658228,0.2615044936708861,0.9297239190217035,0.7375595269035735,envelope_plateau,absolute,60001,164,159,2,1,0,0,47.0,6.0,47.0,0.0,0.0,0.21112771237303785,5
10.0,148.0,5.0,0.0,153.0,148.0,0.9673202614379085,1.0,25.0,252.0,4.0,36.0,25.0,240.0,0.040000000000000036,3.256,0.003889999999999949,0.4970835,0.09913252355450558,0.5833534870104248,3.1435102040816325,3.226666666666667,0.8066252466216217,0.8213724864864865,0.8995438037392762,0.8114067230378463,envelope_plateau,absolute,60001,153,148,2,1,0,0,-23.0,-2.0,-23.5,0.0,0.0,0.09791918013132023,2
