llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
1,60,181,335,True,,0.981427,0.88
2,335,462,615,True,2.248,0.98045,0.907142857
3,615,738,900,True,2.208,0.998045,0.863157895
4,900,1031,1194,True,2.344,0.963832,0.891156463
5,1194,1321,1488,True,2.32,0.9902248,0.863945578
6,1488,1643,1917,True,2.576,1,0.722610723
7,1917,2052,2205,True,3.272,1,0.9375
8,2205,2343,2497,True,2.328,0.938416,0.945205479
9,2497,2624,2784,True,2.248,0.936461,0.885017422
10,2784,2905,3076,True,2.248,0.911046,0.828767123
11,3076,3209,3384,True,2.432,0.934506,0.863636364
12,3384,3511,3708,True,2.416,0.926686,0.783950617
13,3708,3840,4044,True,2.632,0.907136,0.785714286
14,4044,4178,4377,True,2.704,0.89345,0.804804805
15,4377,4510,4730,True,2.656,0.82894,0.753541076
16,4730,4870,5088,True,2.88,0.83088,0.782122905
17,5088,5222,5426,True,2.816,0.83578,0.792899408
18,5426,5561,5781,True,2.712,0.70674,0.76056338
19,5781,5920,6148,True,2.872,0.64027,0.757493188
20,6148,6279,6487,True,2.872,0.78397,0.772861357
21,6487,6629,6762,True,2.8,0.74878,0.967272727
22,6762,7012,7152,True,3.064,0.73802,0.717948718
23,7152,7415,7553,True,3.224,0.70577,0.688279302
24,7553,7769,7905,True,2.832,0.78397,0.772727273
25,7905,8135,8347,True,2.928,0.75171,0.959276018
26,8347,8499,8693,True,2.912,0.77322,0.878612717
27,8693,8844,9054,True,2.76,0.76148,0.836565097
28,9054,9199,9394,True,2.84,0.8827,0.852941176
29,9394,9540,9746,True,2.728,0.87879,0.829545455
30,9746,9903,10095,True,2.904,0.8739,0.899713467
31,10095,10248,10429,True,2.76,0.911046,0.916167665
32,10429,10570,10750,True,2.576,0.929619,0.878504673
33,10750,10888,11064,True,2.544,0.956012,0.878980892
34,11064,11207,11392,True,2.552,0.954057,0.87195122
35,11392,11527,11698,True,2.56,0.908113,0.882352941
36,11698,11828,12011,True,2.408,0.900293,0.830670927
37,12011,12151,12345,True,2.584,0.905181,0.838323353
38,12345,12486,12687,True,2.68,0.905181,0.824561404
39,12687,12828,13031,True,2.736,0.89932,0.819767442
40,13031,13170,13383,True,2.736,0.88172,0.789772727
41,13383,13518,13727,True,2.784,0.911046,0.784883721
42,13727,13869,14077,True,2.808,0.89541,0.811428571
43,14077,14217,14424,True,2.784,0.914951,0.806916427
44,14424,14578,14775,True,2.888,0.913978,0.877492877
45,14775,14922,15120,True,2.752,0.936461,0.852173913
46,15120,15272,15477,True,2.8,0.938416,0.851540616
47,15477,15628,15850,True,2.848,0.915934,0.809651475
48,15850,16012,16233,True,3.072,0.907136,0.845953003
49,16233,16388,16624,True,3.008,0.88465,0.792838875
50,16624,16780,16993,True,3.136,0.88074,0.845528455
51,16993,17141,17356,True,2.888,0.912023,0.815426997
52,17356,17512,17712,True,2.968,0.89638,0.876404494
53,17712,17856,18056,True,2.752,0.909091,0.837209302
54,18056,18191,18371,True,2.68,0.916911,0.857142857
55,18371,18511,18710,True,2.56,0.912023,0.825958702
56,18710,18853,19037,True,2.736,0.922776,0.874617737
57,19037,19178,19380,True,2.6,0.916911,0.822157434
58,19380,19530,19732,True,2.816,0.915934,0.852272727
