subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
1,featuregraph,ann1,175,170,170,5,0,0.9714285714285714,1.0,8.0,39.0
1,featuregraph,ann2,175,170,170,5,0,0.9714285714285714,1.0,7.0,26.0
1,llm_selected_baseline,ann1,170,170,170,0,0,1.0,1.0,6.0,32.0
1,llm_selected_baseline,ann2,170,170,170,0,0,1.0,1.0,10.0,28.0
2,featuregraph,ann1,257,122,121,136,1,0.4708171206225681,0.9918032786885246,12.0,47.0
2,featuregraph,ann2,257,122,122,135,0,0.47470817120622566,1.0,12.0,42.0
2,llm_selected_baseline,ann1,124,122,122,2,0,0.9838709677419355,1.0,7.0,54.0
2,llm_selected_baseline,ann2,124,122,122,2,0,0.9838709677419355,1.0,8.0,29.0
3,featuregraph,ann1,159,141,139,20,2,0.8742138364779874,0.9858156028368794,11.0,56.0
3,featuregraph,ann2,159,142,138,21,4,0.8679245283018868,0.971830985915493,6.0,63.0
3,llm_selected_baseline,ann1,142,141,140,2,1,0.9859154929577465,0.9929078014184397,7.5,37.0
3,llm_selected_baseline,ann2,142,142,141,1,1,0.9929577464788732,0.9929577464788732,7.0,40.0
4,featuregraph,ann1,273,133,133,140,0,0.48717948717948717,1.0,19.0,38.0
4,featuregraph,ann2,273,133,133,140,0,0.48717948717948717,1.0,16.0,29.0
4,llm_selected_baseline,ann1,133,133,133,0,0,1.0,1.0,5.0,19.0
4,llm_selected_baseline,ann2,133,133,133,0,0,1.0,1.0,6.0,22.0
5,featuregraph,ann1,388,48,16,372,32,0.041237113402061855,0.3333333333333333,57.0,63.0
5,featuregraph,ann2,388,48,26,362,22,0.06701030927835051,0.5416666666666666,56.0,63.0
5,llm_selected_baseline,ann1,79,48,45,34,3,0.569620253164557,0.9375,30.0,60.0
5,llm_selected_baseline,ann2,79,48,45,34,3,0.569620253164557,0.9375,44.0,63.0
6,featuregraph,ann1,198,161,159,39,2,0.803030303030303,0.9875776397515528,9.0,50.0
6,featuregraph,ann2,198,160,159,39,1,0.803030303030303,0.99375,9.0,42.0
6,llm_selected_baseline,ann1,159,161,157,2,4,0.9874213836477987,0.9751552795031055,7.0,33.0
6,llm_selected_baseline,ann2,159,160,159,0,1,1.0,0.99375,4.0,48.0
7,featuregraph,ann1,313,160,160,153,0,0.5111821086261981,1.0,9.0,39.0
7,featuregraph,ann2,313,160,160,153,0,0.5111821086261981,1.0,5.0,21.0
7,llm_selected_baseline,ann1,161,160,160,1,0,0.9937888198757764,1.0,8.0,35.0
7,llm_selected_baseline,ann2,161,160,160,1,0,0.9937888198757764,1.0,3.5,19.0
8,featuregraph,ann1,441,170,169,272,1,0.3832199546485261,0.9941176470588236,17.0,48.0
8,featuregraph,ann2,441,170,169,272,1,0.3832199546485261,0.9941176470588236,17.0,26.0
8,llm_selected_baseline,ann1,169,170,169,0,1,1.0,0.9941176470588236,7.0,28.0
8,llm_selected_baseline,ann2,169,170,169,0,1,1.0,0.9941176470588236,4.0,23.0
9,featuregraph,ann1,297,160,160,137,0,0.5387205387205387,1.0,18.0,58.0
9,featuregraph,ann2,297,161,160,137,1,0.5387205387205387,0.9937888198757764,13.0,23.0
9,llm_selected_baseline,ann1,159,160,159,0,1,1.0,0.99375,6.0,41.0
9,llm_selected_baseline,ann2,159,161,159,0,2,1.0,0.9875776397515528,8.0,17.0
10,featuregraph,ann1,156,146,146,10,0,0.9358974358974359,1.0,11.0,59.0
10,featuregraph,ann2,156,152,149,7,3,0.9551282051282052,0.9802631578947368,11.0,57.0
10,llm_selected_baseline,ann1,148,146,146,2,0,0.9864864864864865,1.0,9.0,62.0
10,llm_selected_baseline,ann2,148,152,148,0,4,1.0,0.9736842105263158,4.0,27.0
11,featuregraph,ann1,184,116,115,69,1,0.625,0.9913793103448276,15.0,60.0
11,featuregraph,ann2,184,120,120,64,0,0.6521739130434783,1.0,13.0,58.0
11,llm_selected_baseline,ann1,119,116,115,4,1,0.9663865546218487,0.9913793103448276,9.0,55.0
11,llm_selected_baseline,ann2,119,120,119,0,1,1.0,0.9916666666666667,15.0,47.0
12,featuregraph,ann1,154,151,151,3,0,0.9805194805194806,1.0,9.0,46.0
12,featuregraph,ann2,154,152,152,2,0,0.987012987012987,1.0,8.0,23.0
12,llm_selected_baseline,ann1,151,151,150,1,1,0.9933774834437086,0.9933774834437086,8.0,49.0
12,llm_selected_baseline,ann2,151,152,151,0,1,1.0,0.993421052631579,5.0,18.0
13,featuregraph,ann1,519,160,160,359,0,0.30828516377649323,1.0,25.0,56.0
13,featuregraph,ann2,519,165,165,354,0,0.3179190751445087,1.0,13.0,34.0
13,llm_selected_baseline,ann1,106,160,105,1,55,0.9905660377358491,0.65625,20.0,58.0
13,llm_selected_baseline,ann2,106,165,86,20,79,0.8113207547169812,0.5212121212121212,8.0,50.0
14,featuregraph,ann1,404,108,101,303,7,0.25,0.9351851851851852,17.0,61.0
14,featuregraph,ann2,404,110,107,297,3,0.26485148514851486,0.9727272727272728,8.0,61.0
14,llm_selected_baseline,ann1,144,108,99,45,9,0.6875,0.9166666666666666,22.0,63.0
14,llm_selected_baseline,ann2,144,110,106,38,4,0.7361111111111112,0.9636363636363636,22.5,63.0
15,featuregraph,ann1,206,110,84,122,26,0.4077669902912621,0.7636363636363637,22.0,63.0
15,featuregraph,ann2,206,124,101,105,23,0.49029126213592233,0.8145161290322581,16.0,62.0
15,llm_selected_baseline,ann1,121,110,97,24,13,0.8016528925619835,0.8818181818181818,17.0,57.0
15,llm_selected_baseline,ann2,121,124,116,5,8,0.9586776859504132,0.9354838709677419,13.5,61.0
16,featuregraph,ann1,239,156,156,83,0,0.6527196652719666,1.0,10.0,43.0
16,featuregraph,ann2,239,155,155,84,0,0.6485355648535565,1.0,9.0,35.0
16,llm_selected_baseline,ann1,157,156,156,1,0,0.9936305732484076,1.0,7.0,30.0
16,llm_selected_baseline,ann2,157,155,154,3,1,0.9808917197452229,0.9935483870967742,5.0,22.0
17,featuregraph,ann1,145,137,121,24,16,0.8344827586206897,0.8832116788321168,31.0,62.0
17,featuregraph,ann2,145,138,137,8,1,0.9448275862068966,0.9927536231884058,25.0,52.0
17,llm_selected_baseline,ann1,138,137,135,3,2,0.9782608695652174,0.9854014598540146,13.0,63.0
17,llm_selected_baseline,ann2,138,138,137,1,1,0.9927536231884058,0.9927536231884058,7.0,31.0
18,featuregraph,ann1,146,144,144,2,0,0.9863013698630136,1.0,11.5,51.0
18,featuregraph,ann2,146,144,144,2,0,0.9863013698630136,1.0,7.0,16.0
18,llm_selected_baseline,ann1,144,144,144,0,0,1.0,1.0,9.5,46.0
18,llm_selected_baseline,ann2,144,144,144,0,0,1.0,1.0,9.0,18.0
19,featuregraph,ann1,422,118,117,305,1,0.2772511848341232,0.9915254237288136,16.0,62.0
19,featuregraph,ann2,422,128,128,294,0,0.3033175355450237,1.0,12.0,44.0
19,llm_selected_baseline,ann1,122,118,111,11,7,0.9098360655737705,0.940677966101695,9.0,59.0
19,llm_selected_baseline,ann2,122,128,120,2,8,0.9836065573770492,0.9375,10.0,34.0
20,featuregraph,ann1,186,122,113,73,9,0.6075268817204301,0.9262295081967213,25.0,62.0
20,featuregraph,ann2,186,120,115,71,5,0.6182795698924731,0.9583333333333334,16.0,63.0
20,llm_selected_baseline,ann1,128,122,118,10,4,0.921875,0.9672131147540983,14.0,59.0
20,llm_selected_baseline,ann2,128,120,119,9,1,0.9296875,0.9916666666666667,9.0,60.0
21,featuregraph,ann1,425,143,143,282,0,0.33647058823529413,1.0,10.0,53.0
21,featuregraph,ann2,425,144,144,281,0,0.3388235294117647,1.0,7.5,57.0
21,llm_selected_baseline,ann1,150,143,139,11,4,0.9266666666666666,0.972027972027972,6.0,40.0
21,llm_selected_baseline,ann2,150,144,142,8,2,0.9466666666666667,0.9861111111111112,7.0,52.0
22,featuregraph,ann1,282,150,150,132,0,0.5319148936170213,1.0,8.0,46.0
22,featuregraph,ann2,282,150,150,132,0,0.5319148936170213,1.0,6.0,29.0
22,llm_selected_baseline,ann1,151,150,150,1,0,0.9933774834437086,1.0,6.0,40.0
22,llm_selected_baseline,ann2,151,150,150,1,0,0.9933774834437086,1.0,4.0,25.0
23,featuregraph,ann1,335,143,142,193,1,0.42388059701492536,0.993006993006993,13.0,43.0
