subject,method,annotator,kind,peak_index
1,featuregraph,ann1,detector_only,7443
1,featuregraph,ann1,detector_only,7748
1,featuregraph,ann1,detector_only,8296
1,featuregraph,ann1,detector_only,8531
1,featuregraph,ann1,detector_only,14354
1,featuregraph,ann2,detector_only,7404
1,featuregraph,ann2,detector_only,7748
1,featuregraph,ann2,detector_only,8296
1,featuregraph,ann2,detector_only,8493
1,featuregraph,ann2,detector_only,14354
2,featuregraph,ann1,detector_only,538
2,featuregraph,ann1,detector_only,622
2,featuregraph,ann1,detector_only,1017
2,featuregraph,ann1,detector_only,1519
2,featuregraph,ann1,detector_only,2010
2,featuregraph,ann1,detector_only,2510
2,featuregraph,ann1,detector_only,3422
2,featuregraph,ann1,detector_only,3922
2,featuregraph,ann1,detector_only,4416
2,featuregraph,ann1,detector_only,4823
2,featuregraph,ann1,detector_only,5307
2,featuregraph,ann1,detector_only,5809
2,featuregraph,ann1,detector_only,6225
2,featuregraph,ann1,detector_only,6722
2,featuregraph,ann1,detector_only,7150
2,featuregraph,ann1,detector_only,7650
2,featuregraph,ann1,detector_only,8148
2,featuregraph,ann1,detector_only,8548
2,featuregraph,ann1,detector_only,8633
2,featuregraph,ann1,detector_only,9055
2,featuregraph,ann1,detector_only,9456
2,featuregraph,ann1,detector_only,9518
2,featuregraph,ann1,detector_only,10007
2,featuregraph,ann1,detector_only,11069
2,featuregraph,ann1,detector_only,11569
2,featuregraph,ann1,detector_only,11986
2,featuregraph,ann1,detector_only,12060
2,featuregraph,ann1,detector_only,12569
2,featuregraph,ann1,detector_only,12657
2,featuregraph,ann1,detector_only,13074
2,featuregraph,ann1,detector_only,13583
2,featuregraph,ann1,detector_only,14085
2,featuregraph,ann1,detector_only,14581
2,featuregraph,ann1,detector_only,15071
2,featuregraph,ann1,detector_only,15568
2,featuregraph,ann1,detector_only,16044
2,featuregraph,ann1,detector_only,17028
2,featuregraph,ann1,detector_only,17115
2,featuregraph,ann1,detector_only,17527
2,featuregraph,ann1,detector_only,18023
2,featuregraph,ann1,detector_only,18439
2,featuregraph,ann1,detector_only,18861
2,featuregraph,ann1,detector_only,18940
2,featuregraph,ann1,detector_only,19357
2,featuregraph,ann1,detector_only,19853
2,featuregraph,ann1,detector_only,19931
2,featuregraph,ann1,detector_only,20371
2,featuregraph,ann1,detector_only,20500
2,featuregraph,ann1,detector_only,21003
2,featuregraph,ann1,detector_only,21069
2,featuregraph,ann1,detector_only,21163
2,featuregraph,ann1,detector_only,21562
2,featuregraph,ann1,detector_only,21646
2,featuregraph,ann1,detector_only,22137
2,featuregraph,ann1,detector_only,22633
2,featuregraph,ann1,detector_only,23058
2,featuregraph,ann1,detector_only,23134
2,featuregraph,ann1,detector_only,23557
2,featuregraph,ann1,detector_only,23633
2,featuregraph,ann1,detector_only,24133
2,featuregraph,ann1,detector_only,24630
2,featuregraph,ann1,detector_only,25052
2,featuregraph,ann1,detector_only,25460
2,featuregraph,ann1,detector_only,25538
2,featuregraph,ann1,detector_only,26032
2,featuregraph,ann1,detector_only,26537
2,featuregraph,ann1,detector_only,27038
2,featuregraph,ann1,detector_only,27528
2,featuregraph,ann1,detector_only,27950
2,featuregraph,ann1,detector_only,28005
2,featuregraph,ann1,detector_only,28409
2,featuregraph,ann1,detector_only,28499
2,featuregraph,ann1,detector_only,28977
2,featuregraph,ann1,detector_only,29475
2,featuregraph,ann1,detector_only,29969
2,featuregraph,ann1,detector_only,30472
2,featuregraph,ann1,detector_only,30973
2,featuregraph,ann1,detector_only,31397
2,featuregraph,ann1,detector_only,31893
2,featuregraph,ann1,detector_only,32396
2,featuregraph,ann1,detector_only,32469
2,featuregraph,ann1,detector_only,32880
2,featuregraph,ann1,detector_only,33191
2,featuregraph,ann1,detector_only,33370
2,featuregraph,ann1,detector_only,33934
2,featuregraph,ann1,detector_only,34427
2,featuregraph,ann1,detector_only,34936
2,featuregraph,ann1,detector_only,35019
2,featuregraph,ann1,detector_only,35442
2,featuregraph,ann1,detector_only,35526
2,featuregraph,ann1,detector_only,35952
2,featuregraph,ann1,detector_only,36034
2,featuregraph,ann1,detector_only,36473
2,featuregraph,ann1,detector_only,36988
2,featuregraph,ann1,detector_only,37920
2,featuregraph,ann1,detector_only,38003
2,featuregraph,ann1,detector_only,38424
2,featuregraph,ann1,detector_only,38521
2,featuregraph,ann1,detector_only,38922
2,featuregraph,ann1,detector_only,39413
2,featuregraph,ann1,detector_only,39822
2,featuregraph,ann1,detector_only,39897
2,featuregraph,ann1,detector_only,40794
2,featuregraph,ann1,detector_only,41678
2,featuregraph,ann1,detector_only,42570
2,featuregraph,ann1,detector_only,43139
2,featuregraph,ann1,detector_only,43644
2,featuregraph,ann1,detector_only,44137
2,featuregraph,ann1,detector_only,44628
2,featuregraph,ann1,detector_only,44706
2,featuregraph,ann1,detector_only,45534
2,featuregraph,ann1,detector_only,45619
2,featuregraph,ann1,detector_only,45776
2,featuregraph,ann1,detector_only,45918
2,featuregraph,ann1,detector_only,47122
2,featuregraph,ann1,detector_only,48122
2,featuregraph,ann1,detector_only,48323
2,featuregraph,ann1,detector_only,49276
2,featuregraph,ann1,detector_only,49842
2,featuregraph,ann1,detector_only,50249
2,featuregraph,ann1,detector_only,51337
2,featuregraph,ann1,detector_only,52420
2,featuregraph,ann1,detector_only,52502
2,featuregraph,ann1,detector_only,53092
2,featuregraph,ann1,detector_only,54410
2,featuregraph,ann1,detector_only,54912
2,featuregraph,ann1,detector_only,55400
2,featuregraph,ann1,detector_only,55715
2,featuregraph,ann1,detector_only,55875
2,featuregraph,ann1,detector_only,56037
2,featuregraph,ann1,detector_only,56745
2,featuregraph,ann1,detector_only,57795
2,featuregraph,ann1,detector_only,58364
2,featuregraph,ann1,detector_only,58867
2,featuregraph,ann1,detector_only,58971
2,featuregraph,ann1,detector_only,59799
2,featuregraph,ann1,reference_only,48402
2,featuregraph,ann2,detector_only,538
2,featuregraph,ann2,detector_only,622
2,featuregraph,ann2,detector_only,1017
2,featuregraph,ann2,detector_only,1519
2,featuregraph,ann2,detector_only,2010
2,featuregraph,ann2,detector_only,2510
2,featuregraph,ann2,detector_only,3422
2,featuregraph,ann2,detector_only,3922
2,featuregraph,ann2,detector_only,4416
2,featuregraph,ann2,detector_only,4823
2,featuregraph,ann2,detector_only,5307
2,featuregraph,ann2,detector_only,5809
2,featuregraph,ann2,detector_only,6225
2,featuregraph,ann2,detector_only,6722
2,featuregraph,ann2,detector_only,7150
2,featuregraph,ann2,detector_only,7650
2,featuregraph,ann2,detector_only,8148
2,featuregraph,ann2,detector_only,8548
2,featuregraph,ann2,detector_only,8633
2,featuregraph,ann2,detector_only,9055
2,featuregraph,ann2,detector_only,9456
2,featuregraph,ann2,detector_only,9518
2,featuregraph,ann2,detector_only,10007
2,featuregraph,ann2,detector_only,11069
2,featuregraph,ann2,detector_only,11569
2,featuregraph,ann2,detector_only,11986
2,featuregraph,ann2,detector_only,12060
2,featuregraph,ann2,detector_only,12569
2,featuregraph,ann2,detector_only,12657
2,featuregraph,ann2,detector_only,13074
2,featuregraph,ann2,detector_only,13583
2,featuregraph,ann2,detector_only,14085
2,featuregraph,ann2,detector_only,14581
2,featuregraph,ann2,detector_only,15071
2,featuregraph,ann2,detector_only,15568
2,featuregraph,ann2,detector_only,16044
2,featuregraph,ann2,detector_only,17028
2,featuregraph,ann2,detector_only,17115
2,featuregraph,ann2,detector_only,17527
2,featuregraph,ann2,detector_only,18023
2,featuregraph,ann2,detector_only,18439
2,featuregraph,ann2,detector_only,18861
2,featuregraph,ann2,detector_only,18940
2,featuregraph,ann2,detector_only,19357
2,featuregraph,ann2,detector_only,19853
2,featuregraph,ann2,detector_only,19931
2,featuregraph,ann2,detector_only,20371
2,featuregraph,ann2,detector_only,20500
2,featuregraph,ann2,detector_only,21003
