subject,llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
5,2,1070,1322,1477,True,3.96,1.0,0.7616707616707616
5,4,2367,2614,2770,True,4.176,1.0,0.7741935483870968
5,6,3617,3844,4003,True,4.232,1.0,0.8238341968911918
5,8,4846,5095,5251,True,2.704,1.0,0.7703703703703704
5,9,5251,6129,6297,True,8.272,1.0,0.3212237093690249
5,10,6297,7674,7837,True,12.36,1.0,0.2116883116883117
5,12,8672,8930,9087,True,4.552,1.0,0.7566265060240964
5,14,9952,10221,10380,True,4.048,1.0,0.7429906542056075
5,16,11099,11343,11499,True,3.432,1.0,0.78
5,18,12462,13598,13755,True,10.464,1.0,0.242846094354215
5,20,14722,14972,15126,True,4.136,1.0,0.7623762376237624
5,21,15126,16112,16267,True,9.12,1.0,0.2716914986853637
5,23,17292,17533,17694,True,2.68,1.0,0.8009950248756219
5,25,18454,18696,18853,True,2.768,1.0,0.786967418546366
5,26,18853,20527,20686,True,14.648,1.0,0.17348608837970536
5,28,21593,21796,21974,True,4.52,1.0,0.9343832020997376
5,30,22662,22906,23065,True,3.736,1.0,0.7890818858560794
5,31,23065,23801,23963,True,7.16,1.0,0.3608017817371938
5,32,23963,24853,25012,True,8.416,1.0,0.3031458531935176
5,34,25839,26082,26240,True,3.672,1.0,0.7880299251870324
5,36,27241,27492,27648,True,3.92,1.0,0.7665847665847666
5,38,28738,28956,29122,True,2.456,1.0,0.8645833333333334
5,40,29882,30097,30268,True,3.496,1.0,0.8860103626943006
5,42,31215,31457,31616,True,2.832,1.0,0.7930174563591023
5,44,32644,33463,33626,True,7.904,1.0,0.33197556008146645
5,46,34350,34579,34739,True,3.416,1.0,0.8226221079691517
5,48,35534,35745,35913,True,3.584,1.0,0.8865435356200527
5,49,35913,37216,37373,True,11.768,1.0,0.21506849315068488
5,51,38801,38873,39030,True,2.968,1.0,0.62882096069869
5,53,40258,40489,40649,True,2.552,1.0,0.8184143222506394
5,55,41402,41643,41803,True,3.72,1.0,0.7980049875311721
5,57,42683,42952,43110,True,3.392,1.0,0.7400468384074941
5,59,43983,44208,44368,True,3.392,1.0,0.8311688311688312
5,61,45072,45342,45498,True,3.864,1.0,0.7323943661971831
5,63,46761,47019,47176,True,2.752,1.0,0.7566265060240964
5,65,47967,48211,48367,True,2.688,1.0,0.78
5,67,49325,49597,49752,True,2.752,1.0,0.7259953161592505
5,70,51508,51750,51910,True,3.624,1.0,0.7960199004975125
5,72,52850,53118,53274,True,5.52,1.0,0.7358490566037736
5,74,54320,54560,54717,True,5.992,1.0,0.7909319899244333
5,76,55484,55758,55913,True,4.328,1.0,0.7226107226107226
5,77,55913,56915,57071,True,9.256,1.0,0.26943005181347146
5,78,57071,57965,58127,True,8.4,1.0,0.30681818181818177
5,79,58127,59009,59168,True,8.352,1.0,0.3054755043227666
14,4,2097,2505,2671,True,4.464,0.51834,0.578397212543554
14,56,34177,34612,34755,True,4.664,1.1515900000000001,0.4948096885813149
14,75,44004,44392,44538,True,4.288,1.0977999999999999,0.5468164794007491
14,81,47183,47443,47609,True,2.904,0.8533,0.7793427230046949
15,1,51,637,811,True,,0.82151,0.45789473684210524
15,2,811,1124,1361,True,3.896,0.6846,0.8618181818181818
15,7,3229,3523,3689,True,3.976,0.7823899999999999,0.7217391304347827
15,9,4013,4428,4594,True,4.592,0.70416,0.5714285714285714
15,10,4594,4890,5016,True,3.696,0.5061100000000001,0.5971563981042654
15,12,5357,5841,5996,True,5.504,0.787285,0.48513302034428796
15,24,11181,11515,11730,True,4.04,0.8850899999999999,0.7832422586520947
15,26,12642,12713,12865,True,6.264,1.801945,0.6367713004484306
15,35,16596,16906,17122,True,4.224,1.2396099999999999,0.8212927756653993
15,38,18127,18425,18641,True,4.312,1.25913,0.8404669260700389
15,56,27192,27535,27740,True,4.152,1.3643,0.7481751824817517
15,60,29313,29653,29841,True,4.624,1.6332,0.7121212121212122
15,88,43874,44194,44377,True,3.888,1.36186,0.7276341948310139
15,96,48576,48910,49092,True,6.784,0.47676999999999997,0.7054263565891472
15,97,49092,49236,49424,True,2.608,0.222495,0.8674698795180723
15,103,52076,52391,52570,True,3.248,0.38631000000000004,0.7246963562753037
15,106,53490,53605,54033,True,2.456,0.298285,0.423572744014733
15,109,54581,54858,55047,True,3.064,0.30806,0.8111587982832618
15,110,55047,55340,56078,True,3.856,0.42298,0.5683802133850631
15,111,56078,56433,56570,True,8.744,0.425425,0.556910569105691
15,113,57084,57457,57619,True,4.8,0.33741,0.605607476635514
