subject,matched_objects_absolute,featuregraph_only_objects_absolute,llm_only_objects_absolute,featuregraph_complete_objects_absolute,llm_complete_objects_absolute,featuregraph_matched_fraction_absolute,llm_matched_fraction_absolute,median_absolute_start_index_error_absolute,maximum_absolute_start_index_error_absolute,median_absolute_peak_index_error_absolute,maximum_absolute_peak_index_error_absolute,median_absolute_end_index_error_absolute,maximum_absolute_end_index_error_absolute,median_absolute_period_seconds_error_absolute,maximum_absolute_period_seconds_error_absolute,median_absolute_full_excursion_error_absolute,maximum_absolute_full_excursion_error_absolute,median_absolute_temporal_symmetry_error_absolute,maximum_absolute_temporal_symmetry_error_absolute,featuregraph_mean_period_seconds_absolute,llm_mean_period_seconds_absolute,featuregraph_mean_full_excursion_absolute,llm_mean_full_excursion_absolute,featuregraph_mean_temporal_symmetry_absolute,llm_mean_temporal_symmetry_absolute,samples_absolute,featuregraph_detected_peaks_absolute,llm_detected_peaks_absolute,featuregraph_partial_objects_absolute,llm_partial_objects_absolute,median_signed_start_index_difference_absolute,median_signed_peak_index_difference_absolute,median_signed_end_index_difference_absolute,median_signed_period_seconds_difference_absolute,median_signed_full_excursion_difference_absolute,median_signed_temporal_symmetry_difference_absolute,featuregraph_only_excluded_by_both_annotators_absolute,matched_objects_mad,featuregraph_only_objects_mad,llm_only_objects_mad,featuregraph_complete_objects_mad,llm_complete_objects_mad,featuregraph_matched_fraction_mad,llm_matched_fraction_mad,median_absolute_start_index_error_mad,maximum_absolute_start_index_error_mad,median_absolute_peak_index_error_mad,maximum_absolute_peak_index_error_mad,median_absolute_end_index_error_mad,maximum_absolute_end_index_error_mad,median_absolute_period_seconds_error_mad,maximum_absolute_period_seconds_error_mad,median_absolute_full_excursion_error_mad,maximum_absolute_full_excursion_error_mad,median_absolute_temporal_symmetry_error_mad,maximum_absolute_temporal_symmetry_error_mad,featuregraph_mean_period_seconds_mad,llm_mean_period_seconds_mad,featuregraph_mean_full_excursion_mad,llm_mean_full_excursion_mad,featuregraph_mean_temporal_symmetry_mad,llm_mean_temporal_symmetry_mad,featuregraph_scaling,samples_mad,featuregraph_detected_peaks_mad,llm_detected_peaks_mad,featuregraph_partial_objects_mad,llm_partial_objects_mad,median_signed_start_index_difference_mad,median_signed_peak_index_difference_mad,median_signed_end_index_difference_mad,median_signed_period_seconds_difference_mad,median_signed_full_excursion_difference_mad,median_signed_temporal_symmetry_difference_mad,featuregraph_only_excluded_by_both_annotators_mad,delta_featuregraph_complete_objects,delta_matched_objects,delta_featuregraph_only_objects,delta_llm_only_objects,delta_featuregraph_matched_fraction,delta_llm_matched_fraction
1.0,169.0,5.0,0.0,174.0,169.0,0.971264367816092,1.0,53.0,191.0,10.0,29.0,53.0,191.0,0.04,1.336,0.0048869999999999,0.42815,0.2496796442976685,0.5557813542980049,2.8018571428571426,2.821285714285714,0.8961346437869823,0.9027111467455624,0.5960787684944024,0.8437828070786153,60001.0,175.0,170.0,2.0,1.0,53.0,9.0,53.0,-0.008,0.0,-0.2496796442976685,2.0,169.0,5.0,0.0,174.0,169.0,0.971264367816092,1.0,53.0,191.0,10.0,29.0,53.0,191.0,0.04,1.336,0.0048869999999998,0.42815,0.2496796442976685,0.5557813542980049,2.8018571428571426,2.821285714285714,0.8961346437869823,0.9027111467455624,0.5960787684944024,0.8437828070786153,mad,60001,175,170,2,1,53.0,9.0,53.0,-0.008,1.1102230246251563e-16,-0.2496796442976685,2,0.0,0.0,0.0,0.0,0.0,0.0
2.0,121.0,33.0,0.0,154.0,121.0,0.7857142857142857,1.0,177.0,290.0,12.0,35.0,166.0,247.0,0.1200000000000001,3.528,0.0147599999999998,0.3948309999999999,0.1472073072887737,0.5581460674157303,3.342611570247933,3.8737190082644624,1.1103397024793389,1.136485550413223,0.5483338925571912,0.7172748489688154,60001.0,154.0,124.0,2.0,0.0,177.0,-9.0,164.0,-0.056,0.0,-0.145724660387444,29.0,121.0,136.0,0.0,257.0,121.0,0.4708171206225681,1.0,165.0,273.0,9.0,33.0,65.0,234.0,2.184,3.576,0.01353,0.3948309999999999,0.1100187999373334,0.5244877210818769,2.00396694214876,3.8737190082644624,1.1140608429752066,1.136485550413223,0.7381096179474191,0.7172748489688154,mad,60001,257,124,2,0,165.0,-3.0,65.0,-2.184,0.0,0.0521790065604499,134,103.0,0.0,103.0,0.0,-0.3148971650917176,0.0
3.0,80.0,71.0,59.0,151.0,139.0,0.5298013245033113,0.5755395683453237,135.5,226.0,38.5,63.0,122.0,1579.0,0.248,3.464,0.0048849999999999,0.17107,0.5408647476122779,0.9134681711302106,2.9089,3.379,0.559224975,0.5634774374999999,0.3100593025414419,0.8645772372770584,60001.0,152.0,142.0,2.0,0.0,135.5,-38.5,122.0,-0.0799999999999998,0.0,-0.5408647476122779,63.0,139.0,19.0,0.0,158.0,139.0,0.879746835443038,1.0,88.0,278.0,6.0,59.0,86.0,209.0,0.0879999999999996,3.392,0.00586,0.1671600000000001,0.2600766353434905,0.7460687918892254,3.0837410071942446,3.362187050359712,0.5223876115107913,0.5252780935251798,0.6081137271535265,0.8722383289992784,mad,60001,159,142,2,0,88.0,-3.0,86.0,-0.032,0.0,-0.2600766353434905,17,7.0,59.0,-52.0,-59.0,0.3499455109397267,0.4244604316546763
4.0,130.0,5.0,1.0,135.0,131.0,0.9629629629629628,0.9923664122137404,126.5,432.0,16.0,30.0,126.5,729.0,0.032,3.968,0.0060199999999999,0.06024,0.5353364196567918,0.8616899800171283,3.5405538461538466,3.6127384615384615,0.5138791846153846,0.5146905461538462,0.2544558346712495,0.7736478477426361,60001.0,136.0,133.0,2.0,1.0,126.5,16.0,126.5,-0.008,0.0,-0.5353364196567918,3.0,131.0,141.0,0.0,272.0,131.0,0.4816176470588235,1.0,83.0,412.0,21.0,42.0,54.0,272.0,2.152,3.368,0.00301,0.0843399999999999,0.2169678909978191,0.6000947608723743,1.8734656488549617,3.6139236641221375,0.5096115038167939,0.5131068473282443,0.5600877901935885,0.7749112807087429,mad,60001,273,133,2,1,83.0,21.0,44.0,-2.152,0.0,-0.2169678909978191,139,137.0,1.0,136.0,-1.0,-0.4813453159041393,0.007633587786259555
5.0,1.0,58.0,78.0,59.0,79.0,0.0169491525423728,0.0126582278481012,731.0,731.0,44.0,44.0,231.0,231.0,0.8479999999999999,0.8479999999999999,0.0,0.0,0.0720915332516487,0.0720915332516487,8.824,7.976,1.0,1.0,0.2622309197651663,0.334322453016815,60001.0,59.0,79.0,2.0,0.0,731.0,-44.0,231.0,0.8479999999999999,0.0,-0.0720915332516487,37.0,35.0,353.0,44.0,388.0,79.0,0.0902061855670103,0.4430379746835443,627.0,1136.0,25.0,60.0,147.0,425.0,5.768000000000001,9.848,0.2072299999999999,0.25317,0.266227449048704,0.7884957062481494,0.7933714285714284,6.866823529411765,0.1419342857142857,0.325736,0.6790891374427405,0.4700652258487857,mad,60001,388,79,2,0,627.0,-1.0,-83.0,-5.768000000000001,-0.2072299999999999,0.2349155269509252,325,329.0,34.0,295.0,-34.0,0.07325703302463749,0.43037974683544306
6.0,159.0,24.0,0.0,183.0,159.0,0.8688524590163934,1.0,65.0,211.0,8.0,27.0,64.0,221.0,0.036,3.12,0.0,0.25611,0.3328166457198714,0.687551867219917,2.7563037974683544,2.9995443037974683,0.8880285056603773,0.9070562911949686,0.4668295494072268,0.7961132632122365,60001.0,184.0,159.0,2.0,0.0,65.0,7.0,64.0,0.0,0.0,-0.3315217391304348,22.0,159.0,39.0,0.0,198.0,159.0,0.803030303030303,1.0,62.0,208.0,9.0,29.0,58.0,223.0,0.048,3.128,1.1102230246251563e-16,0.2561099999999999,0.3082386830734425,0.6618615801542631,2.564607594936709,2.9995443037974683,0.889005989937107,0.9070562911949686,0.5040712697157091,0.7961132632122365,mad,60001,198,159,2,0,62.0,9.0,57.0,-0.008,0.0,-0.3071965628356606,37,15.0,0.0,15.0,0.0,-0.06582215598609042,0.0
7.0,157.0,34.0,0.0,191.0,157.0,0.8219895287958116,1.0,159.0,214.0,3.0,19.0,151.0,196.0,0.064,2.3360000000000003,0.0,0.17595,0.3529984277906716,0.6509232252693614,2.621248407643312,2.986496815286624,0.9861342146496814,0.9946890481528662,0.4254172482655603,0.79059290855984,60001.0,192.0,161.0,2.0,1.0,159.0,-1.0,151.0,-0.024,0.0,-0.3529984277906716,32.0,157.0,155.0,0.0,312.0,157.0,0.5032051282051282,1.0,152.0,211.0,4.0,24.0,71.0,158.0,1.904,2.4800000000000004,0.0,0.1231699999999998,0.1971509971509972,0.6241693270413202,1.32,2.986496815286624,0.9865886732484076,0.9946890481528662,0.558731425037263,0.79059290855984,mad,60001,313,161,2,1,152.0,2.0,71.0,-1.904,0.0,-0.1971509971509972,152,121.0,0.0,121.0,0.0,-0.31878440059068336,0.0
8.0,168.0,1.0,0.0,169.0,168.0,0.9940828402366864,1.0,188.5,275.0,7.0,17.0,188.5,275.0,0.032,0.2319999999999997,0.00488,0.04301,0.4047931111013177,0.7837263060564031,2.828904761904762,2.827714285714286,0.4248473809523809,0.427494880952381,0.3067431251065899,0.7302678553840687,60001.0,170.0,169.0,2.0,0.0,188.5,7.0,188.5,0.0,0.0,-0.4047931111013177,0.0,168.0,273.0,0.0,441.0,168.0,0.3809523809523809,1.0,175.5,264.0,17.0,27.0,42.5,116.0,1.808,2.664,0.0048799999999999,0.04301,0.0952743184527094,0.5486663133721957,1.1084761904761904,2.827714285714286,0.4248124404761905,0.427494880952381,0.6946918270995016,0.7302678553840687,mad,60001,441,169,2,0,175.5,17.0,42.5,-1.808,-5.551115123125783e-17,-0.0196947081487247,271,272.0,0.0,272.0,0.0,-0.6131304592843054,0.0
9.0,55.0,0.0,103.0,55.0,158.0,1.0,0.3481012658227848,211.0,248.0,12.0,37.0,235.0,3957.0,0.1480000000000001,29.848,0.00391,0.0449699999999999,0.6689915846526886,0.9826071964626182,8.336,2.997963636363637,0.2688705454545454,0.261442,0.0502276216162681,0.7592011103690813,60001.0,56.0,159.0,2.0,0.0,211.0,-12.0,235.0,0.1480000000000001,0.0039099999999999,-0.6689915846526886,0.0,158.0,138.0,0.0,296.0,158.0,0.5337837837837838,1.0,164.0,185.0,21.0,26.0,88.5,183.0,1.6,2.184,0.00293,0.01173,0.0864503197479859,0.5361896708321588,1.64,2.9996455696202533,0.2607434810126582,0.2615044936708861,0.655981177984529,0.7375595269035735,mad,60001,297,159,2,0,164.0,21.0,88.5,-1.6,-5.551115123125783e-17,-0.0484506352305269,137,241.0,103.0,138.0,-103.0,-0.46621621621621623,0.6518987341772152
10.0,145.0,13.0,3.0,158.0,148.0,0.9177215189873418,0.9797297297297296,59.0,377.0,9.0,59.0,59.0,411.0,0.04,3.112,0.0058199999999999,0.97475,0.2607550482879719,0.8321678321678322,3.076388888888889,3.2271666666666667,0.7907998958620689,0.8271176620689655,0.5036829792496544,0.8107144416002479,60001.0,159.0,148.0,2.0,0.0,59.0,7.0,59.0,-0.008,0.0,-0.2607550482879719,12.0,148.0,7.0,0.0,155.0,148.0,0.9548387096774194,1.0,49.0,372.0,13.0,49.0,48.0,372.0,0.032,3.144,0.0058199999999999,0.97475,0.1882211854391806,0.8163788592360021,3.124571428571429,3.226666666666667,0.7879688506756757,0.8213724864864865,0.5984682721368589,0.8114067230378463,mad,60001,156,148,2,0,49.0,11.5,47.5,-0.008,0.0,-0.1847035488992729,6,-3.0,3.0,-6.0,-3.0,0.03711719069007757,0.020270270270270396
