subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
1.0,169.0,5.0,0.0,174.0,169.0,0.9712643678160919,1.0,53.0,191.0,10.0,29.0,53.0,191.0,0.040000000000000036,1.3359999999999999,0.004886999999999864,0.42815000000000003,0.24967964429766853,0.5557813542980049,2.8018571428571426,2.821285714285714,0.8961346437869823,0.9027111467455623,0.5960787684944024,0.8437828070786153,mad,60001,175,170,2,1,53.0,9.0,53.0,-0.008000000000000007,1.1102230246251565e-16,-0.24967964429766853,2
2.0,121.0,136.0,0.0,257.0,121.0,0.4708171206225681,1.0,165.0,273.0,9.0,33.0,65.0,234.0,2.184,3.576,0.013530000000000042,0.39483099999999993,0.11001879993733343,0.5244877210818769,2.00396694214876,3.8737190082644624,1.1140608429752066,1.136485550413223,0.7381096179474191,0.7172748489688154,mad,60001,257,124,2,0,165.0,-3.0,65.0,-2.184,0.0,0.052179006560449936,134
3.0,139.0,19.0,0.0,158.0,139.0,0.879746835443038,1.0,88.0,278.0,6.0,59.0,86.0,209.0,0.08799999999999963,3.392,0.005860000000000032,0.1671600000000001,0.26007663534349057,0.7460687918892254,3.0837410071942446,3.362187050359712,0.5223876115107913,0.5252780935251798,0.6081137271535265,0.8722383289992784,mad,60001,159,142,2,0,88.0,-3.0,86.0,-0.03200000000000003,0.0,-0.26007663534349057,17
4.0,131.0,141.0,0.0,272.0,131.0,0.48161764705882354,1.0,83.0,412.0,21.0,42.0,54.0,272.0,2.152,3.368,0.003010000000000068,0.08433999999999997,0.2169678909978191,0.6000947608723743,1.8734656488549617,3.6139236641221375,0.5096115038167939,0.5131068473282443,0.5600877901935885,0.7749112807087429,mad,60001,273,133,2,1,83.0,21.0,44.0,-2.152,0.0,-0.2169678909978191,139
5.0,35.0,353.0,44.0,388.0,79.0,0.09020618556701031,0.4430379746835443,627.0,1136.0,25.0,60.0,147.0,425.0,5.768000000000001,9.847999999999999,0.20722999999999997,0.25317,0.266227449048704,0.7884957062481494,0.7933714285714284,6.866823529411765,0.14193428571428576,0.325736,0.6790891374427405,0.4700652258487857,mad,60001,388,79,2,0,627.0,-1.0,-83.0,-5.768000000000001,-0.20722999999999997,0.2349155269509252,325
6.0,159.0,39.0,0.0,198.0,159.0,0.803030303030303,1.0,62.0,208.0,9.0,29.0,58.0,223.0,0.04800000000000004,3.128,1.1102230246251565e-16,0.25610999999999995,0.3082386830734425,0.6618615801542631,2.564607594936709,2.9995443037974683,0.889005989937107,0.9070562911949686,0.5040712697157091,0.7961132632122365,mad,60001,198,159,2,0,62.0,9.0,57.0,-0.008000000000000007,0.0,-0.30719656283566066,37
7.0,157.0,155.0,0.0,312.0,157.0,0.5032051282051282,1.0,152.0,211.0,4.0,24.0,71.0,158.0,1.904,2.4800000000000004,0.0,0.12316999999999989,0.19715099715099726,0.6241693270413202,1.32,2.986496815286624,0.9865886732484077,0.9946890481528662,0.558731425037263,0.79059290855984,mad,60001,313,161,2,1,152.0,2.0,71.0,-1.904,0.0,-0.19715099715099726,152
8.0,168.0,273.0,0.0,441.0,168.0,0.38095238095238093,1.0,175.5,264.0,17.0,27.0,42.5,116.0,1.808,2.664,0.0048799999999999955,0.04301000000000005,0.0952743184527094,0.5486663133721957,1.1084761904761904,2.827714285714286,0.42481244047619054,0.427494880952381,0.6946918270995016,0.7302678553840687,mad,60001,441,169,2,0,175.5,17.0,42.5,-1.808,-5.551115123125783e-17,-0.01969470814872476,271
9.0,158.0,138.0,0.0,296.0,158.0,0.5337837837837838,1.0,164.0,185.0,21.0,26.0,88.5,183.0,1.6,2.184,0.002930000000000016,0.011730000000000018,0.0864503197479859,0.5361896708321588,1.6400000000000001,2.9996455696202533,0.2607434810126582,0.2615044936708861,0.655981177984529,0.7375595269035735,mad,60001,297,159,2,0,164.0,21.0,88.5,-1.6,-5.551115123125783e-17,-0.04845063523052695,137
10.0,148.0,7.0,0.0,155.0,148.0,0.9548387096774194,1.0,49.0,372.0,13.0,49.0,48.0,372.0,0.03200000000000003,3.144,0.005819999999999936,0.97475,0.1882211854391806,0.8163788592360021,3.1245714285714286,3.226666666666667,0.7879688506756757,0.8213724864864865,0.5984682721368589,0.8114067230378463,mad,60001,156,148,2,0,49.0,11.5,47.5,-0.008000000000000007,0.0,-0.18470354889927293,6
