featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
1,1,99.0,60,39.0,190.0,181,9.0,385.0,335,50.0,,,,0.98045,0.981427,-0.0009770000000000056,0.6363636363636364,0.88,-0.24363636363636365
2,2,385.0,335,50.0,478.0,462,16.0,662.0,615,47.0,2.304,2.248,0.055999999999999606,0.998045,0.98045,0.017594999999999916,0.6714801444043321,0.907142857,-0.23566271259566784
3,3,662.0,615,47.0,752.0,738,14.0,952.0,900,52.0,2.192,2.208,-0.016000000000000014,0.963832,0.998045,-0.03421299999999994,0.6206896551724138,0.863157895,-0.24246823982758614
4,4,952.0,900,52.0,1046.0,1031,15.0,1242.0,1194,48.0,2.352,2.344,0.008000000000000007,0.9902248,0.963832,0.026392799999999994,0.6482758620689655,0.891156463,-0.24288060093103447
5,5,1242.0,1194,48.0,1330.0,1321,9.0,1537.0,1488,49.0,2.272,2.32,-0.04800000000000004,0.964809,0.9902248,-0.02541579999999999,0.5966101694915253,0.863945578,-0.2673354085084747
6,6,1537.0,1488,49.0,1630.0,1643,-13.0,1976.0,1917,59.0,2.4,2.576,-0.17600000000000016,1.0,1.0,0.0,0.4236902050113895,0.722610723,-0.29892051798861047
7,7,1976.0,1917,59.0,2076.0,2052,24.0,2260.0,2205,55.0,3.568,3.272,0.29600000000000026,0.938416,1.0,-0.06158399999999997,0.704225352112676,0.9375,-0.233274647887324
8,8,2260.0,2205,55.0,2356.0,2343,13.0,2548.0,2497,51.0,2.24,2.328,-0.08799999999999963,0.936461,0.938416,-0.00195500000000004,0.6666666666666667,0.945205479,-0.2785388123333332
9,9,2548.0,2497,51.0,2641.0,2624,17.0,2829.0,2784,45.0,2.28,2.248,0.031999999999999584,0.904203,0.936461,-0.03225800000000001,0.6619217081850534,0.885017422,-0.22309571381494664
10,10,2829.0,2784,45.0,2920.0,2905,15.0,3124.0,3076,48.0,2.232,2.248,-0.016000000000000014,0.934506,0.911046,0.023459999999999925,0.6169491525423729,0.828767123,-0.21181797045762707
