subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
1,featuregraph,ann1,175,170,170,5,0,0.9714285714285714,1.0,8.0,39.0
1,featuregraph,ann2,175,170,170,5,0,0.9714285714285714,1.0,7.0,26.0
1,llm_selected_baseline,ann1,170,170,170,0,0,1.0,1.0,6.0,32.0
1,llm_selected_baseline,ann2,170,170,170,0,0,1.0,1.0,10.0,28.0
2,featuregraph,ann1,154,122,121,33,1,0.7857142857142857,0.9918032786885246,11.0,51.0
2,featuregraph,ann2,154,122,122,32,0,0.7922077922077922,1.0,15.0,47.0
2,llm_selected_baseline,ann1,124,122,122,2,0,0.9838709677419355,1.0,7.0,54.0
2,llm_selected_baseline,ann2,124,122,122,2,0,0.9838709677419355,1.0,8.0,29.0
3,featuregraph,ann1,152,141,77,75,64,0.506578947368421,0.5460992907801419,37.0,63.0
3,featuregraph,ann2,152,142,68,84,74,0.4473684210526316,0.4788732394366197,23.0,63.0
3,llm_selected_baseline,ann1,142,141,140,2,1,0.9859154929577465,0.9929078014184397,7.5,37.0
3,llm_selected_baseline,ann2,142,142,141,1,1,0.9929577464788732,0.9929577464788732,7.0,40.0
4,featuregraph,ann1,136,133,132,4,1,0.9705882352941176,0.9924812030075187,13.0,42.0
4,featuregraph,ann2,136,133,132,4,1,0.9705882352941176,0.9924812030075187,10.0,24.0
4,llm_selected_baseline,ann1,133,133,133,0,0,1.0,1.0,5.0,19.0
4,llm_selected_baseline,ann2,133,133,133,0,0,1.0,1.0,6.0,22.0
5,featuregraph,ann1,59,48,10,49,38,0.1694915254237288,0.20833333333333334,55.5,63.0
5,featuregraph,ann2,59,48,18,41,30,0.3050847457627119,0.375,57.0,63.0
5,llm_selected_baseline,ann1,79,48,45,34,3,0.569620253164557,0.9375,30.0,60.0
5,llm_selected_baseline,ann2,79,48,45,34,3,0.569620253164557,0.9375,44.0,63.0
6,featuregraph,ann1,184,161,160,24,1,0.8695652173913043,0.9937888198757764,9.0,51.0
6,featuregraph,ann2,184,160,160,24,0,0.8695652173913043,1.0,8.0,43.0
6,llm_selected_baseline,ann1,159,161,157,2,4,0.9874213836477987,0.9751552795031055,7.0,33.0
6,llm_selected_baseline,ann2,159,160,159,0,1,1.0,0.99375,4.0,48.0
7,featuregraph,ann1,192,160,160,32,0,0.8333333333333334,1.0,8.0,43.0
7,featuregraph,ann2,192,160,160,32,0,0.8333333333333334,1.0,4.0,22.0
7,llm_selected_baseline,ann1,161,160,160,1,0,0.9937888198757764,1.0,8.0,35.0
7,llm_selected_baseline,ann2,161,160,160,1,0,0.9937888198757764,1.0,3.5,19.0
8,featuregraph,ann1,170,170,170,0,0,1.0,1.0,9.0,36.0
8,featuregraph,ann2,170,170,170,0,0,1.0,1.0,7.0,40.0
8,llm_selected_baseline,ann1,169,170,169,0,1,1.0,0.9941176470588236,7.0,28.0
8,llm_selected_baseline,ann2,169,170,169,0,1,1.0,0.9941176470588236,4.0,23.0
9,featuregraph,ann1,56,160,56,0,104,1.0,0.35,14.0,55.0
9,featuregraph,ann2,56,161,56,0,105,1.0,0.34782608695652173,19.0,47.0
9,llm_selected_baseline,ann1,159,160,159,0,1,1.0,0.99375,6.0,41.0
9,llm_selected_baseline,ann2,159,161,159,0,2,1.0,0.9875776397515528,8.0,17.0
10,featuregraph,ann1,159,146,138,21,8,0.8679245283018868,0.9452054794520548,10.0,63.0
10,featuregraph,ann2,159,152,143,16,9,0.89937106918239,0.9407894736842105,8.0,63.0
10,llm_selected_baseline,ann1,148,146,146,2,0,0.9864864864864865,1.0,9.0,62.0
10,llm_selected_baseline,ann2,148,152,148,0,4,1.0,0.9736842105263158,4.0,27.0
11,featuregraph,ann1,140,116,104,36,12,0.7428571428571429,0.896551724137931,27.0,63.0
11,featuregraph,ann2,140,120,111,29,9,0.7928571428571428,0.925,13.0,62.0
11,llm_selected_baseline,ann1,119,116,115,4,1,0.9663865546218487,0.9913793103448276,9.0,55.0
11,llm_selected_baseline,ann2,119,120,119,0,1,1.0,0.9916666666666667,15.0,47.0
12,featuregraph,ann1,154,151,151,3,0,0.9805194805194806,1.0,8.0,47.0
12,featuregraph,ann2,154,152,152,2,0,0.987012987012987,1.0,8.0,24.0
12,llm_selected_baseline,ann1,151,151,150,1,1,0.9933774834437086,0.9933774834437086,8.0,49.0
12,llm_selected_baseline,ann2,151,152,151,0,1,1.0,0.993421052631579,5.0,18.0
13,featuregraph,ann1,11,160,9,2,151,0.8181818181818182,0.05625,21.0,62.0
13,featuregraph,ann2,11,165,10,1,155,0.9090909090909091,0.06060606060606061,8.0,21.0
13,llm_selected_baseline,ann1,106,160,105,1,55,0.9905660377358491,0.65625,20.0,58.0
13,llm_selected_baseline,ann2,106,165,86,20,79,0.8113207547169812,0.5212121212121212,8.0,50.0
14,featuregraph,ann1,286,108,62,224,46,0.21678321678321677,0.5740740740740741,20.0,57.0
14,featuregraph,ann2,286,110,63,223,47,0.2202797202797203,0.5727272727272728,9.0,63.0
14,llm_selected_baseline,ann1,144,108,99,45,9,0.6875,0.9166666666666666,22.0,63.0
14,llm_selected_baseline,ann2,144,110,106,38,4,0.7361111111111112,0.9636363636363636,22.5,63.0
15,featuregraph,ann1,167,110,72,95,38,0.4311377245508982,0.6545454545454545,32.0,62.0
15,featuregraph,ann2,167,124,84,83,40,0.5029940119760479,0.6774193548387096,18.5,63.0
15,llm_selected_baseline,ann1,121,110,97,24,13,0.8016528925619835,0.8818181818181818,17.0,57.0
15,llm_selected_baseline,ann2,121,124,116,5,8,0.9586776859504132,0.9354838709677419,13.5,61.0
16,featuregraph,ann1,209,156,156,53,0,0.7464114832535885,1.0,11.0,45.0
16,featuregraph,ann2,209,155,155,54,0,0.7416267942583732,1.0,11.0,37.0
16,llm_selected_baseline,ann1,157,156,156,1,0,0.9936305732484076,1.0,7.0,30.0
16,llm_selected_baseline,ann2,157,155,154,3,1,0.9808917197452229,0.9935483870967742,5.0,22.0
17,featuregraph,ann1,139,137,118,21,19,0.8489208633093526,0.8613138686131386,35.0,62.0
17,featuregraph,ann2,139,138,137,2,1,0.9856115107913669,0.9927536231884058,27.0,55.0
17,llm_selected_baseline,ann1,138,137,135,3,2,0.9782608695652174,0.9854014598540146,13.0,63.0
17,llm_selected_baseline,ann2,138,138,137,1,1,0.9927536231884058,0.9927536231884058,7.0,31.0
18,featuregraph,ann1,145,144,144,1,0,0.993103448275862,1.0,10.0,43.0
18,featuregraph,ann2,145,144,144,1,0,0.993103448275862,1.0,6.0,37.0
18,llm_selected_baseline,ann1,144,144,144,0,0,1.0,1.0,9.5,46.0
18,llm_selected_baseline,ann2,144,144,144,0,0,1.0,1.0,9.0,18.0
19,featuregraph,ann1,17,118,11,6,107,0.6470588235294118,0.09322033898305085,11.0,54.0
19,featuregraph,ann2,17,128,12,5,116,0.7058823529411765,0.09375,6.0,40.0
19,llm_selected_baseline,ann1,122,118,111,11,7,0.9098360655737705,0.940677966101695,9.0,59.0
19,llm_selected_baseline,ann2,122,128,120,2,8,0.9836065573770492,0.9375,10.0,34.0
20,featuregraph,ann1,185,122,112,73,10,0.6054054054054054,0.9180327868852459,27.5,60.0
20,featuregraph,ann2,185,120,114,71,6,0.6162162162162163,0.95,17.0,63.0
20,llm_selected_baseline,ann1,128,122,118,10,4,0.921875,0.9672131147540983,14.0,59.0
20,llm_selected_baseline,ann2,128,120,119,9,1,0.9296875,0.9916666666666667,9.0,60.0
21,featuregraph,ann1,289,143,142,147,1,0.4913494809688581,0.993006993006993,10.0,55.0
21,featuregraph,ann2,289,144,143,146,1,0.49480968858131485,0.9930555555555556,10.0,58.0
21,llm_selected_baseline,ann1,150,143,139,11,4,0.9266666666666666,0.972027972027972,6.0,40.0
21,llm_selected_baseline,ann2,150,144,142,8,2,0.9466666666666667,0.9861111111111112,7.0,52.0
22,featuregraph,ann1,174,150,150,24,0,0.8620689655172413,1.0,10.0,50.0
22,featuregraph,ann2,174,150,150,24,0,0.8620689655172413,1.0,7.0,26.0
22,llm_selected_baseline,ann1,151,150,150,1,0,0.9933774834437086,1.0,6.0,40.0
22,llm_selected_baseline,ann2,151,150,150,1,0,0.9933774834437086,1.0,4.0,25.0
23,featuregraph,ann1,244,143,142,102,1,0.5819672131147541,0.993006993006993,13.0,55.0
