subject,method,annotator,kind,peak_index
1,featuregraph,ann1,detector_only,7443
1,featuregraph,ann1,detector_only,7748
1,featuregraph,ann1,detector_only,8296
1,featuregraph,ann1,detector_only,8531
1,featuregraph,ann1,detector_only,14354
1,featuregraph,ann2,detector_only,7404
1,featuregraph,ann2,detector_only,7748
1,featuregraph,ann2,detector_only,8296
1,featuregraph,ann2,detector_only,8493
1,featuregraph,ann2,detector_only,14354
2,featuregraph,ann1,detector_only,7235
2,featuregraph,ann1,detector_only,7355
2,featuregraph,ann1,detector_only,9053
2,featuregraph,ann1,detector_only,9443
2,featuregraph,ann1,detector_only,14177
2,featuregraph,ann1,detector_only,15060
2,featuregraph,ann1,detector_only,15564
2,featuregraph,ann1,detector_only,16133
2,featuregraph,ann1,detector_only,18683
2,featuregraph,ann1,detector_only,20362
2,featuregraph,ann1,detector_only,20996
2,featuregraph,ann1,detector_only,21642
2,featuregraph,ann1,detector_only,27030
2,featuregraph,ann1,detector_only,27125
2,featuregraph,ann1,detector_only,27947
2,featuregraph,ann1,detector_only,28495
2,featuregraph,ann1,detector_only,28960
2,featuregraph,ann1,detector_only,33190
2,featuregraph,ann1,detector_only,36576
2,featuregraph,ann1,detector_only,37195
2,featuregraph,ann1,detector_only,41280
2,featuregraph,ann1,detector_only,42753
2,featuregraph,ann1,detector_only,45615
2,featuregraph,ann1,detector_only,45770
2,featuregraph,ann1,detector_only,48319
2,featuregraph,ann1,detector_only,51512
2,featuregraph,ann1,detector_only,52009
2,featuregraph,ann1,detector_only,52611
2,featuregraph,ann1,detector_only,55397
2,featuregraph,ann1,detector_only,55714
2,featuregraph,ann1,detector_only,55867
2,featuregraph,ann1,detector_only,58464
2,featuregraph,ann1,detector_only,58959
2,featuregraph,ann1,reference_only,48402
2,featuregraph,ann2,detector_only,7235
2,featuregraph,ann2,detector_only,7355
2,featuregraph,ann2,detector_only,9053
2,featuregraph,ann2,detector_only,9443
2,featuregraph,ann2,detector_only,14177
2,featuregraph,ann2,detector_only,15060
2,featuregraph,ann2,detector_only,15564
2,featuregraph,ann2,detector_only,16133
2,featuregraph,ann2,detector_only,18645
2,featuregraph,ann2,detector_only,20362
2,featuregraph,ann2,detector_only,20996
2,featuregraph,ann2,detector_only,21642
2,featuregraph,ann2,detector_only,27030
2,featuregraph,ann2,detector_only,27125
2,featuregraph,ann2,detector_only,27947
2,featuregraph,ann2,detector_only,28495
2,featuregraph,ann2,detector_only,28960
2,featuregraph,ann2,detector_only,33190
2,featuregraph,ann2,detector_only,36576
2,featuregraph,ann2,detector_only,37195
2,featuregraph,ann2,detector_only,41280
2,featuregraph,ann2,detector_only,42753
2,featuregraph,ann2,detector_only,45615
2,featuregraph,ann2,detector_only,45770
2,featuregraph,ann2,detector_only,51512
2,featuregraph,ann2,detector_only,52009
2,featuregraph,ann2,detector_only,52611
2,featuregraph,ann2,detector_only,55397
2,featuregraph,ann2,detector_only,55714
2,featuregraph,ann2,detector_only,55867
2,featuregraph,ann2,detector_only,58464
2,featuregraph,ann2,detector_only,58959
2,llm_selected_baseline,ann1,detector_only,20367
2,llm_selected_baseline,ann1,detector_only,45785
2,llm_selected_baseline,ann2,detector_only,20367
2,llm_selected_baseline,ann2,detector_only,45785
3,featuregraph,ann1,detector_only,1123
3,featuregraph,ann1,detector_only,4109
3,featuregraph,ann1,detector_only,4605
3,featuregraph,ann1,detector_only,5010
3,featuregraph,ann1,detector_only,5391
3,featuregraph,ann1,detector_only,5786
3,featuregraph,ann1,detector_only,7077
3,featuregraph,ann1,detector_only,7951
3,featuregraph,ann1,detector_only,8351
3,featuregraph,ann1,detector_only,8737
3,featuregraph,ann1,detector_only,9199
3,featuregraph,ann1,detector_only,9639
3,featuregraph,ann1,detector_only,10058
3,featuregraph,ann1,detector_only,10895
3,featuregraph,ann1,detector_only,11336
3,featuregraph,ann1,detector_only,11762
3,featuregraph,ann1,detector_only,12155
3,featuregraph,ann1,detector_only,13025
3,featuregraph,ann1,detector_only,15056
3,featuregraph,ann1,detector_only,15454
3,featuregraph,ann1,detector_only,16731
3,featuregraph,ann1,detector_only,17501
3,featuregraph,ann1,detector_only,17910
3,featuregraph,ann1,detector_only,18294
3,featuregraph,ann1,detector_only,18689
3,featuregraph,ann1,detector_only,21475
3,featuregraph,ann1,detector_only,22344
3,featuregraph,ann1,detector_only,23612
3,featuregraph,ann1,detector_only,24017
3,featuregraph,ann1,detector_only,24493
3,featuregraph,ann1,detector_only,24898
3,featuregraph,ann1,detector_only,25289
3,featuregraph,ann1,detector_only,25362
3,featuregraph,ann1,detector_only,26167
3,featuregraph,ann1,detector_only,26556
3,featuregraph,ann1,detector_only,27032
3,featuregraph,ann1,detector_only,27438
3,featuregraph,ann1,detector_only,27834
3,featuregraph,ann1,detector_only,28234
3,featuregraph,ann1,detector_only,28633
3,featuregraph,ann1,detector_only,29525
3,featuregraph,ann1,detector_only,29924
3,featuregraph,ann1,detector_only,30318
3,featuregraph,ann1,detector_only,31113
3,featuregraph,ann1,detector_only,31605
3,featuregraph,ann1,detector_only,32005
3,featuregraph,ann1,detector_only,32499
3,featuregraph,ann1,detector_only,32902
3,featuregraph,ann1,detector_only,33306
3,featuregraph,ann1,detector_only,33701
3,featuregraph,ann1,detector_only,34187
3,featuregraph,ann1,detector_only,34991
3,featuregraph,ann1,detector_only,35393
3,featuregraph,ann1,detector_only,35782
3,featuregraph,ann1,detector_only,36180
3,featuregraph,ann1,detector_only,37071
3,featuregraph,ann1,detector_only,37550
3,featuregraph,ann1,detector_only,38022
3,featuregraph,ann1,detector_only,38434
3,featuregraph,ann1,detector_only,38833
3,featuregraph,ann1,detector_only,39128
3,featuregraph,ann1,detector_only,40495
3,featuregraph,ann1,detector_only,40914
3,featuregraph,ann1,detector_only,41297
3,featuregraph,ann1,detector_only,41769
3,featuregraph,ann1,detector_only,42560
3,featuregraph,ann1,detector_only,42942
3,featuregraph,ann1,detector_only,43821
3,featuregraph,ann1,detector_only,44223
3,featuregraph,ann1,detector_only,47256
3,featuregraph,ann1,detector_only,47652
3,featuregraph,ann1,detector_only,50008
3,featuregraph,ann1,detector_only,53131
3,featuregraph,ann1,detector_only,53152
3,featuregraph,ann1,detector_only,54515
3,featuregraph,ann1,reference_only,1198
3,featuregraph,ann1,reference_only,4670
3,featuregraph,ann1,reference_only,5074
3,featuregraph,ann1,reference_only,7152
3,featuregraph,ann1,reference_only,8041
3,featuregraph,ann1,reference_only,8415
3,featuregraph,ann1,reference_only,9285
3,featuregraph,ann1,reference_only,10124
3,featuregraph,ann1,reference_only,10976
3,featuregraph,ann1,reference_only,11400
3,featuregraph,ann1,reference_only,11857
3,featuregraph,ann1,reference_only,12274
3,featuregraph,ann1,reference_only,13491
3,featuregraph,ann1,reference_only,15163
3,featuregraph,ann1,reference_only,15554
3,featuregraph,ann1,reference_only,16824
3,featuregraph,ann1,reference_only,17985
3,featuregraph,ann1,reference_only,18385
3,featuregraph,ann1,reference_only,21539
3,featuregraph,ann1,reference_only,22413
3,featuregraph,ann1,reference_only,23685
3,featuregraph,ann1,reference_only,24098
3,featuregraph,ann1,reference_only,24559
3,featuregraph,ann1,reference_only,24980
3,featuregraph,ann1,reference_only,25437
3,featuregraph,ann1,reference_only,26246
3,featuregraph,ann1,reference_only,27113
3,featuregraph,ann1,reference_only,27509
3,featuregraph,ann1,reference_only,28339
3,featuregraph,ann1,reference_only,28700
3,featuregraph,ann1,reference_only,29604
3,featuregraph,ann1,reference_only,30002
3,featuregraph,ann1,reference_only,31685
3,featuregraph,ann1,reference_only,32076
3,featuregraph,ann1,reference_only,32580
3,featuregraph,ann1,reference_only,32998
3,featuregraph,ann1,reference_only,33420
3,featuregraph,ann1,reference_only,34265
3,featuregraph,ann1,reference_only,35074
3,featuregraph,ann1,reference_only,35457
