subject,llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
3,2,903,1193,1354,True,3.592,0.45553,0.7139689578713969
3,16,6937,7155,7338,True,3.232,0.4936499999999999,0.912718204488778
3,18,7814,8021,8179,True,3.192,0.4565,0.8657534246575342
3,19,8179,8422,8590,True,3.208,0.4565,0.8175182481751825
3,21,9031,9275,9456,True,3.472,0.46237,0.851764705882353
3,25,10781,10973,11183,True,3.288,0.45259000000000005,0.9552238805970149
3,27,11569,11850,12052,True,3.616,0.4711599999999999,0.8364389233954451
3,28,12052,12261,12443,True,3.288,0.45357,0.9309462915601023
3,30,13346,13472,13710,True,2.36,0.6568900000000001,0.6923076923076923
3,33,14529,14739,14941,True,3.248,0.42522,0.9805825242718447
3,34,14941,15153,15351,True,3.312,0.41936000000000007,0.9658536585365853
3,35,15351,15553,15714,True,3.2,0.47312,0.8870523415977961
3,38,16572,16808,16982,True,3.184,0.4662700000000001,0.848780487804878
3,41,17777,17976,18170,True,3.056,0.48680999999999996,0.9872773536895675
3,42,18170,18370,18566,True,3.152,0.48192,0.98989898989899
3,43,18566,18757,18924,True,3.096,0.47703000000000007,0.9329608938547486
3,52,22157,22412,22608,True,3.552,0.5865100000000001,0.8691796008869179
3,58,24723,24976,25171,True,3.392,0.50831,0.8705357142857143
3,61,26013,26252,26448,True,3.344,0.48778,0.9011494252873563
3,64,27284,27509,27706,True,3.36,0.49853,0.933649289099526
3,66,28113,28310,28507,True,3.096,0.48778,1.0
3,67,28507,28717,28898,True,3.256,0.52199,0.9258312020460358
3,69,29312,29589,29792,True,3.632,0.5610999999999999,0.8458333333333333
3,70,29792,30010,30190,True,3.368,0.5073300000000001,0.9045226130653267
3,74,31423,31675,31864,True,3.48,0.49854,0.8571428571428572
3,75,31864,32094,32283,True,3.352,0.46138999999999997,0.9021479713603818
3,76,32283,32566,32744,True,3.776,0.49071000000000004,0.7722342733188721
3,77,32744,32988,33182,True,3.376,0.46725000000000005,0.8858447488584476
3,78,33182,33383,33579,True,3.16,0.51515,0.9874055415617129
3,80,34005,34259,34436,True,3.552,0.51026,0.8213457076566125
3,82,34844,35072,35264,True,3.36,0.49560000000000004,0.9142857142857143
3,83,35264,35471,35660,True,3.192,0.49658,0.9545454545454546
3,84,35660,35861,36059,True,3.12,0.49168999999999996,0.9924812030075187
3,85,36059,36294,36483,True,3.464,0.53568,0.8915094339622641
3,86,36483,36737,36925,True,3.544,0.52883,0.8506787330316742
3,87,36925,37161,37348,True,3.392,0.51222,0.884160756501182
3,88,37348,37622,37803,True,3.688,0.48387,0.7956043956043957
3,90,38269,38514,38691,True,3.448,0.45063,0.8388625592417062
3,91,38691,38908,39059,True,3.152,0.44575,0.8206521739130435
3,92,39059,39270,39453,True,2.896,0.50049,0.9289340101522843
3,95,40330,40572,40762,True,3.52,0.45747000000000004,0.8796296296296297
3,96,40762,40978,41160,True,3.248,0.50636,0.914572864321608
3,97,41160,41382,41573,True,3.232,0.50342,0.9249394673123487
3,98,41573,41835,42039,True,3.624,0.48777999999999994,0.8755364806866953
3,99,42039,42236,42425,True,3.208,0.48387,0.9792746113989638
3,100,42425,42625,42825,True,3.112,0.48092999999999997,1.0
3,103,43642,43892,44068,True,3.424,0.48387,0.8262910798122065
3,104,44068,44295,44580,True,3.224,0.51906,0.88671875
3,111,47090,47335,47509,True,3.368,0.45063,0.8305489260143198
3,112,47509,47731,47904,True,3.168,0.43206000000000006,0.8759493670886076
3,113,47904,48117,48304,True,3.088,0.46236,0.935
3,115,48680,48911,49092,True,3.208,0.49071,0.8786407766990292
3,131,55696,55875,56060,True,3.312,0.39296,0.9835164835164835
3,134,56849,57139,57298,True,3.592,0.36559,0.7082405345211582
3,135,57298,57609,57766,True,3.76,0.36266,0.670940170940171
3,136,57766,58046,58335,True,3.496,0.33236000000000004,0.984182776801406
3,137,58335,58520,58688,True,3.792,0.42619999999999997,0.9518413597733711
3,138,58688,58955,59115,True,3.48,0.33431,0.7494145199063231
3,139,59115,59420,59585,True,3.72,0.3303999999999999,0.7021276595744681
4,60,26526,26866,27167,True,3.768,0.307226,0.9391575663026521
5,1,206,827,1070,True,,0.261,0.5625
5,2,1070,1322,1477,True,3.96,1.0,0.7616707616707616
5,3,1477,2092,2367,True,6.16,0.27077,0.6179775280898876
5,4,2367,2614,2770,True,4.176,1.0,0.7741935483870968
5,5,2770,3315,3617,True,5.608,0.24829,0.7131050767414404
5,6,3617,3844,4003,True,4.232,1.0,0.8238341968911918
5,7,4003,4757,4846,True,7.304,0.26295,0.2111506524317912
5,8,4846,5095,5251,True,2.704,1.0,0.7703703703703704
5,9,5251,6129,6297,True,8.272,1.0,0.3212237093690249
5,10,6297,7674,7837,True,12.36,1.0,0.2116883116883117
5,11,7837,8361,8672,True,5.496,0.26197,0.7449101796407185
5,12,8672,8930,9087,True,4.552,1.0,0.7566265060240964
5,13,9087,9715,9952,True,6.28,0.25904,0.5479768786127168
5,14,9952,10221,10380,True,4.048,1.0,0.7429906542056075
5,15,10380,10914,11099,True,5.544,0.24927,0.5146036161335188
5,16,11099,11343,11499,True,3.432,1.0,0.78
5,17,11499,12290,12462,True,7.576,1.0,0.35721703011422634
5,18,12462,13598,13755,True,10.464,1.0,0.242846094354215
5,19,13755,14455,14722,True,6.856,0.25513,0.5522233712512927
5,20,14722,14972,15126,True,4.136,1.0,0.7623762376237624
5,21,15126,16112,16267,True,9.12,1.0,0.2716914986853637
5,22,16267,17198,17292,True,8.688,0.24829,0.18341463414634152
5,23,17292,17533,17694,True,2.68,1.0,0.8009950248756219
5,24,17694,18350,18454,True,6.536,0.31867,0.27368421052631575
5,25,18454,18696,18853,True,2.768,1.0,0.786967418546366
5,26,18853,20527,20686,True,14.648,1.0,0.17348608837970536
5,27,20686,21231,21593,True,5.632,0.26588,0.7982359426681367
5,28,21593,21796,21974,True,4.52,1.0,0.9343832020997376
5,29,21974,22439,22662,True,5.144,0.24829,0.6482558139534884
5,30,22662,22906,23065,True,3.736,1.0,0.7890818858560794
5,31,23065,23801,23963,True,7.16,1.0,0.3608017817371938
5,32,23963,24853,25012,True,8.416,1.0,0.3031458531935176
5,33,25012,25623,25839,True,6.16,0.25611,0.5223700120918984
5,34,25839,26082,26240,True,3.672,1.0,0.7880299251870324
5,35,26240,27002,27241,True,7.36,0.27175,0.47752247752247756
5,36,27241,27492,27648,True,3.92,1.0,0.7665847665847666
5,37,27648,28649,28738,True,9.256,0.26393,0.16330275229357794
5,38,28738,28956,29122,True,2.456,1.0,0.8645833333333334
5,39,29122,29660,29882,True,5.632,0.24927,0.5842105263157895
5,40,29882,30097,30268,True,3.496,1.0,0.8860103626943006
5,41,30268,31103,31215,True,8.048,0.26295,0.23653643083421327
5,42,31215,31457,31616,True,2.832,1.0,0.7930174563591023
5,43,31616,32475,32644,True,8.144,1.0,0.3287937743190662
5,44,32644,33463,33626,True,7.904,1.0,0.33197556008146645
5,45,33626,34152,34350,True,5.512,0.24633,0.5469613259668509
5,46,34350,34579,34739,True,3.416,1.0,0.8226221079691517
5,47,34739,35297,35534,True,5.744,0.25415,0.5962264150943396
5,48,35534,35745,35913,True,3.584,1.0,0.8865435356200527
5,49,35913,37216,37373,True,11.768,1.0,0.21506849315068488
5,50,37373,38502,38582,True,10.288,0.25709,0.13234077750206785
5,51,38801,38873,39030,True,2.968,1.0,0.62882096069869
5,52,39030,40170,40258,True,10.376,0.28641,0.14332247557003253
5,53,40258,40489,40649,True,2.552,1.0,0.8184143222506394
5,54,40649,41178,41402,True,5.512,0.24927,0.5949535192563081
5,55,41402,41643,41803,True,3.72,1.0,0.7980049875311721
5,56,41803,42528,42683,True,7.08,0.28641,0.3522727272727273
5,57,42683,42952,43110,True,3.392,1.0,0.7400468384074941
5,58,43110,43784,43983,True,6.656,0.26588,0.45589919816723945
5,59,43983,44208,44368,True,3.392,1.0,0.8311688311688312
5,60,44368,44859,45072,True,5.208,0.25904,0.6051136363636364
5,61,45072,45342,45498,True,3.864,1.0,0.7323943661971831
5,62,45498,46675,46761,True,10.664,0.24829,0.1361836896278702
5,63,46761,47019,47176,True,2.752,1.0,0.7566265060240964
5,64,47176,47875,47967,True,6.848,0.2522,0.23261694058154236
5,65,47967,48211,48367,True,2.688,1.0,0.78
5,66,48367,49253,49325,True,8.336,0.29814,0.1503131524008351
5,67,49325,49597,49752,True,2.752,1.0,0.7259953161592505
5,69,50763,51297,51508,True,5.624,0.24829,0.5664429530201343
5,70,51508,51750,51910,True,3.624,1.0,0.7960199004975125
5,71,51910,52428,52850,True,5.424,0.25611,0.8978723404255319
5,72,52850,53118,53274,True,5.52,1.0,0.7358490566037736
5,73,53274,53811,54320,True,5.544,0.25024,0.9732313575525813
5,74,54320,54560,54717,True,5.992,1.0,0.7909319899244333
5,75,54717,55217,55484,True,5.256,0.28935,0.6962190352020861
5,76,55484,55758,55913,True,4.328,1.0,0.7226107226107226
5,77,55913,56915,57071,True,9.256,1.0,0.26943005181347146
5,78,57071,57965,58127,True,8.4,1.0,0.30681818181818177
5,79,58127,59009,59168,True,8.352,1.0,0.3054755043227666
9,1,446,689,819,True,3.008,0.2913,0.6970509383378016
9,2,819,1064,1197,True,3.0,0.26393,0.7037037037037037
9,3,1197,1439,1571,True,3.0,0.26686,0.7058823529411764
9,4,1571,1814,1948,True,3.0,0.25220000000000004,0.7108753315649867
9,8,3067,3313,3443,True,3.008,0.28054,0.6914893617021276
9,9,3443,3688,3818,True,3.0,0.26393,0.6933333333333334
9,10,3818,4064,4198,True,3.008,0.25122,0.7052631578947368
9,11,4198,4438,4568,True,2.992,0.23753999999999997,0.7027027027027026
9,13,5057,5186,5316,True,2.976,0.24927,0.9961389961389961
9,14,5316,5561,5692,True,3.0,0.27175,0.6968085106382979
9,15,5692,5938,6066,True,3.016,0.27957,0.6844919786096257
9,16,6066,6314,6444,True,3.008,0.26783999999999997,0.6878306878306879
9,17,6444,6688,6818,True,2.992,0.24927,0.6951871657754011
9,18,6818,7063,7195,True,3.0,0.23949,0.7002652519893899
9,19,7195,7439,7571,True,3.008,0.26295,0.7021276595744681
9,23,8691,8937,9066,True,3.0,0.28542999999999996,0.688
9,24,9066,9313,9443,True,3.008,0.27957,0.6896551724137931
9,25,9443,9689,9820,True,3.008,0.25709000000000004,0.6949602122015914
9,26,9820,10063,10193,True,2.992,0.25610999999999995,0.6970509383378016
9,30,11320,11563,11695,True,3.008,0.28542999999999996,0.704
9,31,11695,11938,12070,True,3.0,0.28739000000000003,0.704
9,32,12070,12313,12445,True,3.0,0.25807,0.704
9,33,12445,12688,12818,True,3.0,0.24927,0.6970509383378016
9,37,13944,14188,14319,True,3.0,0.27957,0.6986666666666667
9,38,14319,14563,14695,True,3.0,0.27273000000000003,0.7021276595744681
9,39,14695,14937,15069,True,2.992,0.25805999999999996,0.7058823529411764
9,43,16189,16439,16571,True,3.024,0.27859999999999996,0.6910994764397906
9,44,16571,16812,16943,True,2.984,0.25709000000000004,0.7043010752688172
9,45,16943,17189,17319,True,3.016,0.26686,0.6914893617021276
9,46,17319,17563,17696,True,2.992,0.25610999999999995,0.7055702917771883
9,49,18441,18687,18817,True,3.008,0.25708000000000003,0.6914893617021276
9,50,18817,19063,19193,True,3.008,0.2825,0.6914893617021276
9,51,19193,19437,19569,True,2.992,0.25610999999999995,0.7021276595744681
9,52,19569,19813,20056,True,3.008,0.25025,0.997946611909651
9,53,20056,20187,20319,True,2.992,0.25024,0.9961977186311787
9,54,20319,20561,20693,True,2.992,0.24145,0.7058823529411764
9,55,20693,20936,21067,True,3.0,0.25904,0.7005347593582888
9,56,21067,21311,21442,True,3.0,0.27369999999999994,0.6986666666666667
9,57,21442,21687,21818,True,3.008,0.26784,0.6968085106382979
9,58,21818,22062,22196,True,3.0,0.25611,0.7089947089947091
9,62,23314,23561,23693,True,2.992,0.28347999999999995,0.6965699208443272
9,63,23693,23936,24067,True,3.0,0.25904000000000005,0.7005347593582888
9,64,24067,24312,24445,True,3.008,0.25513,0.7037037037037037
9,67,25189,25436,25566,True,3.016,0.28935000000000005,0.6896551724137931
9,68,25566,25812,25941,True,3.008,0.27371,0.688
9,69,25941,26186,26318,True,2.992,0.25416,0.7002652519893899
9,72,27177,27310,27442,True,2.984,0.2825,0.9962264150943396
9,73,27442,27688,27821,True,3.024,0.27663,0.7018469656992085
9,74,27821,28061,28193,True,2.984,0.26295,0.7096774193548387
9,77,28943,29186,29316,True,3.0,0.2825,0.6970509383378016
9,78,29316,29561,29689,True,3.0,0.25513,0.6863270777479893
9,79,29689,29934,30063,True,2.984,0.24927000000000002,0.6898395721925134
9,80,30063,30310,30440,True,3.008,0.24438,0.6896551724137931
9,81,30440,30686,30816,True,3.008,0.25123,0.6914893617021276
9,82,30816,31061,31192,True,3.0,0.28446,0.6968085106382979
9,84,31567,31811,31944,True,3.032,0.27077999999999997,0.7055702917771883
9,85,31944,32186,32317,True,3.0,0.21896000000000002,0.7024128686327078
9,86,32317,32562,32700,True,3.008,0.25318,0.720626631853786
9,87,32700,32935,33065,True,2.984,0.24633,0.7123287671232876
9,89,33444,33688,33824,True,3.024,0.25024,0.7157894736842105
9,90,33824,34059,34301,True,2.968,0.23168,0.9853249475890985
9,91,34301,34433,34562,True,2.992,0.26588,0.9885057471264368
9,94,35314,35559,35690,True,3.0,0.25905,0.6968085106382979
9,95,35690,35936,36066,True,3.016,0.24438,0.6914893617021276
9,98,36816,37060,37190,True,3.008,0.27175,0.6951871657754011
9,99,37190,37435,37565,True,3.0,0.26979,0.6933333333333334
9,100,37565,37810,37943,True,3.0,0.24145,0.7037037037037037
9,101,37943,38185,38318,True,3.0,0.2522,0.7093333333333334
9,102,38318,38559,38689,True,2.992,0.24536000000000002,0.7008086253369272
9,103,38689,38934,39063,True,3.0,0.26198,0.6898395721925134
9,104,39063,39311,39443,True,3.016,0.30400999999999995,0.6947368421052631
9,105,39443,39686,39821,True,3.0,0.24731999999999998,0.7142857142857143
9,106,39821,40059,40192,True,2.984,0.24926000000000004,0.7169811320754718
9,110,41313,41560,41692,True,3.0,0.27664,0.6965699208443272
9,111,41692,41933,42062,True,2.984,0.25220000000000004,0.6972972972972973
9,113,42443,42683,42813,True,2.984,0.24145,0.7027027027027026
9,116,43565,43810,43938,True,3.016,0.26686,0.6863270777479893
9,117,43938,44185,44317,True,3.0,0.27664,0.6965699208443272
9,118,44317,44562,44692,True,3.016,0.24829,0.6933333333333334
