subject,featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
1,1,1,99.0,60,39.0,190.0,181,9.0,385.0,335,50.0,,,,0.98045,0.981427,-0.000977,0.6363636363636364,0.88,-0.2436363636363636
1,2,2,385.0,335,50.0,478.0,462,16.0,662.0,615,47.0,2.304,2.248,0.0559999999999996,0.998045,0.98045,0.0175949999999999,0.6714801444043321,0.9071428571428573,-0.235662712738525
1,3,3,662.0,615,47.0,752.0,738,14.0,952.0,900,52.0,2.192,2.208,-0.016,0.963832,0.998045,-0.0342129999999999,0.6206896551724138,0.8631578947368421,-0.2424682395644283
1,4,4,952.0,900,52.0,1046.0,1031,15.0,1242.0,1194,48.0,2.352,2.344,0.008,0.9902248,0.963832,0.0263927999999999,0.6482758620689655,0.891156462585034,-0.2428806005160685
1,5,5,1242.0,1194,48.0,1330.0,1321,9.0,1537.0,1488,49.0,2.272,2.32,-0.048,0.964809,0.9902248,-0.0254157999999999,0.5966101694915253,0.8639455782312925,-0.2673354087397671
1,6,6,1537.0,1488,49.0,1630.0,1643,-13.0,1976.0,1917,59.0,2.4,2.576,-0.1760000000000001,1.0,1.0,0.0,0.4236902050113895,0.7226107226107226,-0.298920517599333
1,7,7,1976.0,1917,59.0,2076.0,2052,24.0,2260.0,2205,55.0,3.568,3.272,0.2960000000000002,0.938416,1.0,-0.0615839999999999,0.704225352112676,0.9375,-0.233274647887324
1,8,8,2260.0,2205,55.0,2356.0,2343,13.0,2548.0,2497,51.0,2.24,2.328,-0.0879999999999996,0.936461,0.938416,-0.001955,0.6666666666666667,0.9452054794520548,-0.278538812785388
1,9,9,2548.0,2497,51.0,2641.0,2624,17.0,2829.0,2784,45.0,2.28,2.248,0.0319999999999995,0.904203,0.936461,-0.032258,0.6619217081850534,0.8850174216027875,-0.2230957134177341
1,10,10,2829.0,2784,45.0,2920.0,2905,15.0,3124.0,3076,48.0,2.232,2.248,-0.016,0.934506,0.911046,0.02346,0.6169491525423729,0.8287671232876712,-0.2118179707452983
1,11,11,3124.0,3076,48.0,3228.0,3209,19.0,3431.0,3384,47.0,2.464,2.432,0.032,0.926686,0.934506,-0.00782,0.6775244299674268,0.8636363636363636,-0.1861119336689368
1,12,12,3431.0,3384,47.0,3532.0,3511,21.0,3754.0,3708,46.0,2.432,2.416,0.016,0.907136,0.926686,-0.01955,0.6253869969040248,0.7839506172839507,-0.1585636203799258
1,13,13,3754.0,3708,46.0,3861.0,3840,21.0,4090.0,4044,46.0,2.632,2.632,0.0,0.88954,0.907136,-0.0175959999999999,0.6369047619047619,0.7857142857142857,-0.1488095238095238
1,14,14,4090.0,4044,46.0,4195.0,4178,17.0,4423.0,4377,46.0,2.672,2.704,-0.032,0.89932,0.89345,0.00587,0.6306306306306306,0.8048048048048049,-0.1741741741741742
1,15,15,4423.0,4377,46.0,4526.0,4510,16.0,4791.0,4730,61.0,2.648,2.656,-0.008,0.81525,0.82894,-0.0136899999999999,0.5597826086956521,0.7535410764872521,-0.1937584677916
1,16,16,4791.0,4730,61.0,4898.0,4870,28.0,5137.0,5088,49.0,2.976,2.88,0.096,0.84555,0.8308800000000001,0.0146699999999999,0.6184971098265897,0.782122905027933,-0.1636257952013433
1,17,17,5137.0,5088,49.0,5244.0,5222,22.0,5476.0,5426,50.0,2.768,2.816,-0.048,0.8357800000000001,0.8357800000000001,0.0,0.6312684365781711,0.7928994082840237,-0.1616309717058526
1,18,18,5476.0,5426,50.0,5571.0,5561,10.0,5849.0,5781,68.0,2.616,2.712,-0.096,0.70674,0.70674,0.0,0.5093833780160858,0.7605633802816901,-0.2511800022656043
1,19,19,5849.0,5781,68.0,5927.0,5920,7.0,6201.0,6148,53.0,2.848,2.872,-0.024,0.65396,0.64027,0.0136899999999999,0.4431818181818182,0.7574931880108992,-0.3143113698290809
