subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
1.0,169.0,5.0,0.0,174.0,169.0,0.9712643678160919,1.0,53.0,191.0,10.0,29.0,53.0,191.0,0.040000000000000036,1.3359999999999999,0.004886999999999975,0.42815000000000003,0.24967964429766853,0.5557813542980049,2.8018571428571426,2.821285714285714,0.8961346437869823,0.9027111467455623,0.5960787684944024,0.8437828070786153,60001.0,175.0,170.0,2.0,1.0,53.0,9.0,53.0,-0.008000000000000007,0.0,-0.24967964429766853,2.0
2.0,121.0,33.0,0.0,154.0,121.0,0.7857142857142857,1.0,177.0,290.0,12.0,35.0,166.0,247.0,0.1200000000000001,3.5279999999999996,0.014759999999999884,0.39483099999999993,0.14720730728877374,0.5581460674157303,3.3426115702479335,3.8737190082644624,1.1103397024793389,1.136485550413223,0.5483338925571912,0.7172748489688154,60001.0,154.0,124.0,2.0,0.0,177.0,-9.0,164.0,-0.05600000000000005,0.0,-0.14572466038744403,29.0
3.0,80.0,71.0,59.0,151.0,139.0,0.5298013245033113,0.5755395683453237,135.5,226.0,38.5,63.0,122.0,1579.0,0.248,3.464,0.004884999999999973,0.17107000000000006,0.5408647476122779,0.9134681711302106,2.9089,3.379,0.559224975,0.5634774374999999,0.3100593025414419,0.8645772372770584,60001.0,152.0,142.0,2.0,0.0,135.5,-38.5,122.0,-0.07999999999999985,0.0,-0.5408647476122779,63.0
4.0,130.0,5.0,1.0,135.0,131.0,0.9629629629629629,0.9923664122137404,126.5,432.0,16.0,30.0,126.5,729.0,0.03200000000000003,3.9680000000000004,0.006019999999999914,0.06024000000000007,0.5353364196567918,0.8616899800171283,3.5405538461538466,3.6127384615384615,0.5138791846153846,0.5146905461538462,0.25445583467124955,0.7736478477426361,60001.0,136.0,133.0,2.0,1.0,126.5,16.0,126.5,-0.008000000000000007,0.0,-0.5353364196567918,3.0
5.0,1.0,58.0,78.0,59.0,79.0,0.01694915254237288,0.012658227848101266,731.0,731.0,44.0,44.0,231.0,231.0,0.8479999999999999,0.8479999999999999,0.0,0.0,0.07209153325164874,0.07209153325164874,8.824,7.976,1.0,1.0,0.2622309197651663,0.33432245301681507,60001.0,59.0,79.0,2.0,0.0,731.0,-44.0,231.0,0.8479999999999999,0.0,-0.07209153325164874,37.0
6.0,159.0,24.0,0.0,183.0,159.0,0.8688524590163934,1.0,65.0,211.0,8.0,27.0,64.0,221.0,0.03600000000000003,3.12,0.0,0.25611000000000006,0.33281664571987146,0.687551867219917,2.7563037974683544,2.9995443037974683,0.8880285056603773,0.9070562911949686,0.4668295494072268,0.7961132632122365,60001.0,184.0,159.0,2.0,0.0,65.0,7.0,64.0,0.0,0.0,-0.3315217391304348,22.0
7.0,157.0,34.0,0.0,191.0,157.0,0.8219895287958116,1.0,159.0,214.0,3.0,19.0,151.0,196.0,0.06400000000000006,2.3360000000000003,0.0,0.17595000000000005,0.3529984277906716,0.6509232252693614,2.6212484076433116,2.986496815286624,0.9861342146496814,0.9946890481528662,0.4254172482655603,0.79059290855984,60001.0,192.0,161.0,2.0,1.0,159.0,-1.0,151.0,-0.02400000000000002,0.0,-0.3529984277906716,32.0
8.0,168.0,1.0,0.0,169.0,168.0,0.9940828402366864,1.0,188.5,275.0,7.0,17.0,188.5,275.0,0.03200000000000003,0.23199999999999976,0.004880000000000023,0.04301000000000005,0.40479311110131777,0.7837263060564031,2.828904761904762,2.827714285714286,0.42484738095238095,0.427494880952381,0.3067431251065899,0.7302678553840687,60001.0,170.0,169.0,2.0,0.0,188.5,7.0,188.5,0.0,0.0,-0.40479311110131777,0.0
9.0,55.0,0.0,103.0,55.0,158.0,1.0,0.34810126582278483,211.0,248.0,12.0,37.0,235.0,3957.0,0.14800000000000013,29.848,0.003910000000000025,0.044969999999999954,0.6689915846526886,0.9826071964626182,8.336,2.997963636363637,0.2688705454545454,0.26144200000000006,0.05022762161626817,0.7592011103690813,60001.0,56.0,159.0,2.0,0.0,211.0,-12.0,235.0,0.14800000000000013,0.003909999999999969,-0.6689915846526886,0.0
10.0,145.0,13.0,3.0,158.0,148.0,0.9177215189873418,0.9797297297297297,59.0,377.0,9.0,59.0,59.0,411.0,0.040000000000000036,3.112,0.005819999999999936,0.97475,0.2607550482879719,0.8321678321678322,3.076388888888889,3.2271666666666667,0.7907998958620689,0.8271176620689655,0.5036829792496544,0.8107144416002479,60001.0,159.0,148.0,2.0,0.0,59.0,7.0,59.0,-0.008000000000000007,0.0,-0.2607550482879719,12.0
