noise_std,replicate,method,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.0,0,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,0,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,1,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,2,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,3,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,4,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,5,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,6,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,7,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,8,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.5,0.020437308661978692,0.0067567567567567615
0.0,9,SciPy baseline,12,12,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0,FeatureGraph,12,12,12,1.0,1.0,1.0,6.666666666666667,6.0,6.25,0.9166666666666666,0.02071331472128644,0.022389737598735582
0.05,0,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,1.2727272727272727,1.1818181818181819,1.0909090909090908,1.4545454545454546,0.05627970030486633,0.03414068771935994
0.05,1,FeatureGraph,12,12,12,1.0,1.0,1.0,6.75,6.083333333333333,6.166666666666667,0.9166666666666666,0.018441740590806537,0.015999244673646922
0.05,1,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,1.7272727272727273,1.4545454545454546,1.6363636363636365,2.8181818181818183,0.05595500380770895,0.048178867088521614
0.05,2,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.0,6.0,0.8333333333333334,0.017829935478351194,0.01506564838997689
0.05,2,SciPy baseline,12,12,12,1.0,1.0,1.0,2.0833333333333335,1.4166666666666667,2.0833333333333335,2.5,0.056694636149052235,0.05401444438720771
0.05,3,FeatureGraph,12,12,12,1.0,1.0,1.0,6.333333333333333,5.833333333333333,5.833333333333333,0.8333333333333334,0.020848967778967314,0.019283779208181473
0.05,3,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0833333333333333,1.9166666666666667,1.1666666666666667,1.75,0.06555296782957587,0.044646333524582166
0.05,4,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,6.083333333333333,6.083333333333333,1.4166666666666667,0.016468708958141787,0.018287552668513313
0.05,4,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,1.0,2.0,1.0909090909090908,1.7272727272727273,0.062233496656981,0.04931231905492586
0.05,5,FeatureGraph,12,12,12,1.0,1.0,1.0,6.5,5.75,6.083333333333333,1.25,0.014200866016666721,0.02031323693595144
0.05,5,SciPy baseline,12,12,12,1.0,1.0,1.0,1.1666666666666667,2.0833333333333335,1.4166666666666667,2.25,0.055655816347972877,0.051174696178627126
0.05,6,FeatureGraph,12,12,12,1.0,1.0,1.0,6.333333333333333,5.833333333333333,5.833333333333333,1.8333333333333333,0.018958034992195144,0.023302547069553464
0.05,6,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,1.9090909090909092,1.1818181818181819,1.7272727272727273,3.090909090909091,0.05971428387502115,0.03673846914002255
0.05,7,FeatureGraph,12,12,12,1.0,1.0,1.0,6.75,5.583333333333333,6.333333333333333,1.75,0.01547403613622341,0.02627216300951792
0.05,7,SciPy baseline,12,12,12,1.0,1.0,1.0,1.75,1.25,2.0,2.25,0.05746889336697506,0.05497342101339392
0.05,8,FeatureGraph,12,12,12,1.0,1.0,1.0,6.583333333333333,5.833333333333333,6.083333333333333,1.3333333333333333,0.021820637013597693,0.025456944286058214
0.05,8,SciPy baseline,12,12,12,1.0,1.0,1.0,1.9166666666666667,2.3333333333333335,2.25,1.3333333333333333,0.047795320782680596,0.07008462916390013
0.05,9,FeatureGraph,12,12,12,1.0,1.0,1.0,6.333333333333333,6.166666666666667,5.833333333333333,1.1666666666666667,0.012876229416630441,0.01714900554563002
0.05,9,SciPy baseline,12,12,12,1.0,1.0,1.0,1.5,1.9166666666666667,1.5833333333333333,2.5833333333333335,0.06282205743774238,0.053015862847675864
0.1,0,FeatureGraph,12,12,12,1.0,1.0,1.0,6.75,5.916666666666667,6.416666666666667,1.3333333333333333,0.022650829248356263,0.035938236297752724
0.1,0,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,5.454545454545454,1.3636363636363635,5.636363636363637,10.545454545454545,0.16193686585101053,0.21988557110383103
0.1,1,FeatureGraph,12,12,12,1.0,1.0,1.0,6.833333333333333,6.0,6.25,1.25,0.020277038677035463,0.030499061351733647
0.1,1,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,2.0,2.272727272727273,4.545454545454546,5.818181818181818,0.1457519031060371,0.1280313132511282
0.1,2,FeatureGraph,13,12,12,0.9230769230769231,1.0,0.9600000000000001,6.166666666666667,6.333333333333333,7.833333333333333,5.0,0.02879561357518624,0.10255280895203193
0.1,2,SciPy baseline,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666,10.181818181818182,1.7272727272727273,5.454545454545454,13.454545454545455,0.18032523930312727,0.2783693844211695
0.1,3,FeatureGraph,14,12,12,0.8571428571428571,1.0,0.923076923076923,6.583333333333333,5.25,10.916666666666666,7.666666666666667,0.021097730606863457,0.18621376994353048
0.1,3,SciPy baseline,13,12,12,0.9230769230769231,1.0,0.9600000000000001,4.5,2.6666666666666665,14.0,18.0,0.2186509294746993,0.3769234764219597
0.1,4,FeatureGraph,12,12,12,1.0,1.0,1.0,6.416666666666667,6.333333333333333,6.0,2.0833333333333335,0.014653396126847509,0.030322083660681454
0.1,4,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,8.727272727272727,2.090909090909091,2.3636363636363638,9.818181818181818,0.179763535616437,0.2045767687030982
0.1,5,FeatureGraph,12,12,12,1.0,1.0,1.0,6.333333333333333,5.666666666666667,6.0,2.1666666666666665,0.015103325339159054,0.0337246215954008
