method,noise_std,f1_mean,f1_std,precision_mean,recall_mean,peak_mae,start_mae,end_mae,duration_mae,amplitude_mae
FeatureGraph,0.0,1.0,0.0,1.0,1.0,6.0,6.5,6.0,0.5,0.020437308661978692
SciPy baseline,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FeatureGraph,0.05,1.0,0.0,1.0,1.0,5.916666666666666,6.525,6.05,1.225,0.017763247110286668
SciPy baseline,0.05,0.9826086956521738,0.022452077369318348,1.0,0.9666666666666666,1.6734848484848484,1.540909090909091,1.6045454545454547,2.175757575757576,0.05801721765585764
FeatureGraph,0.1,0.9729230769230769,0.03654507362575206,0.9494505494505494,1.0,5.825,6.55,7.533333333333333,3.7833333333333337,0.020328841888020737
SciPy baseline,0.1,0.9586231884057972,0.038144632026813036,0.9608974358974359,0.9583333333333333,2.2416666666666667,5.75,6.34469696969697,11.049242424242426,0.17293110937528997
FeatureGraph,0.2,0.8341334029954719,0.07941564104802176,0.7229347123464771,1.0,5.366666666666666,6.966666666666667,11.725,11.275,0.038113281686350996
SciPy baseline,0.2,0.8194538375973304,0.05580267836659769,0.697818528221005,1.0,3.3,14.258333333333335,15.325,27.7,0.21718493594252603
FeatureGraph,0.3,0.6818107023985757,0.07770161596574386,0.5221492801042747,1.0,4.733333333333333,8.341666666666667,16.066666666666666,19.64166666666667,0.07457990743552918
SciPy baseline,0.3,0.8073375178770062,0.04208908024478595,0.6788080495356037,1.0,4.3,14.291666666666668,18.466666666666665,29.975,0.17405661061865688
FeatureGraph,0.4,0.5492081688011383,0.049583529916685125,0.3800545794075206,1.0,4.075,10.633333333333335,21.233333333333334,28.8,0.12548019064449006
SciPy baseline,0.4,0.8030256642381225,0.051975656508649416,0.6737321244287189,1.0,5.233333333333333,15.491666666666665,17.81666666666667,30.625,0.30197492352540256
