smooth_window,diff_lag,eps,f1_mean,f1_std,precision_mean,recall_mean,peak_mae,duration_mae
15,10,0.03,1.0,0.0,1.0,1.0,10.916666666666668,1.9666666666666663
15,10,0.01,1.0,0.0,1.0,1.0,11.283333333333335,1.8666666666666667
15,10,0.0,1.0,0.0,1.0,1.0,11.416666666666668,1.8
9,10,0.01,0.984,0.02190890230020662,0.9692307692307693,1.0,8.333333333333332,2.8833333333333333
15,5,0.0,0.984,0.02190890230020662,0.9692307692307693,1.0,9.116666666666665,2.716666666666667
9,10,0.0,0.9766153846153844,0.03457946854667399,0.956043956043956,1.0,8.483333333333333,2.166666666666667
9,10,0.03,0.9623931623931623,0.05289486648466939,0.9314285714285715,1.0,7.933333333333333,4.1
15,5,0.03,0.9538461538461538,0.04213250442347435,0.9142857142857143,1.0,7.883333333333335,5.65
15,5,0.01,0.9458461538461538,0.034235522574033575,0.8989010989010989,1.0,8.733333333333333,4.633333333333334
5,10,0.0,0.8502164502164502,0.07008888403804432,0.7442857142857143,1.0,6.3,7.8
15,3,0.0,0.8493389752010442,0.06596172398809437,0.7426050420168068,1.0,7.683333333333333,10.116666666666667
5,10,0.03,0.8443051201671892,0.07060318751275475,0.7354621848739497,1.0,5.666666666666667,8.533333333333335
5,10,0.01,0.8438672438672439,0.0670832731694465,0.7342857142857143,1.0,6.183333333333334,7.85
9,5,0.03,0.8372318720705817,0.06477668372460953,0.7244110275689223,1.0,4.5,9.95
9,5,0.0,0.8229717868338557,0.08516416508365758,0.7067442361560008,1.0,5.566666666666666,10.533333333333333
9,5,0.01,0.8140450588837685,0.05776286705132614,0.6896491228070175,1.0,5.166666666666666,9.583333333333332
15,3,0.01,0.801290927152996,0.10556175090767918,0.6786050420168067,1.0,7.0,14.366666666666665
15,3,0.03,0.7920777776172659,0.050827401527193485,0.658093763821318,1.0,5.533333333333333,16.65
9,3,0.01,0.6056512593097958,0.04457437160883588,0.4355363984674329,1.0,2.95,25.53333333333333
9,3,0.0,0.5997853566017879,0.04478362774743409,0.4295078714389059,1.0,3.4,23.733333333333334
9,3,0.03,0.5975127311712678,0.019189352644688,0.4262506841817187,1.0,2.55,26.35
5,5,0.01,0.5143725575336517,0.03273562825738334,0.3467696267696268,1.0,2.6333333333333337,29.583333333333332
5,5,0.03,0.49332355822378293,0.029805334399974893,0.3278340525399349,1.0,2.283333333333333,34.33333333333333
5,5,0.0,0.4925931327202481,0.022228960065059443,0.32701391487769194,1.0,2.7666666666666666,30.81666666666667
15,1,0.0,0.4024161231564721,0.024094117812387218,0.2521224489795918,1.0,4.133333333333333,42.78333333333333
15,1,0.01,0.3989023405972558,0.010591448408628275,0.24918648310387984,1.0,2.8166666666666664,44.56666666666667
5,3,0.01,0.38001299308452186,0.03639523064400843,0.2350833033335733,1.0,1.7166666666666663,45.53333333333333
5,3,0.03,0.3790376948706843,0.02863694345804354,0.23414565164033174,1.0,1.5833333333333335,47.56666666666667
5,3,0.0,0.3747230235377733,0.03224929376769324,0.23095492742551565,1.0,1.7166666666666668,48.71666666666666
15,1,0.03,0.3742729401745795,0.02675425873985174,0.23048285981059088,1.0,1.0,53.88333333333334
1,10,0.03,0.29256188968650054,0.021387557313455884,0.171491725498214,1.0,1.3666666666666667,54.86666666666666
1,10,0.01,0.2845313408264491,0.017408797007473203,0.165958424327164,1.0,1.6166666666666667,52.78333333333334
1,10,0.0,0.2826512750529223,0.01848757537679104,0.16469396053786794,1.0,1.8166666666666669,51.0
9,1,0.0,0.2505869373255379,0.013435710391566031,0.14329439316472353,1.0,1.8833333333333333,55.666666666666664
9,1,0.01,0.24946913036681556,0.017600349195186545,0.14260263864885175,1.0,1.3333333333333335,64.65
9,1,0.03,0.23523192709662571,0.01648864472211307,0.1333734011840806,1.0,1.0666666666666669,64.7
5,1,0.03,0.14809403254972878,0.007721768844605051,0.0799835066660558,1.0,0.9833333333333332,71.8
5,1,0.01,0.14366165544073475,0.009345172377988844,0.07741173353752676,1.0,0.9666666666666666,72.81666666666666
1,5,0.01,0.14293250825316198,0.008857777978432237,0.07698647577355189,1.0,1.0166666666666666,72.95
1,5,0.03,0.14273586334937033,0.006321965819159578,0.07686275789446413,1.0,0.9666666666666666,72.75
1,5,0.0,0.14239042311510933,0.010236035246647016,0.07667881566630731,1.0,1.0166666666666666,73.31666666666668
5,1,0.0,0.14239042311510933,0.010236035246647016,0.07667881566630731,1.0,1.0166666666666666,73.31666666666668
1,3,0.0,0.11071475772516384,0.0013786911240822538,0.0586018498399795,1.0,1.1,74.26666666666668
1,3,0.03,0.11050515431681776,0.0010488267984568244,0.0584842280622548,1.0,1.0166666666666666,74.55
1,3,0.01,0.10979287655227284,0.0006734464357929117,0.05808521102388022,1.0,1.0166666666666666,74.55
1,1,0.03,0.0723040901699388,0.0011609226152611413,0.037508338357357854,1.0,0.8166666666666667,76.85
1,1,0.0,0.07191372571015694,0.0011405205147803424,0.0372982716852953,1.0,0.85,76.85
1,1,0.01,0.0717529949526513,0.0015074852435124964,0.037212023341778325,1.0,0.8333333333333334,76.86666666666666
