source_subject,source_record,construction,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,transition_complete,plateau_boundary_ambiguous,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,peak_detection_index,peak_detection_latency_samples,peak_detection_latency_seconds
s00052,3238451_0005,envelope,3,1133.0,1134.0,1142.0,True,1.32,0.011070110701107028,0.2222222222222222,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,4,1142.0,1143.0,1146.0,True,0.072,0.014760147601476037,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,5,1146.0,1147.0,1150.0,True,0.032,0.014760147601475981,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,8,2075.0,2127.0,2240.0,True,2.512,0.3284132841328413,0.6303030303030304,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,10,2563.0,2697.0,3012.0,True,2.736,1.1562115621156213,0.5968819599109132,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,13,4128.0,4217.0,4251.0,True,4.864,0.2152521525215252,0.5528455284552846,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,23,7715.0,7716.0,7719.0,True,0.744,0.022140221402213944,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,24,7719.0,7720.0,7723.0,True,0.032,0.017220172201722006,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,25,7723.0,7724.0,7727.0,True,0.032,0.004920049200492049,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,26,7727.0,7728.0,7732.0,True,0.032,0.004920049200492049,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,27,7732.0,7733.0,7736.0,True,0.04,0.008610086100861003,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,28,7736.0,7737.0,7740.0,True,0.032,0.00246002460024608,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,29,7740.0,7741.0,7745.0,True,0.032,0.02583025830258301,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,30,7745.0,7746.0,7749.0,True,0.04,0.03198031980319804,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,31,7749.0,7750.0,7753.0,True,0.032,0.03936039360393595,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,32,7753.0,7754.0,7757.0,True,0.032,0.03813038130381308,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,33,7757.0,7758.0,7762.0,True,0.032,0.03567035670356711,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,34,7762.0,7763.0,7766.0,True,0.04,0.006150061500615034,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,35,7766.0,7767.0,7770.0,True,0.032,0.006150061500615034,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,36,7770.0,7771.0,7774.0,True,0.032,0.02337023370233693,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,37,7774.0,7775.0,7777.0,True,0.032,0.02091020910209096,0.6666666666666667,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,39,7927.0,7928.0,7932.0,True,0.92,0.00246002460024608,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,40,7932.0,7933.0,7936.0,True,0.04,0.006150061500615034,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,41,7936.0,7937.0,7940.0,True,0.032,0.009840098400983988,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,42,7940.0,7941.0,7944.0,True,0.032,0.007380073800737907,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,43,7944.0,7945.0,7949.0,True,0.032,0.006150061500615034,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,44,7949.0,7950.0,7953.0,True,0.04,0.004920049200492049,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,45,7953.0,7954.0,7957.0,True,0.032,0.011070110701107083,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,46,7957.0,7958.0,7961.0,True,0.032,0.019680196801968086,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,47,7961.0,7962.0,7966.0,True,0.032,0.038130381303812966,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,48,7966.0,7967.0,7970.0,True,0.04,0.024600246002459913,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,49,7970.0,7971.0,7974.0,True,0.032,0.01599015990159902,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,50,7974.0,7975.0,7979.0,True,0.032,0.002460024600245969,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,51,7979.0,7980.0,7983.0,True,0.04,0.02091020910209096,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,52,7983.0,7984.0,7987.0,True,0.032,0.031980319803198154,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,53,7987.0,7988.0,7991.0,True,0.032,0.029520295202951963,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,54,7991.0,7992.0,7996.0,True,0.032,0.03690036900368998,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,55,7996.0,8025.0,8153.0,True,0.264,1.2460024600246002,0.3694267515923567,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,56,8153.0,8154.0,8158.0,True,1.032,0.0073800738007380046,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,57,8158.0,8159.0,8162.0,True,0.04,0.0,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,58,8162.0,8163.0,8165.0,True,0.032,0.0,0.6666666666666667,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,67,10602.0,10709.0,10730.0,True,1.792,0.2029520295202952,0.328125,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,75,12940.0,13053.0,13330.0,True,1.888,1.2583025830258303,0.5794871794871794,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,77,13852.0,13981.0,14279.0,True,4.096,1.2583025830258303,0.6042154566744731,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,80,14824.0,14909.0,15021.0,True,1.808,1.0947109471094711,0.8629441624365483,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,83,15385.0,15503.0,15846.0,True,0.976,1.168511685116851,0.5119305856832972,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,84,15846.0,15955.0,15990.0,True,3.616,0.41943419434194346,0.48611111111111116,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,87,16672.0,16773.0,16920.0,True,3.216,0.4797047970479704,0.814516129032258,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,88,16920.0,17009.0,17050.0,True,1.888,0.8757687576875769,0.6307692307692307,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,94,19086.0,19117.0,19178.0,True,2.92,0.24108241082410825,0.6739130434782609,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,109,24603.0,24727.0,25023.0,True,2.36,1.2115621156211562,0.5904761904761905,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,114,26385.0,26422.0,26435.0,True,1.944,0.14145141451414514,0.52,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,115,26435.0,26576.0,26752.0,True,1.232,0.7908979089790898,0.889589905362776,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,123,29688.0,29689.0,29692.0,True,1.232,0.05535055350553508,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,124,29692.0,29693.0,29696.0,True,0.032,0.04551045510455107,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,125,29696.0,29697.0,29701.0,True,0.032,0.03813038130381305,0.4,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,126,29701.0,29702.0,29705.0,True,0.04,0.022140221402214028,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,127,29705.0,29706.0,29707.0,True,0.032,0.006150061500615006,1.0,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,129,29917.0,29918.0,29921.0,True,1.064,0.04920049200492005,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,130,29921.0,29922.0,29925.0,True,0.032,0.0,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,131,29925.0,29926.0,29929.0,True,0.032,0.0,0.5,,,,,,,,,,,,,,,
s00052,3238451_0005,envelope,133,30305.0,30381.0,30474.0,True,2.912,0.22386223862238622,0.8994082840236687,,,,,,,,,,,,,,,
